run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,native/c/c-sparse/packed-4x4,1,ns,a5d0ea79c620d16c81345b622bbcdd072d7ee8f3,true,kotlin-native-2.4.10,1,3,50000000,native-calibrated,12500000,1
case,1,1,scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,policy
sample,1,1,1,550994,55487997,100.70526539308958
sample,1,1,2,550994,55678308,101.05066116872416
sample,1,1,3,550994,56661778,102.83556263770568
sample,1,1,4,550994,51135338,92.80561675807722
sample,1,1,5,550994,55325456,100.41026944032059
case,2,1,scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,policy
sample,2,1,1,346786,40184711,115.87754695979653
sample,2,1,2,346786,36448201,105.10286170722001
sample,2,1,3,346786,37932986,109.38442151643953
sample,2,1,4,346786,36085992,104.05838759350146
sample,2,1,5,346786,37268894,107.46943071519611
case,3,1,scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,policy
sample,3,1,1,95099,53865675,566.4168392937886
sample,3,1,2,95099,52337974,550.3525168508606
sample,3,1,3,95099,52986911,557.1763215175764
sample,3,1,4,95099,52472614,551.7683046088813
sample,3,1,5,95099,62289078,654.9919347206595
case,4,1,scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,policy
sample,4,1,1,2907,53151010,18283.801169590643
sample,4,1,2,2907,53024284,18240.207774337807
sample,4,1,3,2907,50607643,17408.889920880632
sample,4,1,4,2907,48376475,16641.374269005846
sample,4,1,5,2907,45863906,15777.05744754042
case,5,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy
sample,5,1,1,30432,48100622,1580.5935199789694
sample,5,1,2,30432,53112373,1745.2803956361724
sample,5,1,3,30432,61702577,2027.5557636698213
sample,5,1,4,30432,61965907,2036.2088262355414
sample,5,1,5,30432,62521412,2054.4628023133546
