run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,native/c/c-sparse/packed-4x4,2,ns,5e5a7f1f1de41b1824299822f66314b6af1574ef,true,kotlin-native-2.4.10,1,3,50000000,native-calibrated,12500000,1
case,1,1,scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,policy
sample,1,1,1,391586,36296974,92.69221575847962
sample,1,1,2,391586,36849741,94.10382649022182
sample,1,1,3,391586,32888563,83.98809712298193
sample,1,1,4,391586,37680099,96.22432620165175
sample,1,1,5,391586,40594222,103.66617294796035
case,2,1,scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,policy
sample,2,1,1,350689,47667245,135.92455138313434
sample,2,1,2,350689,49523940,141.21897179552252
sample,2,1,3,350689,48885960,139.39975305755243
sample,2,1,4,350689,36006100,102.67245337036519
sample,2,1,5,350689,35382330,100.89375486542207
case,3,1,scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,policy
sample,3,1,1,102780,79466612,773.1719400661607
sample,3,1,2,102780,78849081,767.1636602451839
sample,3,1,3,102780,78785387,766.543948238957
sample,3,1,4,102780,75927177,738.734938704028
sample,3,1,5,102780,82376413,801.4829052344814
case,4,1,scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,policy
sample,4,1,1,2349,45287583,19279.5159642401
sample,4,1,2,2349,41791633,17791.24435930183
sample,4,1,3,2349,39803797,16944.996594295444
sample,4,1,4,2349,42476582,18082.836100468285
sample,4,1,5,2349,42628556,18147.53341847595
case,5,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy
sample,5,1,1,22906,47362539,2067.691390901947
sample,5,1,2,22906,50043278,2184.723565877936
sample,5,1,3,22906,43181056,1885.141709595739
sample,5,1,4,22906,39338773,1717.400375447481
sample,5,1,5,22906,38117688,1664.0918536627958
