run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,onemkl,2,ns,a5d0ea79c620d16c81345b622bbcdd072d7ee8f3,true,Intel(R) oneAPI Math Kernel Library Version 2026.1-Product Build 20260612 for Intel(R) 64 architecture applications; compiler=15.2.0,1,3,50000000,vendor-calibrated,12500000,1
case,1,1,scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas
sample,1,1,1,524288,51942740,99.072914123535156
sample,1,1,2,524288,56019026,106.84781265258789
sample,1,1,3,524288,49164415,93.773679733276367
sample,1,1,4,524288,47408000,90.423583984375
sample,1,1,5,524288,50844382,96.977962493896484
case,2,1,scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas
sample,2,1,1,262144,29525156,112.62953186035156
sample,2,1,2,262144,26847373,102.41460037231445
sample,2,1,3,262144,35851529,136.76272964477539
sample,2,1,4,262144,28659498,109.32730865478516
sample,2,1,5,262144,27086628,103.32728576660156
case,3,1,scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas
sample,3,1,1,65536,27454183,418.91758728027344
sample,3,1,2,65536,27158387,414.40409851074219
sample,3,1,3,65536,28192728,430.1868896484375
sample,3,1,4,65536,36293203,553.79032897949219
sample,3,1,5,65536,29334662,447.61141967773438
case,4,1,scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas
sample,4,1,1,2048,33087109,16155.81494140625
sample,4,1,2,2048,32557022,15896.9833984375
sample,4,1,3,2048,32220539,15732.68505859375
sample,4,1,4,2048,31033583,15153.11669921875
sample,4,1,5,2048,30376452,14832.251953125
case,5,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas
sample,5,1,1,32768,50943963,1554.6863708496094
sample,5,1,2,32768,55367749,1689.6896057128906
sample,5,1,3,32768,68698602,2096.5149536132812
sample,5,1,4,32768,71195756,2172.7220458984375
sample,5,1,5,32768,72425950,2210.2645874023438
