run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,openblas,3,ns,a5d0ea79c620d16c81345b622bbcdd072d7ee8f3,true,OpenBLAS 0.3.32 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY Haswell MAX_THREADS=128; compiler=15.2.0,1,3,50000000,vendor-calibrated,12500000,1
case,1,1,scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas
sample,1,1,1,524288,35069988,66.890693664550781
sample,1,1,2,524288,36759937,70.114015579223633
sample,1,1,3,524288,37251788,71.052146911621094
sample,1,1,4,524288,35924681,68.520891189575195
sample,1,1,5,524288,38423750,73.287487030029297
case,2,1,scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas
sample,2,1,1,524288,48569209,92.63841438293457
sample,2,1,2,524288,46581093,88.846384048461914
sample,2,1,3,524288,46051957,87.837137222290039
sample,2,1,4,524288,50882953,97.051530838012695
sample,2,1,5,524288,46893489,89.442232131958008
case,3,1,scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas
sample,3,1,1,65536,25538825,389.69154357910156
sample,3,1,2,65536,28000076,427.24725341796875
sample,3,1,3,65536,42938274,655.18606567382812
sample,3,1,4,65536,37423575,571.03843688964844
sample,3,1,5,65536,24851270,379.20028686523438
case,4,1,scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas
sample,4,1,1,2048,38843009,18966.31298828125
sample,4,1,2,2048,38960577,19023.71923828125
sample,4,1,3,2048,39603780,19337.783203125
sample,4,1,4,2048,41366992,20198.7265625
sample,4,1,5,2048,46120643,22519.84521484375
case,5,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas
sample,5,1,1,16384,34925526,2131.6849365234375
sample,5,1,2,16384,36003257,2197.4644165039062
sample,5,1,3,16384,35393567,2160.2518920898438
sample,5,1,4,16384,31166050,1902.2247314453125
sample,5,1,5,16384,36358671,2219.1571655273438
