elapsed_s,cpu_percent
1.011,2.15
2.012,1.35
3.013,1.36
4.014,2.46
5.014,10.48
6.015,10.77
7.015,12.24
8.016,9.85
9.017,9.54
10.017,13.62
11.018,8.77
12.019,7.52
13.019,9.13
14.020,7.51
15.021,7.67
16.021,7.67
17.022,7.61
18.022,6.96
19.023,6.87
20.024,7.42
21.024,7.32
22.025,7.52
23.025,7.11
24.026,7.57
25.026,7.41
26.027,8.51
27.028,7.26
28.028,7.12
29.029,7.52
30.029,7.26
31.030,7.12
32.031,7.06
33.031,8.37
34.032,8.19
35.032,7.41
36.033,7.28
37.034,7.28
38.034,7.01
39.035,7.29
40.035,6.97
41.036,22.54
42.037,10.29
43.037,7.82
44.038,7.97
45.039,10.80
46.039,8.59
47.040,6.80
48.040,6.81
49.041,8.67
50.042,12.23
51.042,8.55
52.043,9.08
53.043,8.22
54.044,7.80
55.044,8.81
56.045,8.61
57.045,10.40
58.046,17.83
59.047,7.62
60.047,14.26
61.048,13.67
62.048,9.10
63.049,7.98
64.050,8.33
65.050,7.62
66.051,9.65
67.051,8.62
68.052,7.76
69.052,8.11
70.053,8.99
71.054,13.74
72.054,10.35
73.055,8.12
74.055,13.84
75.056,12.47
76.056,9.94
77.057,7.94
78.057,8.99
79.058,9.03
80.058,9.13
81.059,10.57
82.060,8.64
83.060,7.44
84.061,8.89
85.061,6.85
86.062,8.07
87.062,7.13
88.063,11.73
89.063,8.94
90.064,8.13
91.065,26.01
92.065,38.40
93.066,20.07
94.066,16.59
95.067,14.49
96.068,15.66
97.069,24.66
98.069,22.32
99.070,23.03
100.071,25.20
101.071,26.78
102.072,20.79
103.073,17.83
104.073,15.29
105.074,13.07
106.074,16.31
107.075,23.52
108.076,13.67
109.076,14.84
110.077,14.73
111.077,13.69
112.078,18.54
113.079,14.36
114.079,21.72
115.080,18.45
116.081,16.28
117.081,15.23
118.082,17.39
119.083,29.08
120.083,28.91
121.084,22.17
122.085,15.03
123.086,16.05
124.086,14.88
125.087,12.99
126.087,16.10
127.088,14.67
128.088,15.50
129.089,16.76
130.090,14.58
131.091,13.82
132.091,14.92
133.092,39.48
134.093,44.46
135.094,33.53
136.094,14.41
137.095,8.38
138.096,8.62
139.096,8.88
140.097,9.93
141.098,8.60
142.098,13.14
143.099,9.37
144.099,8.08
145.100,9.64
146.100,8.72
147.101,10.96
148.101,11.30
149.102,8.16
150.102,9.82
151.103,12.02
152.103,7.67
153.104,7.67
154.105,10.28
155.105,9.52
156.106,8.61
157.106,10.05
158.107,16.55
159.107,24.65
160.108,16.52
161.109,20.90
162.110,14.76
163.110,16.45
164.111,15.68
165.112,15.21
166.112,18.23
167.113,28.68
168.114,20.70
169.115,31.59
170.115,11.41
171.115,10.01
172.116,9.50
173.116,24.41
174.117,20.49
175.117,22.21
176.118,27.97
177.119,16.53
178.119,24.60
179.120,22.26
180.121,26.60
181.121,18.16
182.122,19.28
183.122,20.15
184.123,17.20
185.124,19.95
186.125,13.92
187.125,14.68
188.126,18.67
189.126,27.85
190.127,17.74
191.127,17.19
192.128,16.16
193.129,39.85
194.130,43.38
195.130,23.14
196.131,14.70
197.131,21.71
198.132,15.24
199.133,12.19
200.134,13.06
201.134,13.31
202.135,10.56
203.135,13.67
204.136,9.82
205.137,12.30
206.137,14.98
207.138,10.24
208.138,11.76
209.139,14.28
210.139,11.86
211.140,13.92
212.140,7.99
213.141,7.56
214.141,6.81
215.142,9.83
216.142,24.73
217.143,16.44
218.144,10.78
219.144,11.37
220.145,10.98
221.146,11.84
222.146,10.44
223.147,10.16
224.148,20.72
225.148,25.00
226.149,15.45
227.150,24.55
228.151,24.79
229.152,24.01
230.153,24.58
231.154,21.44
232.155,24.71
233.156,28.51
234.157,14.39
