case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,865.5272473637458,782.4302179436794,952.0895352486777
spgather+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,policy,10,2,734.5961899888725,730.3273776499445,849.2611458655931
scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,10.668937044904972,9.9341430079322,11.207802827245128
scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,20.694191198920546,19.662116734532077,25.632459193836084
scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,200.55483845477238,181.28524599617595,237.1610335709979
scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,8287.864333177375,8164.675335671949,8919.60143538537
spgather+4096+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,policy,10,2,18.937625241405023,17.92827831947302,23.968356205931
spgather+4096+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy,10,2,242.37284885224346,231.86839189026244,472.71544821421924
spgather+65536+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,policy,10,2,237.53202434363297,229.2838553394042,268.02170592735234
spgather+65536+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy,10,2,5937.486905400056,5737.339807775068,6639.043314749448
