case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,925.4438662095224,915.439299456017,944.675616205408
spgather+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,policy,10,2,593.6528875769131,585.0896251242763,596.2442244027736
scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,9.606431468863462,9.544419180537185,9.6477854184737
scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,18.348841455910573,18.25597813432625,18.84942848699335
scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,178.24641166299935,172.81881590654626,190.36407433745794
scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,7463.156407241395,7373.330103405886,7500.698942869995
spgather+4096+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,policy,10,2,17.34751821391916,17.04585424433259,17.557164786424526
spgather+4096+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy,10,2,222.27398364393116,219.5030991916869,279.8862044866672
spgather+65536+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,policy,10,2,230.17608391146516,220.63048109451765,291.24065783077117
spgather+65536+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy,10,2,5463.750481943085,5387.975980827746,5668.941811382759
