case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,5,1,844.740459412012,826.3586726998492,862.9589249066588
spgather+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,policy,5,1,641.5935976235056,625.9920772493003,730.745661508333
scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,policy,5,1,41.436015,41.16198,42.623374
scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,policy,5,1,47.146889,46.83355,47.32201
scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,policy,5,1,244.5959437926238,244.04997818336102,247.82081307359078
scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,policy,5,1,7987.380061938923,7860.32576737622,8351.30303030303
spgather+4096+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,policy,5,1,68.946299,68.58057,72.141106
spgather+4096+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy,5,1,1142.9283662549326,980.5366877387744,1155.7477685837146
spgather+65536+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,policy,5,1,660.5692410935151,655.2921885485601,669.1378356004683
spgather+65536+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy,5,1,13778.310875423802,13448.190385116926,17150.196122750585
