case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1007.8889694213867,985.6598510742188,1017.7747116088867
spgather+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1082.6343803405762,1057.3489227294922,1096.2324256896973
scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,70.086146,68.634201,71.017831
scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,87.569017,84.684002,88.690919
scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,357.4213333129883,340.75743293762207,405.0295658111572
scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,14507.68798828125,13251.615844726562,15281.146118164062
spgather+4096+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,79.937448,79.501297,86.735968
spgather+4096+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,380.55544662475586,365.3134536743164,407.94822692871094
spgather+65536+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,444.25194549560547,435.1627311706543,464.73218536376953
spgather+65536+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,10407.197082519531,10113.66064453125,11066.9814453125
