case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1312.1344299316406,1073.9713287353516,1589.092529296875
spgather+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,48.772231,48.040428,49.30019
scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,56.010492,55.167255,56.41215
scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,277.97503662109375,275.655309677124,278.5572032928467
scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,10840.75537109375,10656.040100097656,11033.923217773438
spgather+4096+sparse-uniform+density=0.01+timing=arithmetic,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spgather+4096+sparse-uniform+density=0.25+timing=arithmetic,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spgather+65536+sparse-uniform+density=0.01+timing=arithmetic,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spgather+65536+sparse-uniform+density=0.25+timing=arithmetic,unsupported,unsupported,arithmetic,unavailable,0,0,,,
