elapsed_s,cpu_percent
1.016,7.09
2.017,4.81
3.017,12.75
4.019,30.13
5.020,44.03
6.021,29.99
7.023,31.35
8.024,40.94
9.025,34.77
10.026,18.26
11.028,21.06
12.029,19.77
13.029,17.02
14.031,18.04
15.032,18.03
16.033,18.17
17.034,18.67
18.035,17.78
19.036,16.97
20.037,16.97
21.038,18.25
22.039,18.58
23.040,18.84
24.041,17.24
25.042,17.11
26.042,16.74
27.043,19.28
28.044,17.43
29.045,17.35
30.046,19.36
31.047,18.04
32.048,18.26
33.050,18.11
34.051,16.93
35.052,17.51
36.053,23.62
37.055,29.47
38.056,52.67
39.058,51.89
40.059,14.16
41.060,11.15
42.061,11.63
43.062,11.37
44.062,11.42
45.063,10.60
46.064,10.53
47.065,12.26
48.066,11.06
49.067,10.97
50.068,11.47
51.070,10.62
52.071,10.13
53.072,10.54
54.072,10.34
55.073,11.08
56.074,10.67
57.075,9.78
58.076,13.04
59.077,29.78
60.078,16.37
61.078,12.37
62.079,11.83
63.080,10.89
64.081,10.57
65.081,10.78
66.082,10.73
67.083,10.87
68.083,11.68
69.084,11.04
70.085,11.13
71.086,10.42
72.086,10.71
73.087,12.51
74.088,12.24
75.089,10.88
76.089,10.76
77.090,11.36
78.091,11.76
79.092,10.33
80.092,10.65
81.093,11.23
82.094,11.29
83.094,11.07
84.095,10.69
85.096,10.66
86.096,10.85
87.097,10.86
88.097,11.14
89.098,10.84
90.099,10.96
91.099,11.03
92.100,11.14
93.101,11.55
94.102,11.17
95.102,11.20
96.103,10.68
97.104,11.57
98.104,10.99
99.105,13.00
100.106,15.56
101.106,10.74
102.107,9.34
103.108,11.84
104.108,10.56
105.109,10.43
106.110,11.14
107.110,12.05
108.111,14.64
109.112,34.25
110.113,40.16
111.114,12.92
112.115,11.17
113.116,10.73
114.117,10.94
115.118,11.08
116.118,10.50
117.119,11.28
118.119,11.12
119.120,11.84
120.121,12.27
121.122,10.82
122.122,12.00
123.123,10.46
124.124,10.61
125.124,10.43
126.125,10.89
127.126,10.55
128.126,11.74
129.127,10.94
130.128,11.76
131.128,10.49
132.129,10.69
133.129,10.58
134.130,10.84
135.131,10.64
136.131,11.50
137.132,24.82
138.133,46.28
139.134,26.60
140.135,11.66
141.135,10.85
142.136,18.72
143.137,33.13
144.137,28.33
145.138,23.16
146.139,37.84
147.139,32.12
148.140,36.15
149.141,37.22
150.142,43.58
151.143,38.82
152.144,37.47
153.145,34.64
154.146,37.55
155.147,38.22
156.148,46.40
157.149,41.20
158.150,40.99
159.151,40.24
160.152,30.61
161.153,27.16
162.154,25.72
163.155,25.11
164.156,22.60
165.157,24.26
166.158,24.50
167.159,25.59
168.161,69.03
169.162,32.19
170.163,24.07
171.164,29.45
172.165,24.16
173.166,22.68
174.167,24.02
175.168,24.44
176.169,28.27
177.170,40.43
178.171,55.57
179.172,45.77
180.173,52.45
181.174,20.90
182.175,20.84
183.176,16.99
184.176,16.75
185.177,18.36
186.178,19.38
187.178,16.87
188.179,19.16
189.180,17.04
190.180,18.04
191.181,17.53
192.182,19.45
193.183,20.15
194.184,33.74
195.185,28.54
196.186,44.59
197.187,44.47
198.188,32.59
199.189,20.42
200.190,16.89
201.190,19.77
202.191,18.87
203.191,18.49
204.192,17.34
205.193,18.16
206.194,18.69
207.194,16.91
208.195,17.29
209.195,18.57
210.196,17.91
211.197,19.49
212.198,16.63
213.198,16.29
214.199,17.77
215.200,18.31
216.201,31.87
217.202,30.98
218.203,19.93
219.204,18.71
220.205,28.51
221.205,27.47
222.206,18.66
223.207,18.49
224.208,32.44
225.208,37.51
226.210,46.58
227.211,50.71
228.212,40.38
229.213,27.53
230.214,29.12
231.215,25.25
232.216,22.17
233.217,12.37
234.218,11.74
235.218,10.94
236.219,10.68
237.220,10.70
238.221,11.90
239.222,10.61
240.222,12.28
241.223,14.01
242.224,11.80
243.224,10.69
244.225,11.30
245.226,11.76
246.226,10.53
247.227,13.90
248.228,11.58
249.228,10.39
250.229,11.54
251.229,10.45
252.230,11.37
253.231,10.80
254.231,11.09
255.232,11.32
256.233,30.49
257.234,46.24
258.235,40.25
259.235,23.31
260.236,30.20
261.237,18.93
262.237,11.09
263.238,11.63
264.238,10.67
265.239,10.83
266.240,10.89
267.240,20.42
268.241,26.57
269.241,20.72
270.242,20.74
271.243,19.48
272.243,17.19
273.244,42.07
274.245,16.91
275.245,17.48
276.246,17.98
277.246,16.71
278.247,18.92
279.248,17.16
280.248,17.85
281.249,15.78
