case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,1358.156807701223,1282.7822931323176,1393.0424951267057
spgather+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,policy,10,2,1044.9977395020826,999.5128983902731,1264.0226750228326
scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,17.200860045915142,14.12092604886708,21.96131209871237
scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,32.096650042159425,24.657092489999275,40.20894336950681
scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,367.990241465768,337.50067213709235,476.8794474849662
scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,16753.170085396414,15047.762704342038,20259.7770242915
spgather+4096+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,policy,10,2,35.03796570080336,30.204096686807866,40.651712063553205
spgather+4096+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy,10,2,400.34033239186743,387.87168312977843,438.26767873646037
spgather+65536+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,policy,10,2,405.9904370186323,397.96475237364115,434.19523319749857
spgather+65536+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy,10,2,12591.339516199183,10821.453392346306,14894.41135754689
