case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,1361.4783296863784,1324.5201888124689,1419.5445560482913
spgather+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,policy,10,2,1297.1067668261144,1032.4073748902547,1716.780032556531
scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,12.817718172519605,11.933261163276445,14.223770961264412
scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,24.818573849776044,22.829693681026804,25.996827111381545
scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,247.5462155779947,243.0589204138968,266.00237237489563
scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,11815.223822680342,11235.382759001546,12596.084917537455
spgather+4096+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,policy,10,2,21.343857308020286,20.618489741416937,21.867438181415892
spgather+4096+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy,10,2,283.6283720885732,265.7107368276709,312.0414147012085
spgather+65536+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,policy,10,2,309.04976764511355,302.5721185105437,380.93578079458723
spgather+65536+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy,10,2,7531.436774124367,7294.331144264402,8118.671657968687
