case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,1838.1734111213232,1793.393423976299,2077.7264112325515
spgather+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,policy,10,2,1504.0633762295533,1338.5728960594556,1713.1869653016934
scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,25.479702601167872,24.480233736625692,28.916231487328172
scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,50.07307098444369,46.90149126143936,56.19037001799883
scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,296.42428908710866,241.9380301777814,340.69282722748306
scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,10871.672208908729,10216.44324570734,12215.163835248106
spgather+4096+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,policy,10,2,26.99873139749117,24.48778727163635,32.72826393790269
spgather+4096+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy,10,2,424.5326536280427,385.7403190418024,464.8749538401511
spgather+65536+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,policy,10,2,345.2974357888371,305.30670988450197,450.8132233470258
spgather+65536+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy,10,2,11193.68489610038,7697.579242636746,12882.279637377964
