case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,5,1,1778.6053729494447,1663.2150642156062,1980.206685648909
spgather+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,policy,5,1,1260.0465050658827,1214.6782639508635,1324.6036931072497
scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,policy,5,1,75.696408,68.959648,86.136449
scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,policy,5,1,77.199551,73.863176,78.723641
scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,policy,5,1,376.83920830056684,370.5504646639291,432.20359308625115
scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,policy,5,1,13130.757675150879,12712.769089477828,13533.066058777224
spgather+4096+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,policy,5,1,99.471665,96.098063,110.838735
spgather+4096+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy,5,1,409.3734995355163,402.0566629629405,438.18850144809625
spgather+65536+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,policy,5,1,465.39008147718386,458.3160617603016,477.5271319251593
spgather+65536+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy,5,1,10268.349298881361,10040.65773856415,10773.450501549289
