case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1322.2011260986328,1291.033935546875,1390.16064453125
spgather+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,983.3416519165039,974.9621353149414,993.5072174072266
scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,94.983095,78.835069,139.566522
scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,79.852038,78.683382,82.237132
scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,325.3018093109131,320.3670654296875,331.1100387573242
scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,12789.27001953125,12742.685180664062,13856.06640625
spgather+4096+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,73.034779,72.787898,74.28201
spgather+4096+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,380.521577835083,378.2139587402344,405.6011505126953
spgather+65536+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,405.8069038391113,402.4284553527832,413.9181442260742
spgather+65536+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,9060.154235839844,8840.243774414062,9627.517272949219
