case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1317.3762893676758,1287.4604034423828,1334.8891220092773
spgather+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,47.504542,47.123255,47.784402
scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,59.201666,56.30513,59.476821
scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,274.7294158935547,268.9428062438965,277.1024932861328
scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,16522.501831054688,15438.630981445312,18135.510375976562
spgather+4096+sparse-uniform+density=0.01+timing=arithmetic,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spgather+4096+sparse-uniform+density=0.25+timing=arithmetic,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spgather+65536+sparse-uniform+density=0.01+timing=arithmetic,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spgather+65536+sparse-uniform+density=0.25+timing=arithmetic,unsupported,unsupported,arithmetic,unavailable,0,0,,,
