run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,jvm-simd/simd(4 lanes)/simd-sparse/packed-8x4,1,ns,6e4c009a2debfea98b1b169b903b79da200a08d3,false,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
case,1,1,spgather+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,policy
sample,1,1,1,212718,202002190,949.6243383258586
sample,1,1,2,218903,203410089,929.2247662206548
sample,1,1,3,217038,198876659,916.3218376505497
sample,1,1,4,215294,203500751,945.222584001412
sample,1,1,5,211121,202582567,959.5566855026265
sample,1,2,6,255598,200037110,782.6239250698362
sample,1,2,7,273366,204461187,747.9393450538838
sample,1,2,8,264561,200097187,756.3366747177399
sample,1,2,9,267022,200090630,749.341365130963
sample,1,2,10,263177,200471211,761.7352998172332
case,2,1,spgather+4096+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,policy
sample,2,1,1,10173887,201069952,19.7633364711049
sample,2,1,2,10385120,200094952,19.267466529033847
sample,2,1,3,10091491,198847269,19.70444892632813
sample,2,1,4,9783859,200976033,20.54159130870549
sample,2,1,5,10166901,205045920,20.16798629198809
sample,2,2,6,10641792,203030937,19.078641736279003
sample,2,2,7,10548802,203213715,19.26415103819372
sample,2,2,8,10258782,200095115,19.504763333502943
sample,2,2,9,9892013,200067457,20.225151038519662
sample,2,2,10,10267116,201988964,19.673388710130478
case,3,1,spgather+4096+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy
sample,3,1,1,739118,200025154,270.62682007473774
sample,3,1,2,776949,200095315,257.5398320867908
sample,3,1,3,788569,200113427,253.76780852404798
sample,3,1,4,789370,200130958,253.53251073641005
sample,3,1,5,790918,203685552,257.53055563282163
sample,3,2,6,778178,201093416,258.4157043761196
sample,3,2,7,786360,203302968,258.53676178849383
sample,3,2,8,779976,200103447,256.5507746392197
sample,3,2,9,761518,202152892,265.4604250982905
sample,3,2,10,799283,203657601,254.80036607809748
case,4,1,spgather+65536+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,policy
sample,4,1,1,751183,202325722,269.3427859789159
sample,4,1,2,772832,200104158,258.9232304045381
sample,4,1,3,765111,201516625,263.38220859456993
sample,4,1,4,772694,203552215,263.4318565952369
sample,4,1,5,774274,202143943,261.07546294980847
sample,4,2,6,767488,200095569,260.71491541235827
sample,4,2,7,780942,200805682,257.13264493393876
sample,4,2,8,781519,202823992,259.52534999149094
sample,4,2,9,767470,200097350,260.7233507498664
sample,4,2,10,779640,203353050,260.829421271356
case,5,1,spgather+65536+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy
sample,5,1,1,29474,200981262,6818.934043563819
sample,5,1,2,29897,203378449,6802.637354918554
sample,5,1,3,30339,203496649,6707.42770031972
sample,5,1,4,30054,200108862,6658.310441205829
sample,5,1,5,29997,201149043,6705.638663866386
sample,5,2,6,31138,200133754,6427.315627207913
sample,5,2,7,31003,203560447,6565.83062929394
sample,5,2,8,30620,200178957,6537.523089483997
sample,5,2,9,30482,200103309,6564.638442359425
sample,5,2,10,31189,201314909,6454.676616755907
