elapsed_s,cpu_percent
1.042,86.43
2.046,92.24
3.048,82.46
4.051,70.68
5.053,66.70
6.054,81.59
7.055,76.26
8.057,68.51
9.058,62.32
10.059,59.04
11.060,62.61
12.062,76.82
13.065,65.67
14.066,60.62
15.069,78.15
16.071,91.47
17.072,86.78
18.073,77.68
19.075,61.83
20.077,87.00
21.078,54.40
22.081,50.15
23.082,96.69
24.085,90.52
25.087,82.67
26.088,96.29
27.090,95.38
28.091,87.97
29.094,95.39
30.095,79.19
31.098,96.95
32.099,82.14
33.101,66.80
34.103,61.14
35.105,76.27
36.107,80.19
37.108,53.38
38.109,69.93
39.110,77.35
40.111,61.33
41.114,74.86
42.115,68.83
43.117,68.23
44.118,77.56
45.120,68.38
46.121,61.68
47.122,57.79
48.124,86.55
49.126,95.03
50.128,90.36
51.129,67.14
52.130,52.70
53.131,60.05
54.132,56.62
55.134,72.38
56.136,81.82
57.137,88.21
58.139,83.91
59.144,90.30
60.145,86.93
61.149,76.63
62.150,87.88
63.152,93.63
64.156,98.90
65.161,88.15
66.163,78.64
67.164,88.20
68.166,87.27
69.167,81.60
70.169,81.82
71.170,79.77
72.171,67.96
73.174,84.51
74.176,93.88
75.178,86.10
76.180,68.79
77.181,79.37
78.182,63.57
79.183,85.41
80.185,79.05
81.186,85.38
82.187,65.71
83.188,62.63
84.189,73.57
85.190,67.36
86.192,82.46
87.193,78.84
88.194,63.58
89.195,86.95
90.197,72.45
91.198,84.74
92.199,92.36
93.201,64.33
94.203,75.84
95.204,91.88
96.206,65.69
97.207,80.14
98.208,70.58
99.210,74.91
100.213,79.55
101.214,73.83
102.216,58.97
103.217,59.51
104.218,78.58
105.219,58.04
106.221,61.90
107.222,61.44
108.226,72.73
109.227,54.93
110.228,77.16
111.229,69.91
112.234,68.52
113.235,95.34
114.237,65.21
115.238,70.84
116.239,93.38
117.240,95.69
118.242,84.81
119.243,75.30
120.244,62.60
121.245,60.11
122.247,69.75
123.248,62.29
124.249,66.35
125.250,57.51
126.251,68.66
127.253,72.20
128.254,59.39
129.256,56.49
130.257,66.21
131.258,46.53
132.259,50.83
133.260,61.39
134.262,67.84
135.263,63.08
136.264,53.14
137.265,65.02
138.266,48.89
139.268,56.23
140.269,53.85
141.270,75.26
142.271,81.79
143.272,60.27
144.273,51.48
145.274,45.70
146.275,63.73
147.276,41.12
148.277,42.99
149.279,59.36
150.280,50.45
151.281,59.27
152.282,42.29
153.284,56.70
154.284,38.48
155.285,34.73
