case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,3674.9269084041034,2704.74569434493,3933.5879101899827
spgather+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,policy,10,2,2178.5602091564115,1883.5791547676445,2618.908209865331
scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,25.0250266439945,15.960933066846,27.897593649149673
scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,61.335314416534885,50.33295623863189,71.13254194197687
scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,1021.8344905700948,951.4733551850269,1271.0907791591771
scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,22286.378176235514,16890.165453504538,25754.97582278481
spgather+4096+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,policy,10,2,77.56430625197903,47.89682256521627,105.17111445125319
spgather+4096+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy,10,2,1073.4416129192855,619.8586285513313,1528.8715339111088
spgather+65536+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,policy,10,2,1133.92165135722,935.81928745631,1355.5327928806535
spgather+65536+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy,10,2,16446.430796923843,13526.473227498991,26145.332134600565
