case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,5,1,2121.4242569511025,2041.4048571020583,2309.5436139613635
spgather+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,policy,5,1,1573.2053235874896,1392.6662048538124,1622.9167462895725
scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,policy,5,1,103.027917,83.637531,126.939098
scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,policy,5,1,116.239967,86.016223,149.118424
scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,policy,5,1,744.8464480528758,578.9982925920981,799.2187964765096
scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,policy,5,1,16082.739502839586,15588.116097197653,17698.879340843498
spgather+4096+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,policy,5,1,167.540167,122.033409,186.211701
spgather+4096+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy,5,1,977.1010410672247,729.8559769814282,1120.5985979597176
spgather+65536+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,policy,5,1,835.2094540105104,721.4459460657031,888.1881851454701
spgather+65536+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy,5,1,16378.368287283758,13756.635074198573,17357.774616709026
