case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1757.9727783203125,1675.9168853759766,1964.3553009033203
spgather+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1165.0028610229492,1068.018440246582,1388.445083618164
scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,103.317495,79.688637,112.003751
scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,81.6398,80.573911,86.915875
scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,380.71631050109863,338.34021186828613,476.56070709228516
scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,15418.02685546875,14570.096313476562,18491.577758789062
spgather+4096+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,108.128898,90.819225,114.048728
spgather+4096+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,500.3583221435547,400.66655349731445,557.5838966369629
spgather+65536+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,534.6998329162598,514.5134925842285,689.4222984313965
spgather+65536+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,10838.525207519531,10802.083801269531,11569.492492675781
