case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,2374.514617919922,2281.2345275878906,2578.5337829589844
spgather+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,87.433796,73.839108,94.444705
scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,104.758867,101.282043,120.178566
scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,400.9887390136719,349.30090141296387,429.58292388916016
scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,19633.494140625,18410.323852539062,21264.667236328125
spgather+4096+sparse-uniform+density=0.01+timing=arithmetic,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spgather+4096+sparse-uniform+density=0.25+timing=arithmetic,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spgather+65536+sparse-uniform+density=0.01+timing=arithmetic,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spgather+65536+sparse-uniform+density=0.25+timing=arithmetic,unsupported,unsupported,arithmetic,unavailable,0,0,,,
