run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,native/c/c-sparse/packed-4x4,2,ns,6e4c009a2debfea98b1b169b903b79da200a08d3,false,kotlin-native-2.4.10,1,3,50000000,native-calibrated,12500000,1
case,1,1,scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,policy
sample,1,1,1,84040,49513108,589.1612089481199
sample,1,1,2,84040,50470778,600.5566158971918
sample,1,1,3,84040,48852214,581.2971680152308
sample,1,1,4,84040,50340723,599.0090790099953
sample,1,1,5,84040,49507921,589.0994883388862
case,2,1,spgather+4096+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy
sample,2,1,1,161403,50720127,314.24525566439286
sample,2,1,2,161403,50757094,314.4742910602653
sample,2,1,3,161403,50857816,315.0983315056102
sample,2,1,4,161403,50909591,315.4191124080717
sample,2,1,5,161403,49926170,309.3261587455004
case,3,1,spgather+65536+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy
sample,3,1,1,6995,50673104,7244.189278055754
sample,3,1,2,6995,52667119,7529.252180128663
sample,3,1,3,6995,53768644,7686.725375268049
sample,3,1,4,6995,52842840,7554.373123659757
sample,3,1,5,6995,51762476,7399.9250893495355
