run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,native/c/c-sparse/packed-4x4,3,ns,6e4c009a2debfea98b1b169b903b79da200a08d3,false,kotlin-native-2.4.10,1,3,50000000,native-calibrated,12500000,1
case,1,1,scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,policy
sample,1,1,1,82832,48483263,585.3204437898397
sample,1,1,2,82832,49594051,598.7305751400424
sample,1,1,3,82832,47986555,579.3238724164574
sample,1,1,4,82832,50642841,611.3922276414912
sample,1,1,5,82832,49583516,598.6033899942051
case,2,1,spgather+4096+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy
sample,2,1,1,40358,49767565,1233.152410922246
sample,2,1,2,40358,53244702,1319.309727934982
sample,2,1,3,40358,49928081,1237.1297140591705
sample,2,1,4,40358,50284873,1245.9703900094157
sample,2,1,5,40358,49678127,1230.936295158333
case,3,1,spgather+65536+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy
sample,3,1,1,2599,50759746,19530.490958060793
sample,3,1,2,2599,50672525,19496.931512120045
sample,3,1,3,2599,50856742,19567.81146594844
sample,3,1,4,2599,51385742,19771.351288957292
sample,3,1,5,2599,51512082,19819.96229318969
