elapsed_s,cpu_percent
1.016,9.44
2.017,6.71
3.017,6.91
4.018,9.97
5.019,15.12
6.020,27.27
7.021,17.61
8.022,13.14
9.023,18.33
10.023,23.54
11.024,24.02
12.025,17.84
13.026,14.18
14.027,17.17
15.027,11.68
16.028,10.48
17.029,12.29
18.030,10.75
19.031,11.17
20.032,10.75
21.033,20.98
22.035,18.26
23.036,24.67
24.037,17.03
25.038,20.73
26.040,19.23
27.041,18.80
28.042,20.13
29.043,18.82
30.044,20.18
31.045,18.26
32.046,17.27
33.047,18.30
34.048,16.52
35.049,17.06
36.050,17.03
37.050,19.21
38.051,18.04
39.052,17.15
40.053,21.80
41.053,17.40
42.054,17.04
43.055,16.82
44.056,17.04
45.056,19.58
46.057,16.61
47.058,19.02
48.059,16.59
49.060,19.26
50.061,17.27
51.061,18.00
52.062,18.37
53.063,16.94
54.064,23.81
55.065,17.42
56.066,20.69
57.066,20.67
58.067,17.36
59.068,19.37
60.069,18.26
61.070,17.76
62.071,23.98
63.072,42.02
64.073,17.44
65.074,17.03
66.075,17.73
67.076,17.99
68.076,18.53
69.077,17.15
70.078,16.84
71.079,16.95
72.080,17.24
73.080,19.15
74.081,17.39
75.082,17.85
76.083,18.75
77.084,18.16
78.084,17.45
79.085,18.92
80.086,16.94
81.087,18.43
82.088,21.34
83.089,40.65
84.090,49.47
85.091,35.71
86.092,17.17
87.093,11.83
88.093,12.14
89.094,10.03
90.095,11.56
91.095,11.72
92.096,10.85
93.097,11.08
94.098,11.75
95.098,11.24
96.099,10.30
97.100,10.94
98.101,10.14
99.101,10.88
100.102,11.10
101.102,10.42
102.103,10.75
103.104,10.62
104.104,10.90
105.105,11.71
106.106,10.74
107.106,11.07
108.107,10.99
109.108,11.40
110.108,11.99
111.109,10.73
112.110,11.42
113.110,12.20
114.111,11.97
115.112,10.47
116.112,11.09
117.113,11.29
118.114,11.83
119.114,10.27
