case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,1415.1413299012156,1379.0317202474002,1516.5891124418622
spgather+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,policy,10,2,1368.6694037435707,1350.0731848618352,1388.8189397718809
scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,20.90265846991698,12.508794277794017,28.963293406178916
scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,29.51642653463893,29.172773657492872,31.768419972012968
scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,286.386889869548,278.98717806471296,316.0431843522425
scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,policy,10,2,13421.661222853843,12940.138660250728,17481.170139486825
spgather+4096+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,policy,10,2,28.489909496801303,27.576059588624293,37.730468502641905
spgather+4096+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy,10,2,353.55383169546417,348.42923801391925,364.8666250941308
spgather+65536+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,policy,10,2,371.573225449674,368.24061897900486,426.1914904834713
spgather+65536+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy,10,2,9662.220045118349,8910.243548245997,10798.264770949118
