case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,5,1,1838.2705471301135,1704.1574558021307,1980.1391007149725
spgather+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,policy,5,1,843.7113432593143,829.1092225680572,909.8483461860076
scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,policy,5,1,57.930792,51.038901,60.138045
scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,policy,5,1,58.081307,56.730487,58.459368
scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,policy,5,1,321.60253654375924,311.57922975492204,332.68588124434575
scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,policy,5,1,11101.129411103619,10987.981119352664,11567.197797257812
spgather+4096+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,policy,5,1,80.773642,79.373052,82.582631
spgather+4096+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy,5,1,1101.3729455035516,1074.8582923884662,1107.909200662605
spgather+65536+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,policy,5,1,816.2348396304179,798.6434139999918,839.000574139918
spgather+65536+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,policy,5,1,17350.23995535714,16814.582074175825,17648.62757554945
