case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1037.069480895996,1028.9283065795898,1038.8036346435547
spgather+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,794.2848663330078,777.9043045043945,837.8248672485352
scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,62.124725,61.644533,63.335756
scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,63.451925,62.39333,63.88693
scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,273.02387619018555,271.19316482543945,304.14823150634766
scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,11314.66357421875,10848.069213867188,11661.956237792969
spgather+4096+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,59.999947,58.818252,60.86121
spgather+4096+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,313.0716743469238,304.67796516418457,319.94286727905273
spgather+65536+sparse-uniform+density=0.01+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,361.57736015319824,348.8451271057129,379.2996292114258
spgather+65536+sparse-uniform+density=0.25+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,7107.912292480469,6881.44873046875,7297.9112548828125
