case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1267.0694122314453,1255.0321655273438,1277.7610244750977
spgather+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,48.305475,48.196242,48.724392
scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,56.536448,54.53954,57.28301
scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,260.7502956390381,258.8474807739258,295.6637649536133
scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas,5,1,11465.754638671875,10859.409301757812,11688.161071777344
spgather+4096+sparse-uniform+density=0.01+timing=arithmetic,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spgather+4096+sparse-uniform+density=0.25+timing=arithmetic,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spgather+65536+sparse-uniform+density=0.01+timing=arithmetic,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spgather+65536+sparse-uniform+density=0.25+timing=arithmetic,unsupported,unsupported,arithmetic,unavailable,0,0,,,
