n,offset_bytes,mode,implementation,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
96,0,negate,baseline,1,87360,606036,611426,6.9372252747252743,6.9989239926739923
96,0,negate,aligned,1,87360,602757,608112,6.8996909340659345,6.9609890109890111
96,0,negate,unrolled,1,87360,482148,487532,5.5190934065934067,5.5807234432234436
96,0,negate,aligned-unrolled,1,87360,503565,508776,5.7642513736263732,5.8239010989010991
96,0,negate,openblas,1,87360,775804,781124,8.8805402930402924,8.9414377289377285
96,0,negate,onemkl,1,87360,1149523,1155257,13.158459249084249,13.224095695970696
96,0,negate,baseline,2,87360,609029,614455,6.971485805860806,7.0335966117216113
96,0,negate,aligned,2,87360,608648,614076,6.9671245421245418,7.0292582417582414
96,0,negate,unrolled,2,87360,486069,491379,5.5639766483516482,5.6247596153846153
96,0,negate,aligned-unrolled,2,87360,503197,508505,5.760038919413919,5.8207989926739927
96,0,negate,openblas,2,87360,783101,788489,8.9640682234432241,9.0257440476190478
96,0,negate,onemkl,2,87360,1160091,1165455,13.279429945054945,13.340831043956044
96,0,negate,baseline,3,87360,611995,617381,7.005437271062271,7.0670902014652013
96,0,negate,aligned,3,87360,612593,618057,7.0122825091575089,7.0748282967032967
96,0,negate,unrolled,3,87360,479674,485167,5.4907738095238097,5.5536515567765568
96,0,negate,aligned-unrolled,3,87360,503518,508946,5.7637133699633702,5.8258470695970699
96,0,negate,openblas,3,87360,774633,780193,8.8671359890109898,8.9307806776556777
96,0,negate,onemkl,3,87360,1126424,1136148,12.894047619047619,13.005357142857143
96,0,negate,baseline,4,87360,605836,611263,6.9349358974358974,6.9970581501831504
96,0,negate,aligned,4,87360,607191,612648,6.9504464285714285,7.0129120879120883
96,0,negate,unrolled,4,87360,477753,482910,5.468784340659341,5.5278159340659343
96,0,negate,aligned-unrolled,4,87360,484052,489406,5.5408882783882785,5.6021749084249084
96,0,negate,openblas,4,87360,775938,781234,8.8820741758241759,8.9426968864468872
96,0,negate,onemkl,4,87360,1156586,1162027,13.239308608058607,13.301591117216118
96,0,negate,baseline,5,87360,631751,637135,7.2315819597069595,7.2932119963369964
96,0,negate,aligned,5,87360,625385,631069,7.1587110805860803,7.2237751831501829
96,0,negate,unrolled,5,87360,503240,508604,5.7605311355311359,5.8219322344322348
96,0,negate,aligned-unrolled,5,87360,509379,514921,5.8308035714285715,5.8942422161172159
96,0,negate,openblas,5,87360,809470,815049,9.2659111721611715,9.3297733516483525
96,0,negate,onemkl,5,87360,1185531,1191306,13.570638736263737,13.636744505494505
96,0,powers-two,baseline,1,87360,613440,618881,7.0219780219780219,7.0842605311355316
96,0,powers-two,aligned,1,87360,608921,617139,6.9702495421245425,7.0643200549450551
96,0,powers-two,unrolled,1,87360,493809,499319,5.6525755494505496,5.7156478937728936
96,0,powers-two,aligned-unrolled,1,87360,517443,522824,5.9231112637362635,5.9847069597069593
96,0,powers-two,openblas,1,87360,778259,783686,8.9086423992674,8.9707646520146529
96,0,powers-two,onemkl,1,87360,1136562,1142519,13.010096153846154,13.078285256410256
96,0,powers-two,baseline,2,87360,601480,607075,6.88507326007326,6.9491185897435894
96,0,powers-two,aligned,2,87360,599482,604839,6.8622023809523807,6.9235233516483516
96,0,powers-two,unrolled,2,87360,486587,492074,5.5699061355311352,5.6327152014652011
96,0,powers-two,aligned-unrolled,2,87360,520418,525738,5.9571657509157507,6.0180631868131869
96,0,powers-two,openblas,2,87360,768381,773983,8.7955700549450544,8.8596955128205135
96,0,powers-two,onemkl,2,87360,1116771,1122552,12.783550824175824,12.849725274725275
96,0,powers-two,baseline,3,87360,610933,616568,6.9932806776556777,7.057783882783883
96,0,powers-two,aligned,3,87360,598288,603781,6.8485347985347982,6.9114125457875462
96,0,powers-two,unrolled,3,87360,513284,518863,5.8755036630036628,5.9393658424908429
96,0,powers-two,aligned-unrolled,3,87360,520883,526292,5.9624885531135527,6.024404761904762
96,0,powers-two,openblas,3,87360,779701,785462,8.9251488095238098,8.9910943223443223
96,0,powers-two,onemkl,3,87360,1130590,1136411,12.941735347985349,13.008367673992675
96,0,powers-two,baseline,4,87360,611897,617476,7.0043154761904765,7.0681776556776557
96,0,powers-two,aligned,4,87360,602922,608264,6.9015796703296699,6.9627289377289374
96,0,powers-two,unrolled,4,87360,504564,510441,5.7756868131868133,5.8429601648351648
96,0,powers-two,aligned-unrolled,4,87360,521152,526632,5.9655677655677657,6.0282967032967036
96,0,powers-two,openblas,4,87360,784252,789892,8.9772435897435905,9.0418040293040285
96,0,powers-two,onemkl,4,87360,1125530,1131401,12.883814102564102,12.951018772893773
96,0,powers-two,baseline,5,87360,601124,606482,6.8809981684981683,6.942330586080586
96,0,powers-two,aligned,5,87360,585689,591020,6.7043154761904766,6.7653388278388276
96,0,powers-two,unrolled,5,87360,489974,495380,5.6086767399267403,5.6705586080586077
