n,offset_bytes,mode,implementation,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
64,0,negate,baseline,1,131072,772500,778498,5.893707275390625,5.9394683837890625
64,0,negate,aligned,1,131072,626800,633170,4.7821044921875,4.8307037353515625
64,0,negate,unrolled,1,131072,640328,646234,4.88531494140625,4.9303741455078125
64,0,negate,aligned-unrolled,1,131072,590102,595509,4.5021209716796875,4.5433731079101562
64,0,negate,openblas,1,131072,1008627,1014630,7.6952133178710938,7.7410125732421875
64,0,negate,onemkl,1,131072,1645813,1651876,12.556556701660156,12.602813720703125
64,0,negate,baseline,2,131072,866631,872396,6.6118698120117188,6.655853271484375
64,0,negate,aligned,2,131072,639974,645887,4.8826141357421875,4.9277267456054688
64,0,negate,unrolled,2,131072,654258,660333,4.9915924072265625,5.0379409790039062
64,0,negate,aligned-unrolled,2,131072,607836,613651,4.637420654296875,4.6817855834960938
64,0,negate,openblas,2,131072,1038480,1044012,7.9229736328125,7.965179443359375
64,0,negate,onemkl,2,131072,1692026,1697859,12.909133911132812,12.953636169433594
64,0,negate,baseline,3,131072,850205,855623,6.4865493774414062,6.5278854370117188
64,0,negate,aligned,3,131072,627669,633180,4.7887344360351562,4.830780029296875
64,0,negate,unrolled,3,131072,621911,627335,4.7448043823242188,4.7861862182617188
64,0,negate,aligned-unrolled,3,131072,576323,581696,4.3969955444335938,4.43798828125
64,0,negate,openblas,3,131072,985024,990385,7.51513671875,7.5560379028320312
64,0,negate,onemkl,3,131072,1624130,1629763,12.391128540039062,12.434104919433594
64,0,negate,baseline,4,131072,843037,848419,6.4318618774414062,6.4729232788085938
64,0,negate,aligned,4,131072,609019,614523,4.6464462280273438,4.6884384155273438
64,0,negate,unrolled,4,131072,620430,625786,4.7335052490234375,4.7743682861328125
64,0,negate,aligned-unrolled,4,131072,576124,581592,4.395477294921875,4.43719482421875
64,0,negate,openblas,4,131072,982610,988158,7.4967193603515625,7.5390472412109375
64,0,negate,onemkl,4,131072,1597515,1602987,12.188072204589844,12.229820251464844
64,0,negate,baseline,5,131072,843000,851960,6.43157958984375,6.49993896484375
64,0,negate,aligned,5,131072,596407,601878,4.5502243041992188,4.5919647216796875
64,0,negate,unrolled,5,131072,613179,618544,4.6781845092773438,4.7191162109375
64,0,negate,aligned-unrolled,5,131072,581953,587318,4.4399490356445312,4.4808807373046875
64,0,negate,openblas,5,131072,979490,985088,7.4729156494140625,7.515625
64,0,negate,onemkl,5,131072,1633309,1638987,12.461158752441406,12.504478454589844
64,0,negate,baseline,6,131072,816694,821930,6.2308807373046875,6.2708282470703125
64,0,negate,aligned,6,131072,591005,596206,4.5090103149414062,4.5486907958984375
64,0,negate,unrolled,6,131072,602102,607246,4.5936737060546875,4.6329193115234375
64,0,negate,aligned-unrolled,6,131072,557265,562399,4.2515945434570312,4.2907638549804688
64,0,negate,openblas,6,131072,951771,957041,7.2614364624023438,7.3016433715820312
64,0,negate,onemkl,6,131072,1600430,1605742,12.210311889648438,12.250839233398438
64,0,negate,baseline,7,131072,822566,828077,6.2756805419921875,6.3177261352539062
64,0,negate,aligned,7,131072,598207,603347,4.5639572143554688,4.6031723022460938
64,0,negate,unrolled,7,131072,612500,617767,4.673004150390625,4.7131881713867188
64,0,negate,aligned-unrolled,7,131072,559170,564471,4.2661285400390625,4.3065719604492188
64,0,negate,openblas,7,131072,951896,957121,7.26239013671875,7.3022537231445312
64,0,negate,onemkl,7,131072,1607768,1613143,12.26629638671875,12.307304382324219
64,0,powers-two,baseline,1,131072,761016,766151,5.80609130859375,5.8452682495117188
64,0,powers-two,aligned,1,131072,596016,601109,4.5472412109375,4.5860977172851562
64,0,powers-two,unrolled,1,131072,553055,558206,4.2194747924804688,4.2587738037109375
64,0,powers-two,aligned-unrolled,1,131072,567273,572892,4.3279495239257812,4.370819091796875
64,0,powers-two,openblas,1,131072,897808,903476,6.8497314453125,6.892974853515625
64,0,powers-two,onemkl,1,131072,1478098,1483563,11.276992797851562,11.318687438964844
64,0,powers-two,baseline,2,131072,783567,788896,5.9781417846679688,6.018798828125
64,0,powers-two,aligned,2,131072,616505,621919,4.7035598754882812,4.7448654174804688
64,0,powers-two,unrolled,2,131072,561237,566463,4.2818984985351562,4.3217697143554688
64,0,powers-two,aligned-unrolled,2,131072,584621,590312,4.4603042602539062,4.50372314453125
64,0,powers-two,openblas,2,131072,948929,954286,7.2397537231445312,7.2806243896484375
64,0,powers-two,onemkl,2,131072,1538778,1544366,11.739944458007812,11.782577514648438
64,0,powers-two,baseline,3,131072,787595,793093,6.0088729858398438,6.0508193969726562
64,0,powers-two,aligned,3,131072,604669,609946,4.6132583618164062,4.6535186767578125
64,0,powers-two,unrolled,3,131072,569089,574422,4.3418045043945312,4.3824920654296875
64,0,powers-two,aligned-unrolled,3,131072,591971,597704,4.5163803100585938,4.56011962890625
64,0,powers-two,openblas,3,131072,963372,968750,7.349945068359375,7.3909759521484375
64,0,powers-two,onemkl,3,131072,1545027,1550970,11.787620544433594,11.832962036132812
64,0,powers-two,baseline,4,131072,784577,790347,5.9858474731445312,6.0298690795898438
64,0,powers-two,aligned,4,131072,620291,625671,4.7324447631835938,4.7734909057617188
64,0,powers-two,unrolled,4,131072,577005,582366,4.4021987915039062,4.4430999755859375
64,0,powers-two,aligned-unrolled,4,131072,601000,606769,4.58526611328125,4.6292800903320312
64,0,powers-two,openblas,4,131072,987940,993340,7.537384033203125,7.578582763671875
64,0,powers-two,onemkl,4,131072,1562785,1568302,11.923103332519531,11.965194702148438
64,0,powers-two,baseline,5,131072,792291,798140,6.0447006225585938,6.089324951171875
64,0,powers-two,aligned,5,131072,618392,623988,4.71795654296875,4.760650634765625
64,0,powers-two,unrolled,5,131072,567920,573351,4.3328857421875,4.3743209838867188
64,0,powers-two,aligned-unrolled,5,131072,593283,599115,4.5263900756835938,4.5708847045898438
64,0,powers-two,openblas,5,131072,978986,984460,7.4690704345703125,7.510833740234375
64,0,powers-two,onemkl,5,131072,1562736,1568502,11.9227294921875,11.966720581054688
64,0,powers-two,baseline,6,131072,794648,800553,6.06268310546875,6.1077346801757812
64,0,powers-two,aligned,6,131072,620088,625597,4.73089599609375,4.7729263305664062
64,0,powers-two,unrolled,6,131072,578510,583892,4.4136810302734375,4.454742431640625
64,0,powers-two,aligned-unrolled,6,131072,591107,596832,4.5097885131835938,4.553466796875
64,0,powers-two,openblas,6,131072,981009,986465,7.4845046997070312,7.5261306762695312
64,0,powers-two,onemkl,6,131072,1560813,1566293,11.908058166503906,11.949867248535156
64,0,powers-two,baseline,7,131072,787861,793484,6.0109024047851562,6.053802490234375
