n,offset,alignment_bytes,mode,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
64,0,24,arithmetic,1,262144,6257553,6261233,23.870670318603516,23.884708404541016
64,0,24,arithmetic,2,262144,6280671,6284504,23.958858489990234,23.973480224609375
64,0,24,arithmetic,3,262144,6313899,6317494,24.085613250732422,24.099327087402344
64,0,24,arithmetic,4,262144,6249771,6254176,23.840984344482422,23.8577880859375
64,0,24,arithmetic,5,262144,6234499,6238375,23.782726287841797,23.79751205444336
64,0,24,arithmetic,6,262144,6261675,6265137,23.886394500732422,23.899600982666016
64,0,24,arithmetic,7,262144,6169991,6175005,23.53664779663086,23.555774688720703
64,0,24,reset,1,262144,7591510,7611970,28.959312438964844,29.03736114501953
64,0,24,reset,2,262144,7503282,7507913,28.62274932861328,28.64041519165039
64,0,24,reset,3,262144,7518584,7522523,28.681121826171875,28.696147918701172
64,0,24,reset,4,262144,7518056,7522312,28.679107666015625,28.695343017578125
64,0,24,reset,5,262144,7393201,7396903,28.202823638916016,28.21694564819336
64,0,24,reset,6,262144,7476580,7480714,28.520889282226563,28.536659240722656
64,0,24,reset,7,262144,7501653,7505346,28.616535186767578,28.63062286376953
64,1,0,arithmetic,1,262144,5422308,5426330,20.684463500976563,20.699806213378906
64,1,0,arithmetic,2,262144,5413055,5417016,20.649166107177734,20.664276123046875
64,1,0,arithmetic,3,262144,5525398,5529229,21.077720642089844,21.092334747314453
64,1,0,arithmetic,4,262144,5331999,5335794,20.339962005615234,20.35443878173828
64,1,0,arithmetic,5,262144,5362041,5366233,20.45456314086914,20.47055435180664
64,1,0,arithmetic,6,262144,5405279,5408842,20.619503021240234,20.633094787597656
64,1,0,arithmetic,7,262144,5414277,5418268,20.653827667236328,20.669052124023438
64,1,0,reset,1,262144,6429663,6473379,24.527217864990234,24.693981170654297
64,1,0,reset,2,262144,6418345,6422270,24.48404312133789,24.49901580810547
64,1,0,reset,3,262144,6440387,6445015,24.568126678466797,24.58578109741211
64,1,0,reset,4,262144,6371048,6374961,24.303619384765625,24.318546295166016
64,1,0,reset,5,262144,6406349,6410666,24.438282012939453,24.454750061035156
64,1,0,reset,6,262144,6437279,6442023,24.556270599365234,24.57436752319336
64,1,0,reset,7,262144,6383240,6387004,24.350128173828125,24.364486694335938
64,2,8,arithmetic,1,262144,6113774,6118804,23.32219696044922,23.341384887695313
64,2,8,arithmetic,2,262144,6179633,6183783,23.573429107666016,23.58926010131836
64,2,8,arithmetic,3,262144,6176646,6180751,23.562034606933594,23.577693939208984
64,2,8,arithmetic,4,262144,6131593,6135483,23.39017105102539,23.405010223388672
64,2,8,arithmetic,5,262144,6185567,6189237,23.596065521240234,23.610065460205078
64,2,8,arithmetic,6,262144,6271494,6275614,23.923851013183594,23.93956756591797
64,2,8,arithmetic,7,262144,6222319,6226381,23.736263275146484,23.751758575439453
64,2,8,reset,1,262144,7610615,7621166,29.03219223022461,29.07244110107422
64,2,8,reset,2,262144,7522423,7526106,28.69576644897461,28.709815979003906
64,2,8,reset,3,262144,7593403,7598137,28.966533660888672,28.98459243774414
64,2,8,reset,4,262144,7513097,7517476,28.66019058227539,28.676895141601563
64,2,8,reset,5,262144,7607851,7612698,29.021648406982422,29.040138244628906
64,2,8,reset,6,262144,7705858,7709660,29.39551544189453,29.410018920898438
64,2,8,reset,7,262144,7418692,7422474,28.300064086914063,28.314491271972656
64,3,16,arithmetic,1,262144,6087926,6092550,23.223594665527344,23.241233825683594
64,3,16,arithmetic,2,262144,6120182,6123727,23.346641540527344,23.360164642333984
64,3,16,arithmetic,3,262144,6098955,6103266,23.265666961669922,23.28211212158203
64,3,16,arithmetic,4,262144,6230331,6233850,23.766826629638672,23.780250549316406
64,3,16,arithmetic,5,262144,6099508,6103313,23.267776489257813,23.282291412353516
64,3,16,arithmetic,6,262144,6106833,6110866,23.295719146728516,23.31110382080078
64,3,16,arithmetic,7,262144,6086857,6090220,23.21951675415039,23.232345581054688
64,3,16,reset,1,262144,7420006,7424376,28.305076599121094,28.321746826171875
64,3,16,reset,2,262144,7511755,7515691,28.655071258544922,28.670085906982422
