n,offset,alignment_bytes,mode,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
64,0,24,arithmetic,1,262144,6517605,6524158,24.862689971923828,24.88768768310547
64,0,24,arithmetic,2,262144,6426039,6430221,24.51339340209961,24.529346466064453
64,0,24,arithmetic,3,262144,6370444,6374630,24.301315307617188,24.317283630371094
64,0,24,arithmetic,4,262144,6367073,6370662,24.288455963134766,24.302146911621094
64,0,24,arithmetic,5,262144,6446254,6450169,24.59050750732422,24.60544204711914
64,0,24,arithmetic,6,262144,6454653,6458257,24.622547149658203,24.636295318603516
64,0,24,arithmetic,7,262144,6402012,6405971,24.421737670898438,24.436840057373047
64,0,24,reset,1,262144,7669860,7673811,29.258193969726563,29.273265838623047
64,0,24,reset,2,262144,7733354,7737946,29.500404357910156,29.517921447753906
64,0,24,reset,3,262144,7777749,7781505,29.669757843017578,29.684085845947266
64,0,24,reset,4,262144,7808380,7813025,29.786605834960938,29.804325103759766
64,0,24,reset,5,262144,7698175,7701971,29.366207122802734,29.380687713623047
64,0,24,reset,6,262144,7676858,7681289,29.284889221191406,29.30179214477539
64,0,24,reset,7,262144,7653351,7711370,29.19521713256836,29.416542053222656
64,1,0,arithmetic,1,262144,5596447,5600679,21.348751068115234,21.36489486694336
64,1,0,arithmetic,2,262144,5697800,5702205,21.735382080078125,21.752185821533203
64,1,0,arithmetic,3,262144,5702060,5705842,21.751632690429688,21.76605987548828
64,1,0,arithmetic,4,262144,5607257,5611729,21.38998794555664,21.407047271728516
64,1,0,arithmetic,5,262144,5637651,5641774,21.505931854248047,21.52165985107422
64,1,0,arithmetic,6,262144,5529564,5533203,21.093612670898438,21.107494354248047
64,1,0,arithmetic,7,262144,5537031,5540883,21.12209701538086,21.136791229248047
64,1,0,reset,1,262144,6779299,6783013,25.860973358154297,25.875141143798828
64,1,0,reset,2,262144,6555166,6559310,25.00597381591797,25.02178192138672
64,1,0,reset,3,262144,6601934,6606423,25.18437957763672,25.20150375366211
64,1,0,reset,4,262144,6548146,6551869,24.97919464111328,24.993396759033203
64,1,0,reset,5,262144,6575054,6579900,25.08184051513672,25.100326538085938
64,1,0,reset,6,262144,6692585,6696324,25.53018569946289,25.544448852539063
64,1,0,reset,7,262144,6625952,6630583,25.2760009765625,25.29366683959961
64,2,8,arithmetic,1,262144,6293536,6297228,24.0079345703125,24.022018432617188
64,2,8,arithmetic,2,262144,6394902,6398635,24.394615173339844,24.408855438232422
64,2,8,arithmetic,3,262144,6457182,6461261,24.63219451904297,24.647754669189453
64,2,8,arithmetic,4,262144,6371453,6375002,24.305164337158203,24.318702697753906
64,2,8,arithmetic,5,262144,6373160,6377114,24.311676025390625,24.326759338378906
64,2,8,arithmetic,6,262144,6374904,6378766,24.318328857421875,24.33306121826172
64,2,8,arithmetic,7,262144,6373822,6378199,24.31420135498047,24.33089828491211
64,2,8,reset,1,262144,7727452,7731307,29.477890014648438,29.492595672607422
64,2,8,reset,2,262144,7699407,7705369,29.370906829833984,29.39365005493164
64,2,8,reset,3,262144,7634131,7637733,29.121898651123047,29.135639190673828
64,2,8,reset,4,262144,7654055,7658273,29.19790267944336,29.213993072509766
64,2,8,reset,5,262144,7552331,7555903,28.809856414794922,28.823482513427734
64,2,8,reset,6,262144,7758380,7762200,29.595870971679688,29.610443115234375
64,2,8,reset,7,262144,7734291,7739024,29.503978729248047,29.52203369140625
64,3,16,arithmetic,1,262144,6207378,6210922,23.67926788330078,23.692787170410156
64,3,16,arithmetic,2,262144,6327702,6331688,24.138267517089844,24.153472900390625
64,3,16,arithmetic,3,262144,6355104,6358724,24.2427978515625,24.256607055664063
64,3,16,arithmetic,4,262144,6259684,6263647,23.878799438476563,23.893917083740234
