n,offset_bytes,mode,implementation,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
64,0,negate,baseline,1,131072,867641,873663,6.6195755004882812,6.6655197143554688
64,0,negate,aligned,1,131072,897355,903323,6.8462753295898438,6.8918075561523438
64,0,negate,unrolled,1,131072,668918,674621,5.1034393310546875,5.1469497680664062
64,0,negate,aligned-unrolled,1,131072,715891,721456,5.4618148803710938,5.5042724609375
64,0,negate,openblas,1,131072,1046669,1052588,7.9854507446289062,8.030609130859375
64,0,negate,onemkl,1,131072,1699985,1727740,12.969856262207031,13.181610107421875
64,0,negate,baseline,2,131072,870761,876522,6.6433792114257812,6.6873321533203125
64,0,negate,aligned,2,131072,868173,874651,6.6236343383789062,6.6730575561523438
64,0,negate,unrolled,2,131072,676218,682202,5.1591339111328125,5.2047882080078125
64,0,negate,aligned-unrolled,2,131072,706074,711884,5.3869171142578125,5.431243896484375
64,0,negate,openblas,2,131072,1053320,1059074,8.03619384765625,8.0800933837890625
64,0,negate,onemkl,2,131072,1698472,1704461,12.95831298828125,13.004005432128906
64,0,negate,baseline,3,131072,887951,893793,6.7745285034179688,6.8190994262695312
64,0,negate,aligned,3,131072,881566,887480,6.7258148193359375,6.77093505859375
64,0,negate,unrolled,3,131072,672402,678140,5.1300201416015625,5.173797607421875
64,0,negate,aligned-unrolled,3,131072,711153,716914,5.4256668090820312,5.4696197509765625
64,0,negate,openblas,3,131072,1058843,1064624,8.0783309936523438,8.1224365234375
64,0,negate,onemkl,3,131072,1709327,1728207,13.041130065917969,13.185173034667969
64,0,negate,baseline,4,131072,883679,889407,6.7419357299804688,6.7856369018554688
64,0,negate,aligned,4,131072,865945,871719,6.6066360473632812,6.6506881713867188
64,0,negate,unrolled,4,131072,666327,671940,5.0836715698242188,5.126495361328125
64,0,negate,aligned-unrolled,4,131072,726387,731995,5.5418930053710938,5.5846786499023438
64,0,negate,openblas,4,131072,1071223,1076852,8.1727828979492188,8.215728759765625
64,0,negate,onemkl,4,131072,1698981,1704807,12.962196350097656,13.006645202636719
64,0,negate,baseline,5,131072,878985,895669,6.7061233520507812,6.8334121704101562
64,0,negate,aligned,5,131072,867153,872960,6.6158523559570312,6.66015625
64,0,negate,unrolled,5,131072,666306,671991,5.0835113525390625,5.1268844604492188
64,0,negate,aligned-unrolled,5,131072,660628,666178,5.040191650390625,5.0825347900390625
64,0,negate,openblas,5,131072,1060264,1065949,8.08917236328125,8.1325454711914062
64,0,negate,onemkl,5,131072,1692813,1698550,12.915138244628906,12.958908081054688
64,0,negate,baseline,6,131072,894490,900449,6.8244171142578125,6.8698806762695312
64,0,negate,aligned,6,131072,900202,906002,6.8679962158203125,6.9122467041015625
64,0,negate,unrolled,6,131072,680155,686156,5.1891708374023438,5.234954833984375
64,0,negate,aligned-unrolled,6,131072,655874,661878,5.0039215087890625,5.0497283935546875
64,0,negate,openblas,6,131072,1072744,1078771,8.18438720703125,8.2303695678710938
64,0,negate,onemkl,6,131072,1736129,1742752,13.245613098144531,13.296142578125
64,0,negate,baseline,7,131072,891587,897378,6.8022689819335938,6.8464508056640625
64,0,negate,aligned,7,131072,910161,916042,6.9439773559570312,6.9888458251953125
64,0,negate,unrolled,7,131072,685120,690912,5.22705078125,5.271240234375
64,0,negate,aligned-unrolled,7,131072,652999,658657,4.9819869995117188,5.0251541137695312
64,0,negate,openblas,7,131072,1073368,1079034,8.18914794921875,8.2323760986328125
64,0,negate,onemkl,7,131072,1739727,1760953,13.273063659667969,13.435005187988281
64,0,powers-two,baseline,1,131072,839299,856997,6.4033432006835938,6.5383682250976562
64,0,powers-two,aligned,1,131072,839042,844887,6.4013824462890625,6.4459762573242188
64,0,powers-two,unrolled,1,131072,609181,615052,4.6476821899414062,4.692474365234375
64,0,powers-two,aligned-unrolled,1,131072,691889,697485,5.2786941528320312,5.3213882446289062
64,0,powers-two,openblas,1,131072,1045798,1051507,7.9788055419921875,8.0223617553710938
64,0,powers-two,onemkl,1,131072,1652873,1658760,12.610420227050781,12.65533447265625
64,0,powers-two,baseline,2,131072,847950,853654,6.4693450927734375,6.5128631591796875
64,0,powers-two,aligned,2,131072,842379,848331,6.4268417358398438,6.4722518920898438
64,0,powers-two,unrolled,2,131072,615125,621261,4.6930313110351562,4.7398452758789062
64,0,powers-two,aligned-unrolled,2,131072,691847,697527,5.2783737182617188,5.3217086791992188
