elapsed_s,cpu_percent
1.010,1.80
2.011,1.70
3.012,1.71
4.013,3.42
5.013,8.34
6.014,6.76
7.015,7.06
8.015,7.00
9.016,6.79
10.017,6.84
11.017,6.64
12.018,7.05
13.019,7.20
14.019,7.10
15.020,6.98
16.021,6.75
17.021,7.25
18.022,6.99
19.022,6.79
20.023,6.84
21.024,6.82
22.024,7.64
23.025,6.91
24.025,6.86
25.026,6.81
26.027,7.21
27.028,6.94
28.028,6.90
29.029,6.89
30.029,6.75
31.030,6.84
32.030,7.02
33.031,6.81
34.032,6.87
35.032,6.97
36.033,6.82
37.034,6.80
38.034,6.83
39.035,6.99
40.036,7.04
41.036,6.89
42.037,7.30
43.037,7.01
44.038,6.70
45.039,6.80
46.039,6.70
47.040,7.68
48.041,6.92
49.041,7.98
50.042,6.92
51.042,6.78
52.043,6.90
53.044,6.74
54.044,6.83
55.045,6.98
56.045,6.96
57.046,6.96
58.046,7.07
59.047,6.72
60.047,6.66
61.048,6.83
62.048,6.61
63.049,6.85
64.050,6.89
65.050,8.04
66.051,6.79
67.051,6.89
68.052,7.21
69.052,6.74
70.053,6.75
71.054,7.52
72.054,7.37
73.055,6.96
74.055,6.82
75.056,6.97
76.056,7.00
77.057,7.19
78.058,6.64
79.058,6.78
80.059,2.97
