run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,onemkl,1,ns,ef35f7ca6871efddc43194c55b0d92b63c42af88,true,Intel(R) oneAPI Math Kernel Library Version 2026.1-Product Build 20260612 for Intel(R) 64 architecture applications; compiler=15.2.0,1,5,200000000,vendor-calibrated,50000000,1
case,1,1,scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas
sample,1,1,1,1000000,45318894,45.318894
sample,1,1,2,1000000,45413081,45.413080999999998
sample,1,1,3,1000000,44792125,44.792124999999999
sample,1,1,4,1000000,45375646,45.375646000000003
sample,1,1,5,1000000,45272148,45.272148000000001
case,2,1,scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas
sample,2,1,1,1000000,51658776,51.658776000000003
sample,2,1,2,1000000,51415247,51.415247000000001
sample,2,1,3,1000000,51576239,51.576239000000001
sample,2,1,4,1000000,52506662,52.506661999999999
sample,2,1,5,1000000,51805843,51.805843000000003
case,3,1,scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas
sample,3,1,1,524288,109352375,208.5731029510498
sample,3,1,2,524288,109129514,208.14802932739258
sample,3,1,3,524288,109071279,208.03695487976074
sample,3,1,4,524288,110257639,210.29975700378418
sample,3,1,5,524288,109335974,208.54182052612305
case,4,1,scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas
sample,4,1,1,16384,124450454,7595.8529052734375
sample,4,1,2,16384,122630786,7484.7891845703125
sample,4,1,3,16384,124598868,7604.911376953125
sample,4,1,4,16384,125031172,7631.297119140625
sample,4,1,5,16384,124315099,7587.5914916992188
case,5,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas
sample,5,1,1,131072,101822787,776.84621429443359
sample,5,1,2,131072,101514157,774.49155426025391
sample,5,1,3,131072,100609598,767.59031677246094
sample,5,1,4,131072,101676298,775.72859191894531
sample,5,1,5,131072,102548772,782.38504028320312
