run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,openblas,1,ns,ef35f7ca6871efddc43194c55b0d92b63c42af88,true,OpenBLAS 0.3.32 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY Haswell MAX_THREADS=128; compiler=15.2.0,1,5,200000000,vendor-calibrated,50000000,1
case,1,1,scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas
sample,1,1,1,1000000,39122360,39.12236
sample,1,1,2,1000000,39405474,39.405473999999998
sample,1,1,3,1000000,38783738,38.783738
sample,1,1,4,1000000,38374147,38.374147000000001
sample,1,1,5,1000000,39046933,39.046933000000003
case,2,1,scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas
sample,2,1,1,1000000,45551742,45.551741999999997
sample,2,1,2,1000000,44608975,44.608975000000001
sample,2,1,3,1000000,44592488,44.592488000000003
sample,2,1,4,1000000,45647803,45.647803000000003
sample,2,1,5,1000000,44574231,44.574230999999997
case,3,1,scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas
sample,3,1,1,524288,106586688,203.2979736328125
sample,3,1,2,524288,108463760,206.87820434570312
sample,3,1,3,524288,108136521,206.2540454864502
sample,3,1,4,524288,107525994,205.08955764770508
sample,3,1,5,524288,107007385,204.10038948059082
case,4,1,scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas
sample,4,1,1,16384,135724456,8283.96337890625
sample,4,1,2,16384,135921179,8295.9703979492188
sample,4,1,3,16384,136142746,8309.4937744140625
sample,4,1,4,16384,135686393,8281.6401977539062
sample,4,1,5,16384,136084370,8305.9307861328125
case,5,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas
sample,5,1,1,262144,196312069,748.87111282348633
sample,5,1,2,262144,196634338,750.10047149658203
sample,5,1,3,262144,197641586,753.94281768798828
sample,5,1,4,262144,197771099,754.43687057495117
sample,5,1,5,262144,197397305,753.01095962524414
