run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,native/c/c-sparse/packed-4x4,2,ns,5e5a7f1f1de41b1824299822f66314b6af1574ef,true,kotlin-native-2.4.10,1,5,200000000,native-calibrated,50000000,1
case,1,1,scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,policy
sample,1,1,1,1000000,40103008,40.103008
sample,1,1,2,1000000,40146954,40.146954
sample,1,1,3,1000000,40527045,40.527045
sample,1,1,4,1000000,39822505,39.822505
sample,1,1,5,1000000,39868779,39.868779
case,2,1,scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,policy
sample,2,1,1,1000000,43663161,43.663161
sample,2,1,2,1000000,43538260,43.53826
sample,2,1,3,1000000,43846741,43.846741
sample,2,1,4,1000000,43404683,43.404683
sample,2,1,5,1000000,43661239,43.661239
case,3,1,scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,policy
sample,3,1,1,854556,199924749,233.95160644826086
sample,3,1,2,854556,202025667,236.41009717326892
sample,3,1,3,854556,199936052,233.96483319993072
sample,3,1,4,854556,199896212,233.91821249865427
sample,3,1,5,854556,201521919,235.82061210733994
case,4,1,scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,policy
sample,4,1,1,26193,199312578,7609.383346695682
sample,4,1,2,26193,199408688,7613.0526476539535
sample,4,1,3,26193,199587120,7619.864849387241
sample,4,1,4,26193,198305904,7570.950406597182
sample,4,1,5,26193,199765444,7626.672927881495
case,5,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy
sample,5,1,1,241289,202339206,838.5761721421201
sample,5,1,2,241289,201261551,834.1099304153939
sample,5,1,3,241289,200841846,832.3705017634455
sample,5,1,4,241289,201663502,835.7757792522659
sample,5,1,5,241289,198378232,822.1602808250686
