run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,native/c/c-sparse/packed-4x4,3,ns,ef35f7ca6871efddc43194c55b0d92b63c42af88,true,kotlin-native-2.4.10,1,5,200000000,native-calibrated,50000000,1
case,1,1,scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,policy
sample,1,1,1,1000000,39546607,39.546607
sample,1,1,2,1000000,40019136,40.019136
sample,1,1,3,1000000,39663150,39.66315
sample,1,1,4,1000000,39725821,39.725821
sample,1,1,5,1000000,39529531,39.529531
case,2,1,scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,policy
sample,2,1,1,1000000,43755177,43.755177
sample,2,1,2,1000000,44007660,44.00766
sample,2,1,3,1000000,43390687,43.390687
sample,2,1,4,1000000,43460680,43.46068
sample,2,1,5,1000000,44141157,44.141157
case,3,1,scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,policy
sample,3,1,1,876831,202156397,230.55343275956255
sample,3,1,2,876831,200132822,228.24560491132272
sample,3,1,3,876831,201640384,229.9649350901143
sample,3,1,4,876831,199805845,227.87269724724604
sample,3,1,5,876831,202428143,230.86335109046098
case,4,1,scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,policy
sample,4,1,1,26399,200186375,7583.104473654305
sample,4,1,2,26399,199376324,7552.419561347021
sample,4,1,3,26399,196070434,7427.191711807265
sample,4,1,4,26399,198796624,7530.460396227129
sample,4,1,5,26399,195758434,7415.373082313724
case,5,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy
sample,5,1,1,248582,203385232,818.181654343436
sample,5,1,2,248582,201404269,810.2126018778512
sample,5,1,3,248582,205038560,824.8326910234852
sample,5,1,4,248582,204663345,823.3232695850866
sample,5,1,5,248582,202034144,812.7464740005311
