n,offset_bytes,mode,implementation,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
64,0,negate,current,1,131072,596814,601950,4.5533294677734375,4.5925140380859375
64,0,negate,pointers,1,131072,716421,721344,5.4658584594726562,5.50341796875
64,0,negate,pipeline,1,131072,693020,697891,5.287322998046875,5.3244857788085938
64,0,negate,blocks,1,131072,728727,733853,5.5597457885742188,5.5988540649414062
64,0,negate,openblas-leaf,1,131072,633246,640808,4.8312835693359375,4.88897705078125
64,0,negate,openblas-aligned,1,131072,667728,672841,5.0943603515625,5.1333694458007812
64,0,negate,openblas,1,131072,898172,903159,6.852508544921875,6.8905563354492188
64,0,negate,onemkl,1,131072,1421487,1426739,10.845085144042969,10.885154724121094
64,0,negate,current,2,131072,590709,595819,4.5067520141601562,4.5457382202148438
64,0,negate,pointers,2,131072,663667,668555,5.0633773803710938,5.1006698608398438
64,0,negate,pipeline,2,131072,672371,699003,5.1297836303710938,5.3329696655273438
64,0,negate,blocks,2,131072,705840,710861,5.3851318359375,5.4234390258789062
64,0,negate,openblas-leaf,2,131072,623923,628838,4.7601547241210938,4.7976531982421875
64,0,negate,openblas-aligned,2,131072,657015,662183,5.0126266479492188,5.0520553588867188
64,0,negate,openblas,2,131072,863601,868722,6.5887527465820312,6.6278228759765625
64,0,negate,onemkl,2,131072,1418087,1436637,10.819145202636719,10.960670471191406
64,0,negate,current,3,131072,593076,598339,4.524810791015625,4.5649642944335938
64,0,negate,pointers,3,131072,695655,701989,5.3074264526367188,5.3557510375976562
64,0,negate,pipeline,3,131072,687245,697985,5.2432632446289062,5.3252029418945312
64,0,negate,blocks,3,131072,717441,722684,5.4736404418945312,5.513641357421875
64,0,negate,openblas-leaf,3,131072,630707,635721,4.8119125366210938,4.8501663208007812
64,0,negate,openblas-aligned,3,131072,663394,673168,5.0612945556640625,5.1358642578125
64,0,negate,openblas,3,131072,896071,911718,6.8364791870117188,6.9558563232421875
64,0,negate,onemkl,3,131072,1438998,1444328,10.978683471679688,11.01934814453125
64,0,negate,current,4,131072,602892,607925,4.599700927734375,4.6380996704101562
64,0,negate,pointers,4,131072,693346,698269,5.2898101806640625,5.3273696899414062
64,0,negate,pipeline,4,131072,693499,698570,5.2909774780273438,5.3296661376953125
64,0,negate,blocks,4,131072,699235,704371,5.3347396850585938,5.3739242553710938
64,0,negate,openblas-leaf,4,131072,635221,640131,4.8463516235351562,4.8838119506835938
64,0,negate,openblas-aligned,4,131072,657078,662076,5.0131072998046875,5.051239013671875
64,0,negate,openblas,4,131072,900690,905750,6.8717193603515625,6.9103240966796875
64,0,negate,onemkl,4,131072,1419375,1424486,10.828971862792969,10.867965698242188
64,0,negate,current,5,131072,608354,613417,4.6413726806640625,4.6800003051757812
64,0,negate,pointers,5,131072,679317,684347,5.1827774047851562,5.2211532592773438
64,0,negate,pipeline,5,131072,673158,678164,5.1357879638671875,5.173980712890625
64,0,negate,blocks,5,131072,707761,712914,5.3997879028320312,5.4391021728515625
64,0,negate,openblas-leaf,5,131072,637075,641989,4.8604965209960938,4.8979873657226562
64,0,negate,openblas-aligned,5,131072,670713,675925,5.1171340942382812,5.1568984985351562
64,0,negate,openblas,5,131072,904174,909466,6.8983001708984375,6.9386749267578125
64,0,negate,onemkl,5,131072,1450760,1456357,11.06842041015625,11.111122131347656
64,0,negate,current,6,131072,605286,610632,4.6179656982421875,4.65875244140625
64,0,negate,pointers,6,131072,661094,666267,5.0437469482421875,5.0832138061523438
64,0,negate,pipeline,6,131072,693153,698593,5.2883377075195312,5.3298416137695312
64,0,negate,blocks,6,131072,741933,747440,5.6604995727539062,5.7025146484375
64,0,negate,openblas-leaf,6,131072,643664,648861,4.9107666015625,4.9504165649414062
64,0,negate,openblas-aligned,6,131072,673784,679100,5.14056396484375,5.181121826171875
64,0,negate,openblas,6,131072,919082,924471,7.0120391845703125,7.0531539916992188
64,0,negate,onemkl,6,131072,1485928,1491704,11.33673095703125,11.38079833984375
64,0,negate,current,7,131072,603880,608975,4.60723876953125,4.6461105346679688
64,0,negate,pointers,7,131072,674301,679277,5.1445083618164062,5.1824722290039062
64,0,negate,pipeline,7,131072,811156,816059,6.188629150390625,6.2260360717773438
64,0,negate,blocks,7,131072,714550,719752,5.4515838623046875,5.49127197265625
64,0,negate,openblas-leaf,7,131072,641880,646788,4.89715576171875,4.934600830078125
64,0,negate,openblas-aligned,7,131072,691546,696749,5.2760772705078125,5.3157730102539062
64,0,negate,openblas,7,131072,901626,906736,6.8788604736328125,6.9178466796875
64,0,negate,onemkl,7,131072,1448745,1453990,11.053047180175781,11.093063354492188
64,0,powers-two,current,1,131072,574303,579412,4.3815841674804688,4.420562744140625
64,0,powers-two,pointers,1,131072,697938,702949,5.3248443603515625,5.3630752563476562
64,0,powers-two,pipeline,1,131072,699605,704585,5.3375625610351562,5.3755569458007812
64,0,powers-two,blocks,1,131072,723242,728723,5.5178985595703125,5.5597152709960938
64,0,powers-two,openblas-leaf,1,131072,758486,763546,5.7867889404296875,5.8253936767578125
64,0,powers-two,openblas-aligned,1,131072,673117,678147,5.1354751586914062,5.1738510131835938
64,0,powers-two,openblas,1,131072,970226,978210,7.4022369384765625,7.4631500244140625
64,0,powers-two,onemkl,1,131072,1486005,1491356,11.337318420410156,11.378143310546875
64,0,powers-two,current,2,131072,570209,575416,4.3503494262695312,4.39007568359375
64,0,powers-two,pointers,2,131072,664906,670199,5.0728302001953125,5.1132125854492188
64,0,powers-two,pipeline,2,131072,672189,677777,5.1283950805664062,5.1710281372070312
