n,offset,alignment_bytes,mode,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
64,0,24,arithmetic,1,262144,5729355,5734660,21.855754852294922,21.875991821289063
64,0,24,arithmetic,2,262144,5894799,5908081,22.486873626708984,22.537540435791016
64,0,24,arithmetic,3,262144,5879126,5882460,22.427085876464844,22.439804077148438
64,0,24,arithmetic,4,262144,5895729,5899980,22.490421295166016,22.506637573242188
64,0,24,arithmetic,5,262144,5905444,5908806,22.527481079101563,22.540306091308594
64,0,24,arithmetic,6,262144,5836088,5839525,22.262908935546875,22.276020050048828
64,0,24,arithmetic,7,262144,5928319,5932346,22.614742279052734,22.630104064941406
64,0,24,reset,1,262144,6888934,6892645,26.279197692871094,26.293354034423828
64,0,24,reset,2,262144,6864716,6869242,26.186813354492188,26.204078674316406
64,0,24,reset,3,262144,6977891,6981408,26.618541717529297,26.6319580078125
64,0,24,reset,4,262144,7006975,7011151,26.729488372802734,26.745418548583984
64,0,24,reset,5,262144,6985045,6989143,26.645832061767578,26.66146469116211
64,0,24,reset,6,262144,6988044,6991585,26.657272338867188,26.670780181884766
64,0,24,reset,7,262144,6961360,6965643,26.55548095703125,26.571819305419922
64,1,0,arithmetic,1,262144,5032886,5036526,19.198936462402344,19.21282196044922
64,1,0,arithmetic,2,262144,5014804,5070189,19.129959106445313,19.341236114501953
64,1,0,arithmetic,3,262144,5052103,5056391,19.27224349975586,19.28860092163086
64,1,0,arithmetic,4,262144,5057594,5061166,19.293190002441406,19.30681610107422
64,1,0,arithmetic,5,262144,5049457,5052807,19.262149810791016,19.27492904663086
64,1,0,arithmetic,6,262144,5053155,5057512,19.276256561279297,19.292877197265625
64,1,0,arithmetic,7,262144,5053721,5057579,19.27841567993164,19.293132781982422
64,1,0,reset,1,262144,6069673,6073285,23.15396499633789,23.167743682861328
64,1,0,reset,2,262144,6044297,6048655,23.05716323852539,23.073787689208984
64,1,0,reset,3,262144,5964210,5968096,22.75165557861328,22.7664794921875
64,1,0,reset,4,262144,5960647,5970191,22.73806381225586,22.774471282958984
64,1,0,reset,5,262144,5969438,5974162,22.77159881591797,22.78961944580078
64,1,0,reset,6,262144,6061990,6065497,23.124656677246094,23.13803482055664
64,1,0,reset,7,262144,5964208,5967907,22.75164794921875,22.765758514404297
64,2,8,arithmetic,1,262144,5825470,5829039,22.22240447998047,22.236019134521484
64,2,8,arithmetic,2,262144,5937672,5940970,22.650421142578125,22.663002014160156
