n,offset,alignment_bytes,mode,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
64,0,24,arithmetic,1,262144,5391586,5397939,20.56726837158203,20.591503143310547
64,0,24,arithmetic,2,262144,5381619,5384736,20.529247283935547,20.5411376953125
64,0,24,arithmetic,3,262144,5381115,5384280,20.527324676513672,20.539398193359375
64,0,24,arithmetic,4,262144,5580547,5584758,21.288097381591797,21.304161071777344
64,0,24,arithmetic,5,262144,5595109,5599111,21.343647003173828,21.35891342163086
64,0,24,arithmetic,6,262144,5657679,5661297,21.582332611083984,21.596134185791016
64,0,24,arithmetic,7,262144,5630647,5634645,21.47921371459961,21.494464874267578
64,0,24,reset,1,262144,6678311,6681527,25.47573471069336,25.48800277709961
64,0,24,reset,2,262144,6718080,6722630,25.62744140625,25.644798278808594
64,0,24,reset,3,262144,6702746,6705976,25.568946838378906,25.581268310546875
64,0,24,reset,4,262144,6880400,6883956,26.24664306640625,26.260208129882813
64,0,24,reset,5,262144,6847443,6851340,26.120922088623047,26.135787963867188
64,0,24,reset,6,262144,6835141,6838465,26.073993682861328,26.086673736572266
64,0,24,reset,7,262144,6907090,6944028,26.34845733642578,26.489364624023438
64,1,0,arithmetic,1,262144,5116831,5120316,19.519161224365234,19.532455444335938
64,1,0,arithmetic,2,262144,5033718,5037178,19.202110290527344,19.215309143066406
64,1,0,arithmetic,3,262144,5047448,5070672,19.254486083984375,19.34307861328125
64,1,0,arithmetic,4,262144,4966677,4970345,18.946369171142578,18.96036148071289
64,1,0,arithmetic,5,262144,5143435,5146943,19.620647430419922,19.634029388427734
64,1,0,arithmetic,6,262144,4953714,4957432,18.89691925048828,18.911102294921875
64,1,0,arithmetic,7,262144,4940896,4945449,18.8480224609375,18.86539077758789
64,1,0,reset,1,262144,6089835,6160729,23.230876922607422,23.50131607055664
64,1,0,reset,2,262144,5964689,5968897,22.753482818603516,22.769535064697266
64,1,0,reset,3,262144,5940964,5944719,22.662979125976563,22.677303314208984
64,1,0,reset,4,262144,6108131,6111743,23.300670623779297,23.314449310302734
64,1,0,reset,5,262144,5954462,5959972,22.71446990966797,22.735488891601563
64,1,0,reset,6,262144,5983363,5986896,22.824718475341797,22.83819580078125
64,1,0,reset,7,262144,5999844,6003559,22.887588500976563,22.90176010131836
64,2,8,arithmetic,1,262144,5839804,5852596,22.277084350585938,22.325881958007813
64,2,8,arithmetic,2,262144,5719038,5722435,21.81639862060547,21.829357147216797
64,2,8,arithmetic,3,262144,5754239,5757788,21.950679779052734,21.964218139648438
64,2,8,arithmetic,4,262144,5785381,5789297,22.069477081298828,22.084415435791016
64,2,8,arithmetic,5,262144,5744156,5747433,21.912216186523438,21.92471694946289
64,2,8,arithmetic,6,262144,5686461,5690061,21.692127227783203,21.705860137939453
64,2,8,arithmetic,7,262144,5815629,5819897,22.184864044189453,22.20114517211914
64,2,8,reset,1,262144,7050536,7054175,26.895660400390625,26.909542083740234
64,2,8,reset,2,262144,7019993,7024031,26.77914810180664,26.794551849365234
64,2,8,reset,3,262144,7091485,7095100,27.051868438720703,27.065658569335938
64,2,8,reset,4,262144,7124706,7129154,27.17859649658203,27.19556427001953
64,2,8,reset,5,262144,7204876,7208377,27.484420776367188,27.49777603149414
64,2,8,reset,6,262144,7070810,7075104,26.972999572753906,26.9893798828125
64,2,8,reset,7,262144,7092821,7096239,27.056964874267578,27.070003509521484
64,3,16,arithmetic,1,262144,5825873,5830038,22.223941802978516,22.239830017089844
64,3,16,arithmetic,2,262144,5860224,5892322,22.35498046875,22.47742462158203
64,3,16,arithmetic,3,262144,5949369,5952689,22.69504165649414,22.707706451416016
64,3,16,arithmetic,4,262144,5820805,5824896,22.204608917236328,22.22021484375
64,3,16,arithmetic,5,262144,5829407,5832945,22.237422943115234,22.250919342041016
64,3,16,arithmetic,6,262144,5927658,5930957,22.612220764160156,22.624805450439453
64,3,16,arithmetic,7,262144,5851958,5856534,22.323448181152344,22.340904235839844
64,3,16,reset,1,262144,7197431,7200927,27.45602035522461,27.469356536865234
64,3,16,reset,2,262144,6980875,6985350,26.629924774169922,26.646995544433594
64,3,16,reset,3,262144,7101435,7104874,27.089824676513672,27.102943420410156
64,3,16,reset,4,262144,7145407,7149246,27.257564544677734,27.27220916748047
64,3,16,reset,5,262144,6994160,6998211,26.68060302734375,26.696056365966797
64,3,16,reset,6,262144,7155662,7159093,27.29668426513672,27.309772491455078
64,3,16,reset,7,262144,6964942,6971195,26.56914520263672,26.592998504638672
256,0,0,arithmetic,1,65536,1749151,1752739,26.689926147460938,26.744674682617188
256,0,0,arithmetic,2,65536,1686397,1689793,25.732376098632813,25.784194946289063
256,0,0,arithmetic,3,65536,1682218,1685996,25.668609619140625,25.72625732421875
256,0,0,arithmetic,4,65536,1691330,1695629,25.807647705078125,25.873245239257813
256,0,0,arithmetic,5,65536,1708898,1713357,26.075714111328125,26.143753051757813
256,0,0,arithmetic,6,65536,1727807,1731248,26.364242553710938,26.416748046875
256,0,0,arithmetic,7,65536,1695421,1698938,25.870071411132813,25.923736572265625
256,0,0,reset,1,65536,2361031,2364454,36.02647399902344,36.078704833984375
256,0,0,reset,2,65536,2402648,2406697,36.6614990234375,36.72328186035156
256,0,0,reset,3,65536,2407278,2410844,36.732147216796875,36.78656005859375
256,0,0,reset,4,65536,2374300,2377690,36.22894287109375,36.280670166015625
256,0,0,reset,5,65536,2396547,2400031,36.56840515136719,36.62156677246094
256,0,0,reset,6,65536,2351842,2355251,35.886260986328125,35.93827819824219
256,0,0,reset,7,65536,2336033,2339455,35.64503479003906,35.69725036621094
256,1,8,arithmetic,1,65536,1779227,1782677,27.148849487304688,27.201492309570313
256,1,8,arithmetic,2,65536,1753694,1757152,26.759246826171875,26.81201171875
256,1,8,arithmetic,3,65536,1753409,1756892,26.754898071289063,26.80804443359375
256,1,8,arithmetic,4,65536,1869184,1872691,28.521484375,28.574996948242188
256,1,8,arithmetic,5,65536,1751519,1754982,26.726058959960938,26.778900146484375
256,1,8,arithmetic,6,65536,1733512,1736961,26.4512939453125,26.503921508789063
256,1,8,arithmetic,7,65536,1717618,1721493,26.208770751953125,26.267898559570313
256,1,8,reset,1,65536,2427499,2430835,37.04069519042969,37.09159851074219
256,1,8,reset,2,65536,2434392,2437753,37.1458740234375,37.19715881347656
256,1,8,reset,3,65536,2507537,2511188,38.26197814941406,38.31768798828125
256,1,8,reset,4,65536,2488074,2491819,37.964996337890625,38.02214050292969
256,1,8,reset,5,65536,2486451,2492015,37.94023132324219,38.02513122558594
256,1,8,reset,6,65536,2501320,2505346,38.1671142578125,38.228546142578125
256,1,8,reset,7,65536,2493335,2496764,38.04527282714844,38.09759521484375
256,2,16,arithmetic,1,65536,1739806,1743382,26.547332763671875,26.601898193359375
256,2,16,arithmetic,2,65536,1752774,1756238,26.745208740234375,26.798065185546875
256,2,16,arithmetic,3,65536,1739595,1743393,26.544113159179688,26.602066040039063
256,2,16,arithmetic,4,65536,1762648,1766627,26.8958740234375,26.956588745117188
256,2,16,arithmetic,5,65536,1744851,1748437,26.624313354492188,26.679031372070313
256,2,16,arithmetic,6,65536,1735293,1738706,26.478469848632813,26.530548095703125
256,2,16,arithmetic,7,65536,1736200,1739665,26.4923095703125,26.545181274414063
256,2,16,reset,1,65536,2413674,2417340,36.829742431640625,36.88568115234375
256,2,16,reset,2,65536,2445112,2449951,37.3094482421875,37.38328552246094
256,2,16,reset,3,65536,2435763,2439265,37.16679382324219,37.22023010253906
256,2,16,reset,4,65536,2415224,2418690,36.8533935546875,36.906280517578125
256,2,16,reset,5,65536,2577892,2581432,39.33551025390625,39.3895263671875
256,2,16,reset,6,65536,2411025,2414545,36.78932189941406,36.84303283691406
256,2,16,reset,7,65536,2414513,2418118,36.84254455566406,36.897552490234375
256,3,24,arithmetic,1,65536,1752235,1755654,26.736984252929688,26.789154052734375
256,3,24,arithmetic,2,65536,1752126,1755647,26.735321044921875,26.789047241210938
256,3,24,arithmetic,3,65536,1751316,1754827,26.72296142578125,26.776535034179688
256,3,24,arithmetic,4,65536,1857250,1860718,28.339385986328125,28.392303466796875
256,3,24,arithmetic,5,65536,1752768,1756268,26.7451171875,26.79852294921875
256,3,24,arithmetic,6,65536,1745766,1749271,26.638275146484375,26.691757202148438
256,3,24,arithmetic,7,65536,1710055,1713642,26.093368530273438,26.148101806640625
256,3,24,reset,1,65536,2427586,2431055,37.042022705078125,37.09495544433594
256,3,24,reset,2,65536,2567172,2570687,39.17193603515625,39.22557067871094
256,3,24,reset,3,65536,2429517,2433109,37.07148742675781,37.12629699707031
256,3,24,reset,4,65536,2484006,2487669,37.902923583984375,37.95881652832031
256,3,24,reset,5,65536,2500552,2505142,38.1553955078125,38.225433349609375
256,3,24,reset,6,65536,2492074,2495619,38.026031494140625,38.08012390136719
256,3,24,reset,7,65536,2460259,2463757,37.54057312011719,37.59394836425781
4096,0,0,arithmetic,1,4096,843201,846534,205.859619140625,206.67333984375
4096,0,0,arithmetic,2,4096,888383,891982,216.890380859375,217.76904296875
4096,0,0,arithmetic,3,4096,849609,853067,207.424072265625,208.268310546875
