n,offset_bytes,mode,implementation,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
64,0,negate,current,1,131072,565660,570882,4.315643310546875,4.3554840087890625
64,0,negate,pointers,1,131072,648752,653890,4.9495849609375,4.9887847900390625
64,0,negate,pipeline,1,131072,620020,625308,4.730377197265625,4.770721435546875
64,0,negate,openblas-leaf,1,131072,628300,633363,4.793548583984375,4.8321762084960938
64,0,negate,openblas-aligned,1,131072,661308,666359,5.045379638671875,5.0839157104492188
64,0,negate,openblas,1,131072,869192,874349,6.63140869140625,6.6707534790039062
64,0,negate,onemkl,1,131072,1417939,1423153,10.818016052246094,10.857795715332031
64,0,negate,current,2,131072,586770,592011,4.4766998291015625,4.5166854858398438
64,0,negate,pointers,2,131072,676717,681925,5.1629409790039062,5.2026748657226562
64,0,negate,pipeline,2,131072,619461,624593,4.7261123657226562,4.7652664184570312
64,0,negate,openblas-leaf,2,131072,655911,661207,5.0042037963867188,5.0446090698242188
64,0,negate,openblas-aligned,2,131072,690085,702359,5.2649307250976562,5.3585739135742188
64,0,negate,openblas,2,131072,907821,913024,6.9261245727539062,6.9658203125
64,0,negate,onemkl,2,131072,1454067,1459238,11.093650817871094,11.133102416992188
64,0,negate,current,3,131072,587092,592601,4.479156494140625,4.5211868286132812
64,0,negate,pointers,3,131072,677657,683065,5.1701126098632812,5.2113723754882812
64,0,negate,pipeline,3,131072,619499,624995,4.7264022827148438,4.7683334350585938
64,0,negate,openblas-leaf,3,131072,659300,665011,5.030059814453125,5.0736312866210938
64,0,negate,openblas-aligned,3,131072,687190,692539,5.2428436279296875,5.2836532592773438
64,0,negate,openblas,3,131072,895738,901028,6.8339385986328125,6.874298095703125
64,0,negate,onemkl,3,131072,1494620,1500205,11.403045654296875,11.445655822753906
64,0,negate,current,4,131072,598421,603779,4.5655899047851562,4.6064682006835938
64,0,negate,pointers,4,131072,680493,685781,5.1917495727539062,5.2320938110351562
64,0,negate,pipeline,4,131072,663418,668871,5.0614776611328125,5.1030807495117188
64,0,negate,openblas-leaf,4,131072,656880,662262,5.0115966796875,5.0526580810546875
64,0,negate,openblas-aligned,4,131072,696300,701628,5.312347412109375,5.352996826171875
64,0,negate,openblas,4,131072,1031984,1037403,7.8734130859375,7.9147567749023438
64,0,negate,onemkl,4,131072,1490950,1496223,11.375045776367188,11.415275573730469
64,0,negate,current,5,131072,583826,589082,4.4542388916015625,4.4943389892578125
64,0,negate,pointers,5,131072,665027,670204,5.0737533569335938,5.113250732421875
64,0,negate,pipeline,5,131072,668816,674077,5.1026611328125,5.1427993774414062
64,0,negate,openblas-leaf,5,131072,652450,657780,4.9777984619140625,5.018463134765625
64,0,negate,openblas-aligned,5,131072,683185,688515,5.2122879028320312,5.2529525756835938
64,0,negate,openblas,5,131072,893759,899075,6.8188400268554688,6.8593978881835938
64,0,negate,onemkl,5,131072,1524720,1530028,11.6326904296875,11.673187255859375
64,0,negate,current,6,131072,595115,600577,4.5403671264648438,4.5820388793945312
64,0,negate,pointers,6,131072,685358,690867,5.2288665771484375,5.2708969116210938
64,0,negate,pipeline,6,131072,664514,669976,5.0698394775390625,5.11151123046875
64,0,negate,openblas-leaf,6,131072,646491,651896,4.9323348999023438,4.97357177734375
64,0,negate,openblas-aligned,6,131072,692660,698065,5.284576416015625,5.3258132934570312
64,0,negate,openblas,6,131072,904280,909954,6.89910888671875,6.9423980712890625
64,0,negate,onemkl,6,131072,1488622,1494615,11.357284545898438,11.403007507324219
64,0,negate,current,7,131072,599488,604854,4.57373046875,4.6146697998046875
64,0,negate,pointers,7,131072,668346,673659,5.0990753173828125,5.1396102905273438
64,0,negate,pipeline,7,131072,677646,683039,5.1700286865234375,5.2111740112304688
64,0,negate,openblas-leaf,7,131072,671108,676564,5.120147705078125,5.161773681640625
64,0,negate,openblas-aligned,7,131072,703538,708881,5.3675689697265625,5.4083328247070312
64,0,negate,openblas,7,131072,924471,930124,7.0531539916992188,7.096282958984375
64,0,negate,onemkl,7,131072,1506434,1512042,11.493179321289062,11.535964965820312
64,0,powers-two,current,1,131072,645745,651050,4.9266433715820312,4.9671173095703125
64,0,powers-two,pointers,1,131072,721224,726647,5.50250244140625,5.5438766479492188
64,0,powers-two,pipeline,1,131072,720106,725382,5.4939727783203125,5.5342254638671875
64,0,powers-two,openblas-leaf,1,131072,704175,709552,5.3724288940429688,5.4134521484375
64,0,powers-two,openblas-aligned,1,131072,722810,728139,5.5146026611328125,5.5552597045898438
64,0,powers-two,openblas,1,131072,937253,942719,7.1506729125976562,7.1923751831054688
64,0,powers-two,onemkl,1,131072,1531119,1536463,11.681510925292969,11.722282409667969
64,0,powers-two,current,2,131072,645835,651122,4.9273300170898438,4.9676666259765625
64,0,powers-two,pointers,2,131072,751853,757290,5.7361831665039062,5.7776641845703125
64,0,powers-two,pipeline,2,131072,708175,715483,5.4029464721679688,5.4587020874023438
64,0,powers-two,openblas-leaf,2,131072,713783,719177,5.4457321166992188,5.4868850708007812
64,0,powers-two,openblas-aligned,2,131072,726541,731892,5.5430679321289062,5.583892822265625
64,0,powers-two,openblas,2,131072,938678,944234,7.1615447998046875,7.2039337158203125
64,0,powers-two,onemkl,2,131072,1530035,1535445,11.673240661621094,11.714515686035156
64,0,powers-two,current,3,131072,657004,662525,5.012542724609375,5.0546646118164062
64,0,powers-two,pointers,3,131072,731159,736756,5.5783004760742188,5.621002197265625
64,0,powers-two,pipeline,3,131072,698382,703774,5.3282318115234375,5.3693695068359375
64,0,powers-two,openblas-leaf,3,131072,687207,692585,5.2429733276367188,5.2840042114257812
64,0,powers-two,openblas-aligned,3,131072,712615,717969,5.4368209838867188,5.4776687622070312
64,0,powers-two,openblas,3,131072,934997,940634,7.1334609985351562,7.1764678955078125
64,0,powers-two,onemkl,3,131072,1526227,1672154,11.644187927246094,12.757522583007812
64,0,powers-two,current,4,131072,645139,650427,4.9220199584960938,4.9623641967773438
64,0,powers-two,pointers,4,131072,720568,725970,5.49749755859375,5.5387115478515625
64,0,powers-two,pipeline,4,131072,695523,700763,5.3064193725585938,5.3463973999023438
64,0,powers-two,openblas-leaf,4,131072,688741,694057,5.2546768188476562,5.2952346801757812
64,0,powers-two,openblas-aligned,4,131072,730760,746718,5.57525634765625,5.6970062255859375
64,0,powers-two,openblas,4,131072,999577,1010625,7.6261672973632812,7.7104568481445312
64,0,powers-two,onemkl,4,131072,1526833,1532094,11.648811340332031,11.688949584960938
64,0,powers-two,current,5,131072,643919,649327,4.9127120971679688,4.9539718627929688
64,0,powers-two,pointers,5,131072,694482,712105,5.2984771728515625,5.4329299926757812
64,0,powers-two,pipeline,5,131072,665140,676796,5.074615478515625,5.163543701171875
64,0,powers-two,openblas-leaf,5,131072,693727,699118,5.2927169799804688,5.3338470458984375
64,0,powers-two,openblas-aligned,5,131072,711084,716336,5.425140380859375,5.4652099609375
64,0,powers-two,openblas,5,131072,922310,927747,7.0366668701171875,7.0781478881835938
64,0,powers-two,onemkl,5,131072,1529643,1554664,11.670249938964844,11.86114501953125
64,0,powers-two,current,6,131072,641517,646909,4.8943862915039062,4.9355239868164062
64,0,powers-two,pointers,6,131072,665884,671317,5.080291748046875,5.1217422485351562
64,0,powers-two,pipeline,6,131072,711038,716535,5.4247894287109375,5.4667282104492188
64,0,powers-two,openblas-leaf,6,131072,692147,697677,5.2806625366210938,5.3228530883789062
64,0,powers-two,openblas-aligned,6,131072,722288,727620,5.5106201171875,5.551300048828125
64,0,powers-two,openblas,6,131072,914632,920191,6.97808837890625,7.0205001831054688
64,0,powers-two,onemkl,6,131072,1535248,1540692,11.7130126953125,11.754547119140625
64,0,powers-two,current,7,131072,662386,667755,5.0536041259765625,5.0945663452148438
64,0,powers-two,pointers,7,131072,686110,691521,5.2346038818359375,5.2758865356445312
64,0,powers-two,pipeline,7,131072,716433,721744,5.4659500122070312,5.5064697265625
64,0,powers-two,openblas-leaf,7,131072,693890,699581,5.2939605712890625,5.3373794555664062
64,0,powers-two,openblas-aligned,7,131072,804277,809596,6.1361465454101562,6.176727294921875
64,0,powers-two,openblas,7,131072,908851,914207,6.9339828491210938,6.9748458862304688
64,0,powers-two,onemkl,7,131072,1530865,1536104,11.679573059082031,11.71954345703125
64,0,reset,current,1,131072,1105058,1110753,8.4309234619140625,8.4743728637695312
64,0,reset,pointers,1,131072,1165603,1171252,8.8928451538085938,8.935943603515625
64,0,reset,pipeline,1,131072,1159337,1164896,8.8450393676757812,8.887451171875
64,0,reset,openblas-leaf,1,131072,1124580,1130222,8.579864501953125,8.6229095458984375
64,0,reset,openblas-aligned,1,131072,1116242,1121918,8.5162506103515625,8.5595550537109375
64,0,reset,openblas,1,131072,1454745,1460358,11.098823547363281,11.141647338867188
64,0,reset,onemkl,1,131072,2019479,2025139,15.407402038574219,15.450584411621094
64,0,reset,current,2,131072,1079659,1085441,8.2371444702148438,8.2812576293945312
64,0,reset,pointers,2,131072,1172233,1177956,8.9434280395507812,8.987091064453125
64,0,reset,pipeline,2,131072,1141597,1147328,8.7096939086914062,8.75341796875
64,0,reset,openblas-leaf,2,131072,1107386,1112903,8.4486846923828125,8.4907760620117188
64,0,reset,openblas-aligned,2,131072,1121855,1127546,8.5590744018554688,8.6024932861328125
64,0,reset,openblas,2,131072,1462775,1468264,11.160087585449219,11.20196533203125
64,0,reset,onemkl,2,131072,2104780,2110690,16.058197021484375,16.103286743164062
64,0,reset,current,3,131072,1111116,1116722,8.477142333984375,8.5199127197265625
64,0,reset,pointers,3,131072,1183344,1188914,9.0281982421875,9.0706939697265625
64,0,reset,pipeline,3,131072,1161161,1166604,8.8589553833007812,8.900482177734375
64,0,reset,openblas-leaf,3,131072,1114916,1120399,8.506134033203125,8.5479660034179688
64,0,reset,openblas-aligned,3,131072,1130377,1135990,8.6240921020507812,8.6669158935546875
64,0,reset,openblas,3,131072,1468424,1474006,11.20318603515625,11.245773315429688
64,0,reset,onemkl,3,131072,2117814,2123465,16.157638549804688,16.200752258300781
64,0,reset,current,4,131072,1094896,1100585,8.3533935546875,8.3967971801757812
64,0,reset,pointers,4,131072,1179840,1185694,9.00146484375,9.0461273193359375
64,0,reset,pipeline,4,131072,1146139,1151512,8.7443466186523438,8.78533935546875
64,0,reset,openblas-leaf,4,131072,1127042,1132877,8.5986480712890625,8.6431655883789062
64,0,reset,openblas-aligned,4,131072,1140351,1145931,8.7001876831054688,8.7427597045898438
64,0,reset,openblas,4,131072,1456190,1462029,11.109848022460938,11.154396057128906
64,0,reset,onemkl,4,131072,2018169,2023647,15.397407531738281,15.439201354980469
64,0,reset,current,5,131072,1122228,1127716,8.561920166015625,8.603790283203125
64,0,reset,pointers,5,131072,1195132,1212733,9.118133544921875,9.2524185180664062
64,0,reset,pipeline,5,131072,1145476,1182217,8.739288330078125,9.0195999145507812
64,0,reset,openblas-leaf,5,131072,1156292,1161749,8.821807861328125,8.8634414672851562
64,0,reset,openblas-aligned,5,131072,1151410,1156958,8.7845611572265625,8.8268890380859375
64,0,reset,openblas,5,131072,1475115,1480614,11.254234313964844,11.296188354492188
64,0,reset,onemkl,5,131072,2071347,2101035,15.803123474121094,16.029624938964844
64,0,reset,current,6,131072,1098750,1104229,8.3827972412109375,8.4245986938476562
64,0,reset,pointers,6,131072,1177230,1182646,8.9815521240234375,9.0228729248046875
64,0,reset,pipeline,6,131072,1126863,1132466,8.5972824096679688,8.6400299072265625
64,0,reset,openblas-leaf,6,131072,1183929,1189885,9.0326614379882812,9.0781021118164062
64,0,reset,openblas-aligned,6,131072,1150588,1156205,8.778289794921875,8.8211441040039062
64,0,reset,openblas,6,131072,1449570,1455345,11.059341430664062,11.103401184082031
64,0,reset,onemkl,6,131072,2016384,2022593,15.3837890625,15.431159973144531
64,0,reset,current,7,131072,1099257,1111058,8.3866653442382812,8.4766998291015625
64,0,reset,pointers,7,131072,1165196,1170750,8.889739990234375,8.9321136474609375
64,0,reset,pipeline,7,131072,1121309,1126742,8.5549087524414062,8.5963592529296875
64,0,reset,openblas-leaf,7,131072,1146300,1151730,8.745574951171875,8.7870025634765625
64,0,reset,openblas-aligned,7,131072,1147567,1212932,8.7552413940429688,9.253936767578125
64,0,reset,openblas,7,131072,1476011,1481596,11.261070251464844,11.303680419921875
64,0,reset,onemkl,7,131072,2150112,2180176,16.404052734375,16.6334228515625
64,8,negate,current,1,131072,770773,776159,5.8805313110351562,5.9216232299804688
64,8,negate,pointers,1,131072,768959,774105,5.8666915893554688,5.9059524536132812
64,8,negate,pipeline,1,131072,770732,775835,5.880218505859375,5.9191513061523438
64,8,negate,openblas-leaf,1,131072,836496,841470,6.3819580078125,6.4199066162109375
64,8,negate,openblas-aligned,1,131072,862940,867954,6.583709716796875,6.6219635009765625
64,8,negate,openblas,1,131072,1031514,1036797,7.8698272705078125,7.9101333618164062
64,8,negate,onemkl,1,131072,1638212,1643247,12.498565673828125,12.536979675292969
64,8,negate,current,2,131072,779923,785012,5.9503402709960938,5.989166259765625
64,8,negate,pointers,2,131072,782425,787390,5.9694290161132812,6.0073089599609375
64,8,negate,pipeline,2,131072,787963,793068,6.0116806030273438,6.050628662109375
64,8,negate,openblas-leaf,2,131072,850409,881436,6.4881057739257812,6.724822998046875
64,8,negate,openblas-aligned,2,131072,873036,878162,6.660736083984375,6.6998443603515625
64,8,negate,openblas,2,131072,1039662,1044710,7.9319915771484375,7.9705047607421875
64,8,negate,onemkl,2,131072,1658209,1663367,12.651130676269531,12.690483093261719
64,8,negate,current,3,131072,786329,791404,5.9992141723632812,6.037933349609375
64,8,negate,pointers,3,131072,785781,790739,5.9950332641601562,6.0328598022460938
64,8,negate,pipeline,3,131072,787469,792507,6.0079116821289062,6.0463485717773438
