elapsed_s,cpu_percent
1.010,1.51
2.011,1.55
3.012,1.71
4.012,3.02
5.013,7.38
6.014,6.64
7.014,6.48
8.015,6.78
9.015,6.73
10.016,6.48
11.017,6.34
12.017,6.49
13.018,6.39
14.018,6.24
15.019,6.38
16.020,6.39
17.020,6.73
18.021,6.53
19.021,6.38
20.022,6.45
21.023,6.56
22.023,6.46
23.024,6.56
24.025,6.26
25.025,7.01
26.026,6.39
27.027,6.54
28.027,6.69
29.028,6.53
30.028,6.45
31.029,6.46
32.030,6.36
33.030,7.20
34.031,6.46
35.032,6.34
36.032,6.99
37.033,6.43
38.033,6.53
39.034,6.75
40.034,6.46
41.035,7.33
42.035,6.66
43.036,6.76
44.036,6.45
45.037,6.54
46.038,6.58
47.038,6.44
48.039,6.69
49.039,6.59
50.040,6.69
51.041,6.58
52.041,6.43
53.042,6.59
54.042,6.43
55.043,6.46
56.043,6.46
57.044,7.57
58.045,6.76
59.045,6.76
60.046,6.50
61.046,6.44
62.047,6.53
63.047,6.64
64.048,6.54
65.049,6.69
66.049,7.43
67.050,6.63
68.050,6.58
69.051,6.78
70.052,6.73
71.052,6.50
72.053,6.52
73.053,6.60
74.054,6.75
75.054,6.41
76.055,6.46
77.055,6.48
78.056,6.49
79.056,6.44
80.057,3.47
