run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,native/c/c-sparse/packed-4x4,1,ns,5e5a7f1f1de41b1824299822f66314b6af1574ef,false,kotlin-native-2.4.10,1,5,200000000,native-calibrated,50000000,1
case,1,1,scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,policy
sample,1,1,1,1000000,37992909,37.992909
sample,1,1,2,1000000,39317940,39.31794
sample,1,1,3,1000000,38589719,38.589719
sample,1,1,4,1000000,38158108,38.158108
sample,1,1,5,1000000,38226346,38.226346
case,2,1,scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,policy
sample,2,1,1,1000000,42268574,42.268574
sample,2,1,2,1000000,42618959,42.618959
sample,2,1,3,1000000,41882994,41.882994
sample,2,1,4,1000000,41905868,41.905868
sample,2,1,5,1000000,42464924,42.464924
case,3,1,scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,policy
sample,3,1,1,892187,198216041,222.16871687213555
sample,3,1,2,892187,200110924,224.29257991878384
sample,3,1,3,892187,199205510,223.27775455145613
sample,3,1,4,892187,199879707,224.03342236549065
sample,3,1,5,892187,199542272,223.65521129538988
case,4,1,scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,policy
sample,4,1,1,27487,201161933,7318.439007530833
sample,4,1,2,27487,200838562,7306.674500673045
sample,4,1,3,27487,201845655,7343.313384509041
sample,4,1,4,27487,200824687,7306.169716593298
sample,4,1,5,27487,200427762,7291.729253829083
case,5,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy
sample,5,1,1,246368,198810275,806.9646829133653
sample,5,1,2,246368,200002583,811.8042237628264
sample,5,1,3,246368,199590891,810.133178821925
sample,5,1,4,246368,198566260,805.97423366671
sample,5,1,5,246368,197939591,803.4306038121834
