run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,native/c/c-sparse/packed-4x4,2,ns,10128c807d7b21990a9a043b34709d4c8f3d839e,false,kotlin-native-2.4.10,1,5,200000000,native-calibrated,50000000,1
case,1,1,scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,policy
sample,1,1,1,1000000,39562727,39.562727
sample,1,1,2,1000000,39580598,39.580598
sample,1,1,3,1000000,39120111,39.120111
sample,1,1,4,1000000,38730924,38.730924
sample,1,1,5,1000000,39090780,39.09078
case,2,1,scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,policy
sample,2,1,1,1000000,44151871,44.151871
sample,2,1,2,1000000,44271064,44.271064
sample,2,1,3,1000000,44561883,44.561883
sample,2,1,4,1000000,44177714,44.177714
sample,2,1,5,1000000,43895814,43.895814
case,3,1,scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,policy
sample,3,1,1,965471,198377659,205.47241605392603
sample,3,1,2,965471,199418805,206.5507974864082
sample,3,1,3,965471,201909923,209.13100756004064
sample,3,1,4,965471,202261711,209.4953768678707
sample,3,1,5,965471,200033712,207.1876959535812
case,4,1,scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,policy
sample,4,1,1,27118,201670920,7436.791798805221
sample,4,1,2,27118,200381160,7389.2307692307695
sample,4,1,3,27118,200277559,7385.410391621801
sample,4,1,4,27118,198828736,7331.983774614647
sample,4,1,5,27118,199480080,7356.002655063057
case,5,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy
sample,5,1,1,251401,198123225,788.076519186479
sample,5,1,2,251401,198424408,789.2745374918954
sample,5,1,3,251401,199137695,792.1117855537567
sample,5,1,4,251401,198326153,788.8837077020378
sample,5,1,5,251401,198862746,791.018118464127
