run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,onemkl,2,ns,10128c807d7b21990a9a043b34709d4c8f3d839e,false,Intel(R) oneAPI Math Kernel Library Version 2026.1-Product Build 20260612 for Intel(R) 64 architecture applications; compiler=15.2.0,1,5,200000000,vendor-calibrated,50000000,1
case,1,1,scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas
sample,1,1,1,1000000,43948579,43.948579000000002
sample,1,1,2,1000000,44622906,44.622906
sample,1,1,3,1000000,44382689,44.382688999999999
sample,1,1,4,1000000,44135943,44.135942999999997
sample,1,1,5,1000000,44354556,44.354556000000002
case,2,1,scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas
sample,2,1,1,1000000,49378987,49.378987000000002
sample,2,1,2,1000000,49641095,49.641095
sample,2,1,3,1000000,49547920,49.547919999999998
sample,2,1,4,1000000,49873959,49.873958999999999
sample,2,1,5,1000000,49711453,49.711452999999999
case,3,1,scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas
sample,3,1,1,524288,104871428,200.02637481689453
sample,3,1,2,524288,106087076,202.34503936767578
sample,3,1,3,524288,105926223,202.03823661804199
sample,3,1,4,524288,105337715,200.91574668884277
sample,3,1,5,524288,105091619,200.44635581970215
case,4,1,scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas
sample,4,1,1,16384,119710274,7306.5352783203125
sample,4,1,2,16384,121116953,7392.3921508789062
sample,4,1,3,16384,120270748,7340.743896484375
sample,4,1,4,16384,120683775,7365.9530639648438
sample,4,1,5,16384,121449768,7412.70556640625
case,5,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas
sample,5,1,1,262144,200097993,763.31326675415039
sample,5,1,2,262144,200967440,766.62994384765625
sample,5,1,3,262144,201076027,767.04417037963867
sample,5,1,4,262144,200241877,763.86214065551758
sample,5,1,5,262144,200964546,766.61890411376953
