run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,openblas,3,ns,10128c807d7b21990a9a043b34709d4c8f3d839e,false,OpenBLAS 0.3.32 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY Haswell MAX_THREADS=128; compiler=15.2.0,1,5,200000000,vendor-calibrated,50000000,1
case,1,1,scal+64+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas
sample,1,1,1,1000000,37771617,37.771616999999999
sample,1,1,2,1000000,38590825,38.590825000000002
sample,1,1,3,1000000,38266189,38.266188999999997
sample,1,1,4,1000000,38373889,38.373888999999998
sample,1,1,5,1000000,37887251,37.887250999999999
case,2,1,scal+256+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas
sample,2,1,1,1000000,43085259,43.085259000000001
sample,2,1,2,1000000,43625887,43.625886999999999
sample,2,1,3,1000000,44741249,44.741249000000003
sample,2,1,4,1000000,43155886,43.155886000000002
sample,2,1,5,1000000,43073463,43.073462999999997
case,3,1,scal+4096+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas
sample,3,1,1,524288,103683287,197.76017570495605
sample,3,1,2,524288,103933364,198.23715972900391
sample,3,1,3,524288,104100507,198.55595970153809
sample,3,1,4,524288,103951581,198.27190589904785
sample,3,1,5,524288,104901205,200.08316993713379
case,4,1,scal+65536+uniform+timing=arithmetic,ok,direct,arithmetic,vendor-cblas
sample,4,1,1,16384,134598128,8215.2177734375
sample,4,1,2,16384,132965124,8115.547119140625
sample,4,1,3,16384,132236348,8071.066162109375
sample,4,1,4,16384,132708205,8099.8660278320312
sample,4,1,5,16384,133750390,8163.4759521484375
case,5,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas
sample,5,1,1,262144,191457086,730.35082244873047
sample,5,1,2,262144,192122866,732.89057159423828
sample,5,1,3,262144,192191974,733.15419769287109
sample,5,1,4,262144,193168465,736.87921524047852
sample,5,1,5,262144,192667507,734.96821212768555
