elapsed_s,cpu_percent
1.089,99.18
2.095,95.55
3.099,98.10
4.102,97.50
5.103,96.38
6.110,96.66
7.114,96.80
8.120,90.91
9.125,79.39
10.126,80.73
11.130,64.02
12.136,81.25
13.141,74.90
14.143,51.10
15.147,42.73
16.150,46.85
17.154,66.08
18.156,72.33
19.157,63.31
20.160,56.40
21.162,88.93
22.167,87.37
23.175,90.59
24.177,96.99
25.186,71.11
26.193,98.80
27.197,98.80
28.198,98.30
29.200,98.60
30.205,97.80
31.209,99.00
32.214,97.70
33.219,98.45
34.226,98.96
35.229,99.20
36.234,98.70
37.239,98.40
38.244,98.10
39.250,98.41
40.254,98.05
41.261,97.05
42.264,98.50
43.269,98.60
44.272,98.55
45.274,99.05
46.277,98.55
47.284,92.29
48.288,94.19
49.295,95.56
50.300,93.20
51.303,85.61
52.304,90.06
53.310,93.25
54.312,94.64
55.317,92.35
56.319,91.22
57.321,80.39
58.327,84.79
59.328,88.95
60.329,94.36
61.332,56.54
62.334,34.04
63.335,45.96
64.339,55.81
65.345,63.05
66.346,36.98
67.347,45.37
68.348,39.82
69.348,40.83
70.349,34.75
71.351,39.10
72.352,36.17
73.354,40.12
74.355,43.21
75.357,39.94
76.361,41.57
77.363,63.70
78.365,82.48
79.368,89.59
80.369,96.83
81.373,86.89
82.375,96.44
83.378,95.51
84.381,98.90
85.383,99.20
86.388,94.23
87.389,89.92
88.392,82.12
89.394,70.91
90.395,58.75
91.400,73.90
92.405,80.65
93.408,78.87
94.409,66.95
95.410,63.31
96.411,66.85
97.414,73.98
98.418,78.59
99.423,85.76
100.428,81.70
101.431,79.82
102.436,89.17
103.439,81.69
104.440,90.73
105.445,90.83
106.449,79.71
107.450,83.16
108.451,75.60
109.456,83.13
110.460,70.79
111.461,84.35
112.467,82.54
113.474,81.15
114.475,75.52
115.478,90.22
116.479,84.76
117.483,86.32
118.485,96.13
119.492,94.00
120.499,90.44
121.502,86.12
122.507,89.77
123.510,83.07
124.514,96.52
125.521,91.47
126.523,88.76
127.528,78.65
128.529,84.18
129.537,70.19
130.538,78.60
131.540,64.90
132.542,80.82
133.545,88.48
134.549,78.95
135.551,78.30
136.557,87.27
137.559,67.19
138.561,78.05
139.563,58.00
140.567,30.07
141.568,35.65
142.568,23.34
143.569,8.16
144.569,9.42
145.570,12.42
146.571,7.73
147.572,7.01
148.572,9.04
149.577,7.19
150.577,6.86
151.578,8.22
152.578,7.65
153.581,7.05
154.581,7.11
155.582,7.98
156.584,7.19
157.587,8.43
158.590,7.18
159.590,7.21
160.595,7.13
161.596,7.98
162.596,8.28
163.597,10.24
164.598,10.20
165.601,7.02
166.601,7.61
167.604,7.28
168.605,7.11
169.606,6.96
