run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,jvm-c/c/c-sparse/packed-4x4,1,ns,0081264d482f0f037a5f242c60d365fd193a1de9,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=2,1,5,100000000,jmh-average-time,100000000,2
case,1,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=N+locality=sorted,ok,composed,slices-cycle-v1,portable-sparse-slices
sample,1,1,1,1325137,100100087,75.53942498020959
sample,1,1,2,1312753,101468471,77.29441182004535
sample,1,1,3,1372671,101855752,74.20259625212451
sample,1,2,4,1332967,101608174,76.22707388855088
sample,1,2,5,1368805,102920398,75.18996350831564
sample,1,2,6,1334757,100126524,75.01479595162266
case,2,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=sorted,ok,composed,slices-cycle-v1,portable-sparse-slices
sample,2,1,1,1413839,103989835,73.55139800217705
sample,2,1,2,1376793,101445913,73.68276349458488
sample,2,1,3,1380305,100132168,72.54350886217176
sample,2,2,4,1416665,103390968,72.98194562581838
sample,2,2,5,1352011,100090545,74.03086587313268
sample,2,2,6,1416612,102257744,72.18472242222994
case,3,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=N+locality=shuffled,ok,composed,slices-cycle-v1,portable-sparse-slices
sample,3,1,1,1298532,100088283,77.07802580144347
sample,3,1,2,1392057,103042149,74.02150127473229
sample,3,1,3,1358689,100090856,73.66723069076146
sample,3,2,4,1358678,100092004,73.66867204738723
sample,3,2,5,1361445,99921122,73.39343271303652
sample,3,2,6,1402449,103715402,73.95306495993793
case,4,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-v1,portable-sparse-slices
sample,4,1,1,1433540,103235141,72.01413354353558
sample,4,1,2,1410860,101768616,72.13232780006521
sample,4,1,3,1393797,100350388,71.99785047607364
sample,4,2,4,1401130,100086104,71.43241811966055
sample,4,2,5,1392840,101459782,72.84381694954195
sample,4,2,6,1398515,102101712,73.00723410188664
case,5,1,sparse-slices-cycle-checked+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-checked-v1,portable-sparse-slices
sample,5,1,1,1065403,100094846,93.95021977599087
sample,5,1,2,1097366,103074228,93.92876032244483
sample,5,1,3,1061588,100087655,94.28107231807444
sample,5,2,4,1081563,100085473,92.53781148208657
sample,5,2,5,1090968,104608695,95.88612589920145
sample,5,2,6,912198,100168101,109.80960383600929
case,6,1,sparse-slices-reduce-dot-checked+64+sparse-uniform+density=0.125+timing=reuse+locality=shuffled,ok,composed,slices-ordered-dot-checked-v1,portable-sparse-slices
sample,6,1,1,3121396,100053797,32.054182487579276
sample,6,1,2,3095370,100089599,32.33526169730921
sample,6,1,3,3149466,99871411,31.710585540532904
sample,6,2,4,3298457,103790952,31.466516616708965
sample,6,2,5,3223065,102211487,31.712511848194186
sample,6,2,6,3181235,100148794,31.481105294013172
case,7,1,sparse-slices-reduce-dot-unchecked+64+sparse-uniform+density=0.125+timing=reuse+locality=shuffled,ok,composed,slices-dot-v1,policy
sample,7,1,1,7530191,100087326,13.291472420819073
sample,7,1,2,7847503,103224653,13.153821413002326
sample,7,1,3,7837629,103346996,13.186002552557667
sample,7,2,4,7521838,100086337,13.306101115179562
sample,7,2,5,7544029,101103765,13.401826132958927
sample,7,2,6,7498571,102187002,13.627530098734812
case,8,1,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=N+locality=sorted,ok,composed,slices-cycle-v1,portable-sparse-slices
sample,8,1,1,63393,99998066,1577.4307257899138
sample,8,1,2,66629,102339189,1535.9556499422174
sample,8,1,3,65204,100090670,1535.0388013005338
sample,8,2,4,68044,100099909,1471.1055934395392
sample,8,2,5,68451,100092361,1462.2483382273451
sample,8,2,6,67622,100131083,1480.7471385052202
