run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,jvm-scalar/scalar/scalar/packed-4x4,1,ns,0081264d482f0f037a5f242c60d365fd193a1de9,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=2,1,5,100000000,jmh-average-time,100000000,2
case,1,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=N+locality=sorted,ok,composed,slices-cycle-v1,portable-sparse-slices
sample,1,1,1,459338,100128231,217.98377447544075
sample,1,1,2,423288,104079011,245.88226219500672
sample,1,1,3,404509,101519144,250.96881404369248
sample,1,2,4,468650,99785248,212.92061879867705
sample,1,2,5,492734,103122128,209.2855942557242
sample,1,2,6,452390,102159157,225.82098852759788
case,2,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=sorted,ok,composed,slices-cycle-v1,portable-sparse-slices
sample,2,1,1,540755,99611440,184.2080794444804
sample,2,1,2,384978,105076926,272.9426772438945
sample,2,1,3,396724,101404166,255.60381020558373
sample,2,2,4,401933,100061953,248.9518228162405
sample,2,2,5,379902,101676772,267.63947544366704
sample,2,2,6,388498,104680805,269.4500486488991
case,3,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=N+locality=shuffled,ok,composed,slices-cycle-v1,portable-sparse-slices
sample,3,1,1,517079,99676429,192.76827912175895
sample,3,1,2,611672,100038001,163.5484393596568
sample,3,1,3,554730,103339436,186.28780848340634
sample,3,2,4,359078,102417693,285.22408223282963
sample,3,2,5,429123,103394449,240.94361989452906
sample,3,2,6,423630,100227235,236.5914477256096
case,4,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-v1,portable-sparse-slices
sample,4,1,1,1125305,101115847,89.85639182266141
sample,4,1,2,1159520,103312147,89.09906426797295
sample,4,1,3,945546,100106719,105.87186556761914
sample,4,2,4,860694,100101361,116.30307751651574
sample,4,2,5,833729,100097958,120.06054485330365
sample,4,2,6,633081,102911363,162.5563916781581
case,5,1,sparse-slices-cycle-checked+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-checked-v1,portable-sparse-slices
sample,5,1,1,312087,100122428,320.81575970803016
sample,5,1,2,489961,103698759,211.64696577890894
sample,5,1,3,409499,101406967,247.63666577940361
sample,5,2,4,664999,100109383,150.54065194082997
sample,5,2,5,828374,103168090,124.5428876328808
