run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,jvm-simd/simd(4 lanes)/simd-sparse/packed-8x4,1,ns,0081264d482f0f037a5f242c60d365fd193a1de9,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=2,1,5,100000000,jmh-average-time,100000000,2
case,1,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=N+locality=sorted,ok,composed,slices-cycle-v1,portable-sparse-slices
sample,1,1,1,491372,100122053,203.76019187092467
sample,1,1,2,420200,106600748,253.69049976201808
sample,1,1,3,517210,100123406,193.5836623421821
sample,1,2,4,574330,100124202,174.3321818466735
sample,1,2,5,750310,103927845,138.51320787407872
sample,1,2,6,929573,100133295,107.71966806264813
case,2,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=sorted,ok,composed,slices-cycle-v1,portable-sparse-slices
sample,2,1,1,423615,101039750,238.51787590146714
sample,2,1,2,379855,104680684,275.5806399810454
sample,2,1,3,362414,101240086,279.349269067972
sample,2,2,4,434993,100022450,229.94036685647816
sample,2,2,5,511910,103869429,202.90564552362721
sample,2,2,6,592042,100175920,169.204076737799
case,3,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=N+locality=shuffled,ok,composed,slices-cycle-v1,portable-sparse-slices
sample,3,1,1,447057,100050890,223.79895628521643
sample,3,1,2,502291,107841598,214.69944315147993
sample,3,1,3,439311,103288833,235.11551725315323
sample,3,2,4,504569,100147407,198.48109376517385
sample,3,2,5,563495,101761310,180.589552702331
sample,3,2,6,552315,100107058,181.24993527244416
case,4,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-v1,portable-sparse-slices
sample,4,1,1,449166,96377975,214.57094927042564
sample,4,1,2,438010,104933329,239.56834090545877
sample,4,1,3,408942,100130942,244.85365161807786
sample,4,2,4,430254,100125927,232.71352968246663
sample,4,2,5,383989,104377863,271.82513822010526
sample,4,2,6,369580,100121072,270.90500568212565
case,5,1,sparse-slices-cycle-checked+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-checked-v1,portable-sparse-slices
sample,5,1,1,366802,100125037,272.9675328924052
sample,5,1,2,420286,103795743,246.96455033001337
sample,5,1,3,397266,100197989,252.21888860360565
sample,5,2,4,421355,100132371,237.64372322625815
sample,5,2,5,328820,104638203,318.22335320235993
sample,5,2,6,394658,100209381,253.914480385549
case,6,1,sparse-slices-reduce-dot-checked+64+sparse-uniform+density=0.125+timing=reuse+locality=shuffled,ok,composed,slices-ordered-dot-checked-v1,portable-sparse-slices
sample,6,1,1,1092459,100141109,91.66578242295591
sample,6,1,2,1035212,102301074,98.82137571821038
sample,6,1,3,1031421,103638612,100.48138635920735
sample,6,2,4,934252,102041473,109.22264335532597
sample,6,2,5,915216,100999339,110.35574006573312
sample,6,2,6,984665,104120072,105.74161973869286
case,7,1,sparse-slices-reduce-dot-unchecked+64+sparse-uniform+density=0.125+timing=reuse+locality=shuffled,ok,composed,slices-dot-v1,policy
sample,7,1,1,2821487,101271530,35.89296353305899
sample,7,1,2,3230698,103276008,31.967088226754715
sample,7,1,3,2970493,102882050,34.63467175313997
sample,7,2,4,3713186,100115527,26.962163220479663
sample,7,2,5,3345887,103196221,30.84270957148284
sample,7,2,6,3229734,100168666,31.014525035188658
case,8,1,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=N+locality=sorted,ok,composed,slices-cycle-v1,portable-sparse-slices
sample,8,1,1,37546,101061238,2691.6645714590104
sample,8,1,2,31636,102893099,3252.405455809837
sample,8,1,3,28187,100124944,3552.1674530812074
sample,8,2,4,28458,100104313,3517.615890083632
sample,8,2,5,37954,103170735,2718.309927807346
sample,8,2,6,40180,100123185,2491.8662269785964
case,9,1,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=sorted,ok,composed,slices-cycle-v1,portable-sparse-slices
sample,9,1,1,31202,100120434,3208.7825780398693
sample,9,1,2,25266,103193081,4084.266642919338
sample,9,1,3,47433,101807426,2146.3417030337528
sample,9,2,4,36243,100099874,2761.909168667053
sample,9,2,5,41313,100794694,2439.7815215549585
sample,9,2,6,42520,103503465,2434.2301269990594
case,10,1,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=N+locality=shuffled,ok,composed,slices-cycle-v1,portable-sparse-slices
sample,10,1,1,27761,100129274,3606.8323907640215
sample,10,1,2,20262,101045217,4986.932040272432
sample,10,1,3,26470,102119463,3857.932111824707
sample,10,2,4,66641,100088957,1501.912591347669
sample,10,2,5,68785,103488383,1504.5196336410554
sample,10,2,6,64791,100088426,1544.7890293404948
case,11,1,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-v1,portable-sparse-slices
sample,11,1,1,43252,100110675,2314.5906547674094
sample,11,1,2,44427,102955500,2317.4083327706126
sample,11,1,3,44215,103186454,2333.7431640845866
sample,11,2,4,59068,101406310,1716.7723640549875
sample,11,2,5,67336,100616274,1494.2419211120352
sample,11,2,6,67295,100078271,1487.1576045768632
case,12,1,sparse-slices-cycle-checked+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-checked-v1,portable-sparse-slices
sample,12,1,1,53857,100087712,1858.397459940212
sample,12,1,2,54298,101161904,1863.0871118641571
sample,12,1,3,54402,100048915,1839.0668541597736
sample,12,2,4,54069,100771412,1863.755793523091
