run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,native/c/c-sparse/packed-4x4,1,ns,0081264d482f0f037a5f242c60d365fd193a1de9,true,kotlin-native-2.4.10,1,5,100000000,native-calibrated,25000000,1
case,1,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=N+locality=sorted,ok,composed,slices-cycle-v1,portable-sparse-slices
sample,1,1,1,748863,103193264,137.79992335046597
sample,1,1,2,748863,101796576,135.93484522536164
sample,1,1,3,748863,104181099,139.11903645927225
case,2,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=sorted,ok,composed,slices-cycle-v1,portable-sparse-slices
sample,2,1,1,702745,96558540,137.40195945897872
sample,2,1,2,702745,96653218,137.5366854264349
sample,2,1,3,702745,101851294,144.93350219496403
case,3,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=N+locality=shuffled,ok,composed,slices-cycle-v1,portable-sparse-slices
sample,3,1,1,737880,98768393,133.8542757629967
sample,3,1,2,737880,103984153,140.9228505990134
sample,3,1,3,737880,99470972,134.8064346506207
case,4,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-v1,portable-sparse-slices
sample,4,1,1,741030,106760827,144.07085678042725
sample,4,1,2,741030,105771415,142.73567197009567
sample,4,1,3,741030,101487739,136.9549667354898
case,5,1,sparse-slices-cycle-checked+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-checked-v1,portable-sparse-slices
sample,5,1,1,559749,102119929,182.4387877423631
sample,5,1,2,559749,99671709,178.0650059222973
sample,5,1,3,559749,100917830,180.29121981459548
case,6,1,sparse-slices-reduce-dot-checked+64+sparse-uniform+density=0.125+timing=reuse+locality=shuffled,ok,composed,slices-ordered-dot-checked-v1,portable-sparse-slices
sample,6,1,1,1000000,70153913,70.153913
sample,6,1,2,1000000,69877102,69.877102
sample,6,1,3,1000000,69522316,69.522316
case,7,1,sparse-slices-reduce-dot-unchecked+64+sparse-uniform+density=0.125+timing=reuse+locality=shuffled,ok,composed,slices-dot-v1,policy
sample,7,1,1,1000000,55883734,55.883734
sample,7,1,2,1000000,56012623,56.012623
sample,7,1,3,1000000,56347927,56.347927
case,8,1,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=N+locality=sorted,ok,composed,slices-cycle-v1,portable-sparse-slices
