candidate,logical_id,base_case,candidate_case,base_configuration,candidate_configuration,base_kernel,candidate_kernel,base_median_ns,candidate_median_ns,candidate_min_ns,candidate_max_ns,base_over_candidate
./koblas-bench/reports/9096bd06b8f87c06e1a8b7d05912c2b124b9997dd49a7894a304c4ae5c857247/20260912T161309Z-0081264d482f/jvm-scalar.csv,sparse-slices-cycle+64+sparse-uniform+compact=N+density=0.125+locality=sorted,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=N+locality=sorted,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=N+locality=sorted,policy,policy,onemkl-with-validated-bookkeeping,portable-sparse-slices,61.293076999999997,221.9023815015193,209.28559425572419,250.96881404369248,0.27621640013620286
./koblas-bench/reports/9096bd06b8f87c06e1a8b7d05912c2b124b9997dd49a7894a304c4ae5c857247/20260912T161309Z-0081264d482f/jvm-scalar.csv,sparse-slices-cycle+64+sparse-uniform+compact=T+density=0.125+locality=sorted,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=sorted,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=sorted,policy,policy,onemkl-with-validated-bookkeeping,portable-sparse-slices,58.905892000000001,261.62164282462538,184.2080794444804,272.94267724389448,0.2251568003473122
./koblas-bench/reports/9096bd06b8f87c06e1a8b7d05912c2b124b9997dd49a7894a304c4ae5c857247/20260912T161309Z-0081264d482f/jvm-scalar.csv,sparse-slices-cycle+64+sparse-uniform+compact=N+density=0.125+locality=shuffled,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=N+locality=shuffled,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=N+locality=shuffled,policy,policy,onemkl-with-validated-bookkeeping,portable-sparse-slices,61.48677,214.67986342368428,163.54843935965681,285.22408223282963,0.28641144548639835
./koblas-bench/reports/9096bd06b8f87c06e1a8b7d05912c2b124b9997dd49a7894a304c4ae5c857247/20260912T161309Z-0081264d482f/jvm-scalar.csv,sparse-slices-cycle+64+sparse-uniform+compact=T+density=0.125+locality=shuffled,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=shuffled,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=shuffled,policy,policy,onemkl-with-validated-bookkeeping,portable-sparse-slices,58.716745000000003,111.08747154206745,89.099064267972949,162.55639167815809,0.52856316004784298
./koblas-bench/reports/9096bd06b8f87c06e1a8b7d05912c2b124b9997dd49a7894a304c4ae5c857247/20260912T161309Z-0081264d482f/jvm-scalar.csv,sparse-slices-reduce-dot-unchecked+64+sparse-uniform+density=0.125+locality=shuffled,sparse-slices-reduce-dot-unchecked+64+sparse-uniform+density=0.125+timing=reuse+locality=shuffled,sparse-slices-reduce-dot-unchecked+64+sparse-uniform+density=0.125+timing=reuse+locality=shuffled,policy,policy,onemkl-with-validated-bookkeeping,policy,11.380770999999999,19.505956863226196,16.503695130947836,21.603963249091667,0.58345104932820369
./koblas-bench/reports/9096bd06b8f87c06e1a8b7d05912c2b124b9997dd49a7894a304c4ae5c857247/20260912T161309Z-0081264d482f/jvm-scalar.csv,sparse-slices-cycle+4096+sparse-uniform+compact=N+density=0.0625+locality=sorted,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=N+locality=sorted,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=N+locality=sorted,policy,policy,onemkl-with-validated-bookkeeping,portable-sparse-slices,1414.3662719726562,2204.605542365377,2123.3552232474281,2275.5775514297816,0.64155071952470322
./koblas-bench/reports/9096bd06b8f87c06e1a8b7d05912c2b124b9997dd49a7894a304c4ae5c857247/20260912T161309Z-0081264d482f/jvm-scalar.csv,sparse-slices-cycle+4096+sparse-uniform+compact=T+density=0.0625+locality=sorted,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=sorted,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=sorted,policy,policy,onemkl-with-validated-bookkeeping,portable-sparse-slices,1417.9071350097656,4460.1769736787865,4080.8356566397651,4765.8807684973299,0.31790378349948423
./koblas-bench/reports/9096bd06b8f87c06e1a8b7d05912c2b124b9997dd49a7894a304c4ae5c857247/20260912T161309Z-0081264d482f/jvm-scalar.csv,sparse-slices-cycle+4096+sparse-uniform+compact=N+density=0.0625+locality=shuffled,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=N+locality=shuffled,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=N+locality=shuffled,policy,policy,onemkl-with-validated-bookkeeping,portable-sparse-slices,1431.9305267333984,5725.2738142973431,5495.0768058352842,8354.3915378894308,0.2501069072290541
./koblas-bench/reports/9096bd06b8f87c06e1a8b7d05912c2b124b9997dd49a7894a304c4ae5c857247/20260912T161309Z-0081264d482f/jvm-scalar.csv,sparse-slices-cycle+4096+sparse-uniform+compact=T+density=0.0625+locality=shuffled,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=shuffled,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=shuffled,policy,policy,onemkl-with-validated-bookkeeping,portable-sparse-slices,1437.9665679931641,5602.5260546173031,3864.492661596958,7262.8180273313037,0.25666396799851893
./koblas-bench/reports/9096bd06b8f87c06e1a8b7d05912c2b124b9997dd49a7894a304c4ae5c857247/20260912T161309Z-0081264d482f/jvm-scalar.csv,sparse-slices-reduce-dot-unchecked+4096+sparse-uniform+density=0.0625+locality=shuffled,sparse-slices-reduce-dot-unchecked+4096+sparse-uniform+density=0.0625+timing=reuse+locality=shuffled,sparse-slices-reduce-dot-unchecked+4096+sparse-uniform+density=0.0625+timing=reuse+locality=shuffled,policy,policy,onemkl-with-validated-bookkeeping,policy,169.14350509643555,423.00589481581807,324.96855237986284,469.59037860161442,0.39986086995331993
