candidate,logical_id,base_case,candidate_case,base_configuration,candidate_configuration,base_kernel,candidate_kernel,base_median_ns,candidate_median_ns,candidate_min_ns,candidate_max_ns,base_over_candidate
./koblas-bench/reports/9096bd06b8f87c06e1a8b7d05912c2b124b9997dd49a7894a304c4ae5c857247/20260912T161309Z-0081264d482f/jvm-scalar.csv,sparse-slices-cycle+64+sparse-uniform+compact=N+density=0.125+locality=sorted,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=N+locality=sorted,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=N+locality=sorted,policy,policy,scalar-c-validated-slices,portable-sparse-slices,45.299624000000001,221.9023815015193,209.28559425572419,250.96881404369248,0.20414212634166726
./koblas-bench/reports/9096bd06b8f87c06e1a8b7d05912c2b124b9997dd49a7894a304c4ae5c857247/20260912T161309Z-0081264d482f/jvm-scalar.csv,sparse-slices-cycle+64+sparse-uniform+compact=T+density=0.125+locality=sorted,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=sorted,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=sorted,policy,policy,scalar-c-validated-slices,portable-sparse-slices,45.992170999999999,261.62164282462538,184.2080794444804,272.94267724389448,0.17579650713695061
./koblas-bench/reports/9096bd06b8f87c06e1a8b7d05912c2b124b9997dd49a7894a304c4ae5c857247/20260912T161309Z-0081264d482f/jvm-scalar.csv,sparse-slices-cycle+64+sparse-uniform+compact=N+density=0.125+locality=shuffled,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=N+locality=shuffled,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=N+locality=shuffled,policy,policy,scalar-c-validated-slices,portable-sparse-slices,45.177211999999997,214.67986342368428,163.54843935965681,285.22408223282963,0.21043991401671386
./koblas-bench/reports/9096bd06b8f87c06e1a8b7d05912c2b124b9997dd49a7894a304c4ae5c857247/20260912T161309Z-0081264d482f/jvm-scalar.csv,sparse-slices-cycle+64+sparse-uniform+compact=T+density=0.125+locality=shuffled,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=shuffled,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=shuffled,policy,policy,scalar-c-validated-slices,portable-sparse-slices,45.942188999999999,111.08747154206745,89.099064267972949,162.55639167815809,0.41356769005767013
./koblas-bench/reports/9096bd06b8f87c06e1a8b7d05912c2b124b9997dd49a7894a304c4ae5c857247/20260912T161309Z-0081264d482f/jvm-scalar.csv,sparse-slices-cycle-checked+64+sparse-uniform+compact=T+density=0.125+locality=shuffled,sparse-slices-cycle-checked+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=shuffled,sparse-slices-cycle-checked+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=shuffled,policy,policy,scalar-c-validated-slices,portable-sparse-slices,57.265298999999999,181.09380885986945,124.54288763288081,320.81575970803016,0.31621897711761054
./koblas-bench/reports/9096bd06b8f87c06e1a8b7d05912c2b124b9997dd49a7894a304c4ae5c857247/20260912T161309Z-0081264d482f/jvm-scalar.csv,sparse-slices-reduce-dot-checked+64+sparse-uniform+density=0.125+locality=shuffled,sparse-slices-reduce-dot-checked+64+sparse-uniform+density=0.125+timing=reuse+locality=shuffled,sparse-slices-reduce-dot-checked+64+sparse-uniform+density=0.125+timing=reuse+locality=shuffled,policy,policy,scalar-c-validated-slices,portable-sparse-slices,25.078465000000001,49.500427687356577,40.606149146663356,53.158554219426648,0.50663127919610995
./koblas-bench/reports/9096bd06b8f87c06e1a8b7d05912c2b124b9997dd49a7894a304c4ae5c857247/20260912T161309Z-0081264d482f/jvm-scalar.csv,sparse-slices-reduce-dot-unchecked+64+sparse-uniform+density=0.125+locality=shuffled,sparse-slices-reduce-dot-unchecked+64+sparse-uniform+density=0.125+timing=reuse+locality=shuffled,sparse-slices-reduce-dot-unchecked+64+sparse-uniform+density=0.125+timing=reuse+locality=shuffled,policy,policy,scalar-c-validated-slices,policy,10.462278,19.505956863226196,16.503695130947836,21.603963249091667,0.53636322859526653
./koblas-bench/reports/9096bd06b8f87c06e1a8b7d05912c2b124b9997dd49a7894a304c4ae5c857247/20260912T161309Z-0081264d482f/jvm-scalar.csv,sparse-slices-cycle+4096+sparse-uniform+compact=N+density=0.0625+locality=sorted,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=N+locality=sorted,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=N+locality=sorted,policy,policy,scalar-c-validated-slices,portable-sparse-slices,1356.3069000244141,2204.605542365377,2123.3552232474281,2275.5775514297816,0.61521522737768231
./koblas-bench/reports/9096bd06b8f87c06e1a8b7d05912c2b124b9997dd49a7894a304c4ae5c857247/20260912T161309Z-0081264d482f/jvm-scalar.csv,sparse-slices-cycle+4096+sparse-uniform+compact=T+density=0.0625+locality=sorted,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=sorted,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=sorted,policy,policy,scalar-c-validated-slices,portable-sparse-slices,1269.6206970214844,4460.1769736787865,4080.8356566397651,4765.8807684973299,0.28465702247108188
./koblas-bench/reports/9096bd06b8f87c06e1a8b7d05912c2b124b9997dd49a7894a304c4ae5c857247/20260912T161309Z-0081264d482f/jvm-scalar.csv,sparse-slices-cycle+4096+sparse-uniform+compact=N+density=0.0625+locality=shuffled,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=N+locality=shuffled,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=N+locality=shuffled,policy,policy,scalar-c-validated-slices,portable-sparse-slices,1395.3943634033203,5725.2738142973431,5495.0768058352842,8354.3915378894308,0.24372534985465594
