run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,scalar-slices,1,ns,0081264d482f0f037a5f242c60d365fd193a1de9,true,scalar C sparse slice reference; compiler=15.2.0,1,5,100000000,vendor-calibrated,25000000,1
case,1,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=N+locality=sorted,ok,composed,slices-cycle-v1,scalar-c-validated-slices
sample,1,1,1,1000000,45306692,45.306691999999998
sample,1,1,2,1000000,45299624,45.299624000000001
sample,1,1,3,1000000,44442223,44.442222999999998
case,2,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=sorted,ok,composed,slices-cycle-v1,scalar-c-validated-slices
sample,2,1,1,1000000,46132391,46.132390999999998
sample,2,1,2,1000000,45854815,45.854815000000002
sample,2,1,3,1000000,45992171,45.992170999999999
case,3,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=N+locality=shuffled,ok,composed,slices-cycle-v1,scalar-c-validated-slices
sample,3,1,1,1000000,45177212,45.177211999999997
sample,3,1,2,1000000,44609617,44.609617
sample,3,1,3,1000000,45799092,45.799092000000002
case,4,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-v1,scalar-c-validated-slices
sample,4,1,1,1000000,45942189,45.942188999999999
sample,4,1,2,1000000,45602589,45.602589000000002
sample,4,1,3,1000000,45970170,45.970170000000003
case,5,1,sparse-slices-cycle-checked+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-checked-v1,scalar-c-validated-slices
sample,5,1,1,1000000,56823876,56.823875999999998
sample,5,1,2,1000000,57265299,57.265298999999999
sample,5,1,3,1000000,57611394,57.611393999999997
case,6,1,sparse-slices-reduce-dot-checked+64+sparse-uniform+density=0.125+timing=reuse+locality=shuffled,ok,composed,slices-ordered-dot-checked-v1,scalar-c-validated-slices
sample,6,1,1,1000000,24853987,24.853987
sample,6,1,2,1000000,25078465,25.078465000000001
sample,6,1,3,1000000,25218052,25.218052
case,7,1,sparse-slices-reduce-dot-unchecked+64+sparse-uniform+density=0.125+timing=reuse+locality=shuffled,ok,composed,slices-dot-v1,scalar-c-validated-slices
sample,7,1,1,1000000,10496765,10.496765
sample,7,1,2,1000000,10411994,10.411994
sample,7,1,3,1000000,10462278,10.462278
case,8,1,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=N+locality=sorted,ok,composed,slices-cycle-v1,scalar-c-validated-slices
sample,8,1,1,65536,89747462,1369.4375915527344
sample,8,1,2,65536,88616473,1352.1800689697266
sample,8,1,3,65536,88886929,1356.3069000244141
case,9,1,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=sorted,ok,composed,slices-cycle-v1,scalar-c-validated-slices
sample,9,1,1,65536,83825037,1279.0685577392578
sample,9,1,2,65536,83205862,1269.6206970214844
sample,9,1,3,65536,82204750,1254.3449401855469
case,10,1,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=N+locality=shuffled,ok,composed,slices-cycle-v1,scalar-c-validated-slices
sample,10,1,1,65536,90578675,1382.1208953857422
sample,10,1,2,65536,91448565,1395.3943634033203
sample,10,1,3,65536,91700067,1399.2319793701172
case,11,1,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-v1,scalar-c-validated-slices
sample,11,1,1,65536,85181608,1299.7681884765625
sample,11,1,2,65536,86392833,1318.2500152587891
sample,11,1,3,65536,85170977,1299.6059722900391
case,12,1,sparse-slices-cycle-checked+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-checked-v1,scalar-c-validated-slices
sample,12,1,1,65536,97477430,1487.3875427246094
sample,12,1,2,65536,97319790,1484.9821472167969
sample,12,1,3,65536,98650995,1505.2947235107422
case,13,1,sparse-slices-reduce-dot-checked+4096+sparse-uniform+density=0.0625+timing=reuse+locality=shuffled,ok,composed,slices-ordered-dot-checked-v1,scalar-c-validated-slices
sample,13,1,1,131072,96594666,736.95881652832031
sample,13,1,2,131072,95793794,730.84864807128906
sample,13,1,3,131072,95491448,728.54193115234375
case,14,1,sparse-slices-reduce-dot-unchecked+4096+sparse-uniform+density=0.0625+timing=reuse+locality=shuffled,ok,composed,slices-dot-v1,scalar-c-validated-slices
sample,14,1,1,262144,54530970,208.01914215087891
sample,14,1,2,262144,54635363,208.4173698425293
sample,14,1,3,262144,54891337,209.39383316040039
case,15,1,sparse-slices-cycle+65536+sparse-uniform+density=0.015625+timing=reuse+compact=N+locality=sorted,ok,composed,slices-cycle-v1,scalar-c-validated-slices
sample,15,1,1,8192,66145060,8074.34814453125
sample,15,1,2,8192,66530211,8121.3636474609375
sample,15,1,3,8192,65953175,8050.9246826171875
case,16,1,sparse-slices-cycle+65536+sparse-uniform+density=0.015625+timing=reuse+compact=T+locality=sorted,ok,composed,slices-cycle-v1,scalar-c-validated-slices
sample,16,1,1,8192,64020201,7814.9659423828125
sample,16,1,2,8192,63756872,7782.8212890625
sample,16,1,3,8192,63324841,7730.0831298828125
case,17,1,sparse-slices-cycle+65536+sparse-uniform+density=0.015625+timing=reuse+compact=N+locality=shuffled,ok,composed,slices-cycle-v1,scalar-c-validated-slices
sample,17,1,1,8192,68403675,8350.0579833984375
sample,17,1,2,8192,67654185,8258.5675048828125
sample,17,1,3,8192,67223517,8205.9957275390625
case,18,1,sparse-slices-cycle+65536+sparse-uniform+density=0.015625+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-v1,scalar-c-validated-slices
sample,18,1,1,8192,65534759,7999.8485107421875
sample,18,1,2,8192,65531907,7999.5003662109375
sample,18,1,3,8192,66852780,8160.73974609375
case,19,1,sparse-slices-cycle-checked+65536+sparse-uniform+density=0.015625+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-checked-v1,scalar-c-validated-slices
sample,19,1,1,8192,70287183,8579.9783935546875
sample,19,1,2,8192,70300134,8581.559326171875
sample,19,1,3,8192,70358135,8588.6395263671875
case,20,1,sparse-slices-reduce-dot-checked+65536+sparse-uniform+density=0.015625+timing=reuse+locality=shuffled,ok,composed,slices-ordered-dot-checked-v1,scalar-c-validated-slices
sample,20,1,1,32768,96151778,2934.3193969726562
sample,20,1,2,32768,95929324,2927.5306396484375
sample,20,1,3,32768,95867263,2925.6366882324219
case,21,1,sparse-slices-reduce-dot-unchecked+65536+sparse-uniform+density=0.015625+timing=reuse+locality=shuffled,ok,composed,slices-dot-v1,scalar-c-validated-slices
sample,21,1,1,65536,58914338,898.96145629882812
sample,21,1,2,65536,58309102,889.72628784179688
sample,21,1,3,65536,58570445,893.71406555175781
case,22,1,sparse-slices-gather+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=sorted,ok,composed,slices-gather-v1,scalar-c-validated-slices
sample,22,1,1,131072,74643446,569.48429870605469
sample,22,1,2,131072,74968325,571.96292877197266
sample,22,1,3,131072,74298022,566.84892272949219
case,23,1,sparse-slices-gather+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-gather-v1,scalar-c-validated-slices
sample,23,1,1,131072,73981141,564.43131256103516
sample,23,1,2,131072,74213398,566.20329284667969
sample,23,1,3,131072,73969772,564.34457397460938
case,24,1,sparse-slices-gather-clear+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=sorted,ok,composed,slices-refill-gather-clear-v1,scalar-c-validated-slices
sample,24,1,1,131072,94693576,722.45465087890625
sample,24,1,2,131072,93192138,710.99958801269531
sample,24,1,3,131072,92224720,703.6187744140625
case,25,1,sparse-slices-gather-clear+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-refill-gather-clear-v1,scalar-c-validated-slices
sample,25,1,1,131072,97875293,746.72922515869141
sample,25,1,2,131072,98281457,749.82801055908203
sample,25,1,3,131072,99040580,755.61965942382812
case,26,1,sparse-slices-clear+4096+sparse-uniform+density=0.0625+timing=reuse+locality=shuffled,ok,composed,slices-refill-clear-v1,scalar-c-validated-slices
sample,26,1,1,131072,51001972,389.11416625976562
sample,26,1,2,131072,51142808,390.18865966796875
sample,26,1,3,131072,50687630,386.71592712402344
