host arch=2 os=1 hardware=8 usable=8 built=8 kernels=41
kernel=17 operation=1 variant=1 reason=0 bits=0 batch=1 unroll=1
kernel=20 operation=1 variant=4 reason=0 bits=128 batch=16 unroll=4
kernel=33 operation=2 variant=1 reason=0 bits=0 batch=1 unroll=1
kernel=36 operation=2 variant=4 reason=0 bits=128 batch=16 unroll=4
kernel=49 operation=3 variant=1 reason=0 bits=0 batch=1 unroll=1
kernel=52 operation=3 variant=4 reason=0 bits=128 batch=1 unroll=1
kernel=65 operation=4 variant=1 reason=0 bits=0 batch=1 unroll=1
kernel=68 operation=4 variant=4 reason=0 bits=128 batch=1 unroll=1
kernel=81 operation=5 variant=1 reason=0 bits=0 batch=1 unroll=1
kernel=84 operation=5 variant=4 reason=0 bits=128 batch=1 unroll=1
kernel=97 operation=6 variant=1 reason=0 bits=0 batch=8 unroll=8
kernel=100 operation=6 variant=4 reason=0 bits=128 batch=8 unroll=8
kernel=113 operation=7 variant=1 reason=0 bits=0 batch=1 unroll=1
kernel=116 operation=7 variant=4 reason=0 bits=128 batch=16 unroll=4
kernel=129 operation=8 variant=1 reason=0 bits=0 batch=1 unroll=1
kernel=132 operation=8 variant=4 reason=0 bits=128 batch=16 unroll=4
kernel=145 operation=9 variant=1 reason=0 bits=0 batch=1 unroll=1
kernel=148 operation=9 variant=4 reason=0 bits=128 batch=16 unroll=4
kernel=161 operation=10 variant=1 reason=0 bits=0 batch=1 unroll=1
kernel=164 operation=10 variant=4 reason=0 bits=128 batch=1 unroll=1
kernel=177 operation=11 variant=1 reason=0 bits=0 batch=1 unroll=1
kernel=180 operation=11 variant=4 reason=0 bits=128 batch=1 unroll=1
kernel=193 operation=12 variant=1 reason=0 bits=0 batch=1 unroll=1
kernel=196 operation=12 variant=4 reason=0 bits=128 batch=4 unroll=1
kernel=209 operation=13 variant=1 reason=0 bits=0 batch=1 unroll=1
kernel=212 operation=13 variant=4 reason=0 bits=128 batch=4 unroll=1
kernel=225 operation=14 variant=1 reason=0 bits=0 batch=1 unroll=1
kernel=228 operation=14 variant=4 reason=0 bits=128 batch=4 unroll=1
kernel=241 operation=15 variant=1 reason=0 bits=0 batch=1 unroll=1
kernel=244 operation=15 variant=4 reason=0 bits=128 batch=1 unroll=1
kernel=257 operation=16 variant=1 reason=0 bits=0 batch=8 unroll=8
kernel=273 operation=17 variant=1 reason=0 bits=0 batch=1 unroll=1
kernel=289 operation=18 variant=1 reason=0 bits=0 batch=1 unroll=1
kernel=305 operation=19 variant=1 reason=0 bits=0 batch=1 unroll=1
kernel=321 operation=20 variant=1 reason=0 bits=0 batch=1 unroll=1
kernel=337 operation=21 variant=1 reason=0 bits=0 batch=1 unroll=1
kernel=353 operation=22 variant=1 reason=0 bits=0 batch=1 unroll=1
kernel=369 operation=23 variant=1 reason=0 bits=0 batch=1 unroll=1
kernel=372 operation=23 variant=4 reason=0 bits=128 batch=1 unroll=1
kernel=385 operation=24 variant=1 reason=0 bits=0 batch=1 unroll=1
kernel=388 operation=24 variant=4 reason=0 bits=128 batch=1 unroll=1
probe ABI and rejection checks passed
