case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,20,2,1781.9769911795715,1448.2763741631989,2123.1610127227004
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1423.379467541366,1415.6445617336794,1430.8770282543246
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1421.9304301342572,1408.235901442054,1429.0661424970185
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1011.5497082723632,1008.6373008151393,1013.8256104419909
nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,503.33323701804454,500.77359756128084,503.6293317828521
asum+4096+uniform,ok,direct,arithmetic,policy,20,2,2259.4515984672207,2252.289552776433,2269.6309939663383
sum+4096+uniform,ok,direct,arithmetic,policy,20,2,1692.0556478584197,1148.6391765002984,2234.919490295057
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,4596.428128040092,4594.861712632328,4659.830204937121
iamax+64+uniform,ok,direct,arithmetic,policy,20,2,24.37173345912384,24.361978635866077,25.110425615170556
iamax+128+uniform,ok,direct,arithmetic,policy,20,2,47.296999454648954,47.29042743054546,47.3215611936592
iamax+256+uniform,ok,direct,arithmetic,policy,20,2,92.80063916492435,92.78830559903851,92.86145632414248
iamax+512+uniform,ok,direct,arithmetic,policy,20,2,184.6623649476432,184.55511590919156,186.56908003009906
iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,368.016028408974,367.93441353767844,368.18473694573305
iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,2537.7908504692577,2535.5158703006805,2539.114795497519
iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,38402.4675677317,37698.20082893745,39233.01508325172
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2656.814472535252,2654.521685484192,2659.0869646058836
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3716.2750390282963,3712.5854871328647,3737.287024412111
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3688.81773079664,3677.333278200463,3702.365382480293
rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,8.763901629293898,8.725077673643602,8.820216334030837
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,1326.6673172808555,1318.474568789448,1330.5164284906803
dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,6741.07732608241,5302.011927745894,8090.607952479088
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,4517.3685264496835,4263.714407393211,4640.781246376139
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,4300.748359042058,4272.697814394262,4402.114728852712
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,210.42252040157263,210.1842365545786,210.58375433633088
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,1038.7316031819241,1032.218838621856,1039.5835190813914
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,5399.550579174233,5392.674320827943,5407.242061454476
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1919.6873901703782,1917.1142172830043,1920.7431961524062
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,6113.420828791901,6107.948867452225,6122.622203861807
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,9444.051059768952,9440.173767397971,9454.400132212673
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,3741.3163519827654,3736.13715384759,3752.3510305121617
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,4078.6567094353777,4062.823688271605,4104.792510868673
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,20,2,8749.428823807131,8700.269566728955,8788.872309584469
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,176138.52695233625,175973.48154657293,176524.7901234568
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,20,2,58651.9728898007,58268.68899242865,58735.98385676548
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,98176.12768849808,97750.28920371275,98577.71921182267
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,97124.14944201845,97001.52690256908,97692.85163494387
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,20,2,109935.22570016474,109814.50191991223,110077.32343234324
syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,20,2,66911.27917084587,66868.05111927832,66954.3305453329
syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,144348.29524152848,144232.52377521613,144476.01154401153
trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,17165.654982580698,17127.17685327855,17203.32508378448
trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,17040.146308024072,17007.86287170773,17073.39513651877
trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,16031.575307177376,16000.644702119152,16043.855115458628
trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,19014.81906300485,18974.50246538972,19063.79639862805
gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,raw-tile,c-tile,20,2,157.98034009317894,138.26543518263236,172.92343939841723
gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,raw-tile,c-tile,20,2,155.3661227292081,138.29017626671182,174.0464092117349
packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,raw-tile,portable-solve,20,2,42.621853779192776,42.520697861336465,43.6330970555567
packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,raw-tile,portable-solve,20,2,12.667231473538635,12.61477414987809,12.932588472279537
gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,raw-tile,c-tile,20,2,250.051903920271,225.24102972811423,274.425266825862
gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,raw-tile,c-tile,20,2,240.09751685388431,217.67985539898544,261.946042011691
gemm-tile+8x4x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-tile+7x2x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
packed-trsm+8x4+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
packed-trsm+7x2+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-trsm+8x4x32+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-trsm+7x2x31+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-left+4x32+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,20,2,134.27655145227828,132.38056626855973,138.9862964691891
pack-left+3x31+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,20,2,161.95593511660098,161.68329248570603,162.10421026449959
pack-right+32x4+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,20,2,147.39954635722154,145.62073565888764,166.75487547829653
pack-right+31x2+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,20,2,167.5043588128546,167.42743135341755,167.5964241738912
pack-symmetric-left+4x4+uniform+packed=4x4+uplo=L,ok,unsupported,packing-only,portable-layout,20,2,34.974731404362174,34.8337901152316,35.04884133773701
pack-symmetric-right+4x4+uniform+packed=4x4+uplo=U,ok,unsupported,packing-only,portable-layout,20,2,34.52112611761034,34.30533510633647,34.70399793527833
pack-triangular-left+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,unsupported,packing-only,portable-layout,20,2,32.72437876373864,32.43788536913726,33.00379277219087
pack-triangular-right+4x4+triangular+packed=4x4+uplo=U+diag=U,ok,unsupported,packing-only,portable-layout,20,2,31.637169451399142,31.60376861077949,33.91751004476281
write-left+3x31+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,78.79627397116745,78.5896151634373,78.96981312000429
write-left+4x32+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,92.4013006469785,92.28570940986172,92.47891680425084
write-right+31x2+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,75.32097512132815,75.25645473728555,79.80701999313126
write-right+32x4+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,105.68643641441247,105.35692335883265,105.87541937341115
clear-left-padding+3x31+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,74.29363134444091,73.14458925650749,75.21675902802345
