case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,20,2,2911.9608394664383,2909.5214628471717,2914.1858690587137
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1614.6404956922888,1612.3761493025618,1633.0437891265844
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1613.8558660455292,1609.8899473794313,1631.6814808774361
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1005.6302717559174,1003.0984249205442,1010.2574310916775
nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,2909.144492361746,2908.740183464899,2910.905158263244
asum+4096+uniform,ok,direct,arithmetic,policy,20,2,2905.203529386389,2904.5864556870147,2917.3512705748567
sum+4096+uniform,ok,direct,arithmetic,policy,20,2,2900.057219741744,2899.4312688383957,2911.2274063081936
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,4596.109223643161,4594.846731418337,4599.0018616410025
iamax+64+uniform,ok,direct,arithmetic,policy,20,2,24.015018850381885,24.002444674528636,26.151710386953027
iamax+128+uniform,ok,direct,arithmetic,policy,20,2,46.941697909389475,46.93333287982987,46.96315087026688
iamax+256+uniform,ok,direct,arithmetic,policy,20,2,93.00242148636433,92.8052542424768,93.2355423440969
iamax+512+uniform,ok,direct,arithmetic,policy,20,2,185.23838371564085,184.5886977211481,186.1682285599443
iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,367.98896869839564,367.94350923521665,368.27201005543003
iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,1470.0374771623262,1469.819656719816,1470.7439540730068
iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,23587.758958458355,23533.536281312478,23719.03461356093
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3917.688798646304,3903.0075101435705,3933.860810757677
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3785.233473977357,3779.2143396511365,3801.9282497577287
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3658.172452787837,3645.456362145915,3667.7165603928465
rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,8.825979590907961,8.76869615181053,8.861123948093208
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,2917.898444809486,2915.899484160522,2922.5226884374406
dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,3271.8453706831233,3261.0893474150857,3278.386803427766
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,5348.060645747581,5341.748097717261,5353.267437193997
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,3501.6400905775135,3499.582152726764,3556.945079156376
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,211.67844646538748,211.43035351603365,211.85952165147563
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,1041.2393796560168,1037.9085566074439,1043.0145599941613
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,5410.412056438716,5405.429362506753,5416.391559742298
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1918.5368953111274,1914.4218518270454,1921.527295940407
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,6332.600544964034,6089.222847752655,6557.685435238594
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,9450.535551249828,9429.669243095484,9472.092682003218
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,3742.664829500151,3732.6418737407657,3748.9225782274684
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,4030.209919042498,4009.729639278557,4049.4976321541326
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,20,2,11354.002567071035,11346.245919292678,11394.951591776296
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,281060.2324438202,280433.281512605,281581.90154711675
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,20,2,75255.34735329324,75150.54675178371,75381.9879472693
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,147829.74673064915,147618.1349557522,148033.45931952662
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,146167.15549977875,146030.11451495258,146264.28728070174
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,20,2,109907.47694840835,109856.01481888036,110028.0775151182
syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,20,2,82507.98743211041,82424.2355848435,82583.22616591003
