case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,20,2,873.451543293555,835.494809760823,884.7765362387411
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1565.3177895207455,1529.9115778367343,1585.634320670692
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1513.9377413759266,1496.7513988211006,1527.2947018098268
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1004.7787489665045,978.9958019581077,1026.3589968504098
nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,410.1819651299152,388.7113930591819,410.7301804012064
asum+4096+uniform,ok,direct,arithmetic,policy,20,2,454.07066107955404,453.17333629274634,455.37082977779295
sum+4096+uniform,ok,direct,arithmetic,policy,20,2,388.9487321244379,384.72002807179456,394.97003069573714
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,4596.705959380883,4595.393872582794,4663.976873222362
iamax+64+uniform,ok,direct,arithmetic,policy,20,2,24.365819667666255,24.339218008556223,25.806104821158318
iamax+128+uniform,ok,direct,arithmetic,policy,20,2,47.296000952314984,47.284829879401904,47.320125645753144
iamax+256+uniform,ok,direct,arithmetic,policy,20,2,87.02762037950299,86.93726395828807,87.09882347410115
iamax+512+uniform,ok,direct,arithmetic,policy,20,2,220.84667464592133,219.0476794310722,221.56916318487404
iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,331.28355414696705,328.6654998349133,333.6899325904159
iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,1007.148923382207,1004.9231750560015,1010.4942982677643
iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,14705.749797898141,14656.795399604425,14772.789605787686
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2622.3106686226643,2523.422028298318,2722.42789691395
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3264.12720343577,3252.112089840893,3315.499660567928
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3064.815902577903,3057.7523546804036,3071.497075664308
rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,8.770097903286917,8.72443392723157,8.815604013606375
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,773.7167619023407,699.6933547759169,827.7030753574265
dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,3003.8615868445813,2385.4922145122446,3624.008471661568
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,3500.781476839712,3499.6815629755306,3501.9889221399694
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,2846.255279816507,2807.742146394848,2896.180699697483
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,125.92141472193072,120.36395831779254,131.2561569536085
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,791.3592741425136,781.4662091472651,793.9875790693429
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,4788.3515783972425,4747.673947586861,4797.523917995444
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1524.3724629354133,1520.3188529136874,1533.7438533853308
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,5323.732577320213,5303.2233030295,5344.598723222394
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,7367.062612946256,7363.43640512292,7370.62087507366
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,2581.0501102580374,2571.9263953518266,2585.3227869360758
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,2395.5565969278014,2389.4899021867645,2401.3144749948992
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,20,2,7242.531354954206,7212.693826093221,7262.320121951219
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,166108.12679542488,165237.77869529315,166968.55796497082
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,20,2,42500.23951373325,42308.43086680761,42925.58215358215
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,91229.73852142456,90846.20018157059,91502.81755829904
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,87270.95670465438,87099.76631853786,87581.47177242888
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,20,2,109736.68064692983,109558.04652435688,110057.08085808581
syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,20,2,51064.020158203624,50933.500508647,51118.81711366539
syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,112290.48857963958,111781.90558659218,112854.1166854566
trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,13270.537837544778,13221.252296306086,13316.268076897491
trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,12700.229078962046,12563.938610256731,12863.991195372751
trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,9374.825343104745,9287.349006683995,9417.059487951807
trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,12644.423237176137,12585.128758334382,12689.221306277743
gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,raw-tile,vector-tile,20,2,63.03716499962683,62.6433607792821,63.2122686098319
gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,raw-tile,vector-tile,20,2,61.75455290068764,61.3121647026738,62.29364054369783
packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,raw-tile,portable-solve,20,2,42.67767294553576,42.48058811464707,42.81558002320375
packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,raw-tile,portable-solve,20,2,12.72279472813827,12.623332911467953,12.817406933299576
gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,raw-tile,vector-update-portable-solve,20,2,114.45529645038556,113.94681884658843,114.60136505556278
gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,raw-tile,vector-update-portable-solve,20,2,54.623351678373005,54.212000407515404,55.2216943078813
gemm-tile+8x4x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-tile+7x2x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
packed-trsm+8x4+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
packed-trsm+7x2+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-trsm+8x4x32+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-trsm+7x2x31+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-left+4x32+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,20,2,135.13486625582564,133.95525035098748,140.44885355361876
pack-left+3x31+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,20,2,162.95607212851226,162.13021905759774,163.29123847640437
pack-right+32x4+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,20,2,153.00749954743708,146.49008325395494,158.25356053261297
pack-right+31x2+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,20,2,169.60420821616015,169.47979117861783,170.17261441560507
pack-symmetric-left+4x4+uniform+packed=4x4+uplo=L,ok,unsupported,packing-only,portable-layout,20,2,35.33513773152926,35.02961968125477,35.423628322798734
pack-symmetric-right+4x4+uniform+packed=4x4+uplo=U,ok,unsupported,packing-only,portable-layout,20,2,35.357639919353474,34.96985929829872,35.75393599451849
pack-triangular-left+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,unsupported,packing-only,portable-layout,20,2,34.02472070153509,33.89719364273444,34.16718245952507
pack-triangular-right+4x4+triangular+packed=4x4+uplo=U+diag=U,ok,unsupported,packing-only,portable-layout,20,2,33.21858264072564,33.084462570583874,35.674278198563904
write-left+3x31+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,64.96953005647535,64.62043682699546,74.05856149134259
write-left+4x32+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,76.97737721966176,76.80506035723376,77.76970223722446
write-right+31x2+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,76.83885611565235,76.5805218903675,81.91402929794155
write-right+32x4+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,114.69390028626344,114.33266797490649,115.09145289809247
