case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,10,1,740.5013124658594,739.5484237578318,740.9655569364554
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1637.7304983329122,1634.5912822310445,1644.9471830698872
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1634.4414409282872,1630.5119575565736,1637.766260079907
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1112.9131571087216,1111.5205927253419,1113.8861122173548
nrm2+4096+uniform,ok,direct,arithmetic,policy,10,1,609.7331050634323,608.0659581458295,610.3299233507449
asum+4096+uniform,ok,direct,arithmetic,policy,10,1,521.5876559002238,521.1033373840742,522.1235535657179
sum+4096+uniform,ok,direct,arithmetic,policy,10,1,389.8766846618459,389.18530898511773,391.51832988446944
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,10,1,9175.217421377847,9108.428663653971,9204.21557686987
iamax+64+uniform,ok,direct,arithmetic,policy,10,1,109.0280425,108.899277,109.191368
iamax+128+uniform,ok,direct,arithmetic,policy,10,1,169.313728,168.965347,169.626008
iamax+256+uniform,ok,direct,arithmetic,policy,10,1,187.864873,187.504397,188.115548
iamax+512+uniform,ok,direct,arithmetic,policy,10,1,374.7476202760461,373.4920855271583,374.90142217388643
iamax+1024+uniform,ok,direct,arithmetic,policy,10,1,420.97309393109254,420.0731935483196,421.33197859485296
iamax+4096+uniform,ok,direct,arithmetic,policy,10,1,862.3665673963678,861.5455354150014,864.8705532492759
iamax+65536+uniform,ok,direct,arithmetic,policy,10,1,11612.817126943606,11609.21443490369,11624.608319795776
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,2838.6862518007965,2837.326389085054,2840.7832688342137
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,3137.3303240921514,3131.2881999219053,3149.105833658727
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,3459.179706139824,3439.1152611613657,3478.9865256870185
rotmg+1+uniform,ok,direct,arithmetic,policy,10,1,62.2039215,62.119793,62.395745
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,10,1,910.5674461771919,909.979116705281,911.2999128357292
dot4+4096+uniform,ok,composed,arithmetic,policy,10,1,2891.2426032944704,2889.7631180734697,2892.3364798455086
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,1,3674.856087378463,3674.3659202021495,3676.062549209895
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,1,2499.529362822407,2498.046096340358,2500.2854322152816
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1086.357517369002,1086.0434225050321,1086.6510724411835
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,2888.3412855136353,2885.908106078516,2889.5308653993243
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,12681.937735072872,12670.755818053596,12692.722907851434
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,10,1,2727.025671919712,2721.650861891918,2736.973561345619
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,10,1,11631.568535735038,11629.631667635096,11639.477687391052
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,20870.50140992167,20851.81451697128,20915.289712793732
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,9267.784496734448,9265.680300152855,9277.60146370837
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,7736.5895180395355,7733.560565458853,7747.8928113713155
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,10,1,15479.34083004869,15469.830203261457,15498.96591699513
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,250715.65923566878,250516.6458598726,251280.97197452228
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,10,1,85919.51584582441,85860.5391862955,86012.18629550321
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,10,1,133106.51329787233,132928.39162234042,133351.5039893617
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,128562.95734445157,128510.23540731239,128659.55099422707
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,10,1,684331.5549828178,684240.6838487972,684998.2130584193
syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,10,1,105414.45574288725,105335.89093782929,105499.1354056902
syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,219474.73908296943,219367.33624454148,219802.72270742359
trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,72082.29055515502,72071.98774333093,72112.07894736843
trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,81369.35115900773,81352.4265961773,81385.75233834892
trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,56131.04663140312,56120.88669265033,56156.37722717149
trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,65378.67121507472,65371.220922677065,65396.09064327485
gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,raw-tile,c-tile,10,1,135.489937,135.373837,135.712298
gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,raw-tile,c-tile,10,1,133.33658450000001,133.263822,133.432086
packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,raw-tile,c-tile,10,1,119.245586,119.174926,119.3777
packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,raw-tile,c-tile,10,1,96.521039,96.357996,96.600994
gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,raw-tile,c-tile,10,1,189.0116675,188.911398,189.080399
gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,raw-tile,c-tile,10,1,170.284132,170.116318,170.409619
gemm-tile+8x4x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-tile+7x2x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
packed-trsm+8x4+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
packed-trsm+7x2+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-trsm+8x4x32+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-trsm+7x2x31+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-left+4x32+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,10,1,484.36702534845097,484.10841096747794,484.5965624322958
pack-left+3x31+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,10,1,427.75118505968135,427.5182745615649,427.90977470645845
pack-right+32x4+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,10,1,479.12982501623304,478.73519107409163,479.36812712426774
pack-right+31x2+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,10,1,385.4560468432586,385.35733501383174,385.6287037759809
pack-symmetric-left+4x4+uniform+packed=4x4+uplo=L,ok,unsupported,packing-only,portable-layout,10,1,140.073821,139.859309,140.102215
pack-symmetric-right+4x4+uniform+packed=4x4+uplo=U,ok,unsupported,packing-only,portable-layout,10,1,143.98728,143.926165,144.074067
pack-triangular-left+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,unsupported,packing-only,portable-layout,10,1,148.9671845,148.84648,151.63429
pack-triangular-right+4x4+triangular+packed=4x4+uplo=U+diag=U,ok,unsupported,packing-only,portable-layout,10,1,160.340644,160.093454,160.467603
write-left+3x31+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,236.83989026152474,235.60539873274865,238.63357913572807
write-left+4x32+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,285.86297975261846,285.6573814895227,286.0189008564296
write-right+31x2+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,187.2248585,186.393757,187.76637
write-right+32x4+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,277.03052938221174,276.8125758905287,277.2590935162965
clear-left-padding+3x31+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,318.29255555993524,318.22996404279826,318.40606819751207
clear-left-padding+4x32+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,67.0843965,66.953006,67.212069
clear-right-padding+31x2+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,330.4493258517386,330.3952228017938,330.5959221894638
clear-right-padding+32x4+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,70.277344,70.210112,70.448121
pack-left+7x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-left+8x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-right+31x2+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-right+32x4+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-symmetric-left+8x8+uniform+packed=8x4+uplo=L,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-symmetric-right+4x4+uniform+packed=8x4+uplo=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-triangular-left+8x8+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-triangular-right+4x4+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
write-left+7x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
write-left+8x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
write-right+31x2+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
write-right+32x4+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
clear-left-padding+7x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
clear-left-padding+8x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
clear-right-padding+31x2+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
clear-right-padding+32x4+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spdot+4096+sparse-uniform+density=0.01,ok,direct,arithmetic,policy,10,1,125.4479965,125.397081,125.511932
spdot-raw+64+sparse-uniform+density=0.125,ok,unsupported,arithmetic,policy,10,1,61.453016,61.411489,61.511207
spdot-raw+4096+sparse-uniform+density=0.0625,ok,unsupported,arithmetic,policy,10,1,504.58282317632097,504.39221700568515,504.9819187320514
spdot-raw+65536+sparse-uniform+density=0.015625,ok,unsupported,arithmetic,policy,10,1,2055.8773506806756,2053.079115735252,2060.5330117329627
spdot-raw+262144+sparse-uniform+density=0.03125,ok,unsupported,arithmetic,policy,10,1,17537.54144759902,17523.92297581493,17638.017525411848
spdot-sparse+4096+sparse-uniform+density=0.01,ok,unsupported,arithmetic,policy,10,1,245.65788945384566,244.76316581923152,246.3413600266749
spaxpy+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,policy,10,1,651.5641551966564,628.7909082700172,656.4520226777261
spaxpy-raw+64+sparse-uniform+density=0.125,ok,unsupported,reset-and-arithmetic,policy,10,1,88.646951,88.523907,88.714719
spaxpy-raw+4096+sparse-uniform+density=0.0625,ok,unsupported,reset-and-arithmetic,policy,10,1,1171.3693075011493,1162.6035430985817,1173.0091312773895
spaxpy-raw+65536+sparse-uniform+density=0.015625,ok,unsupported,reset-and-arithmetic,policy,10,1,12937.509578668047,12902.306517377516,13022.360494466378
spaxpy-raw+262144+sparse-uniform+density=0.03125,ok,unsupported,reset-and-arithmetic,policy,10,1,88114.57557624113,87696.53945035461,88576.12455673759
spnrm2+4096+sparse-uniform+density=0.01,ok,direct,arithmetic,policy,10,1,70.296673,70.220978,70.579775
spnrm2-indexed+4096+sparse-uniform+density=0.01,ok,unsupported,arithmetic,policy,10,1,149.79482050000001,149.526263,149.96355
spnrm2-indexed+4096+sparse-uniform+density=0.5,ok,unsupported,arithmetic,policy,10,1,4148.3771375464685,4146.794774886411,4150.9124741842215
spnrm2-indexed+262144+sparse-uniform+density=0.03125,ok,unsupported,arithmetic,policy,10,1,16930.040830156715,16910.93155442609,17074.07700127065
spasum+4096+sparse-uniform+density=0.01,ok,direct,arithmetic,policy,10,1,69.29390749999999,68.850578,69.472164
