case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,753.93208312988281,752.88818359375,755.33211517333984
axpy+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1419.2531204223633,1413.9483947753906,1423.8725280761719
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1419.4972190856934,1414.2980880737305,1423.9819183349609
scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1033.6977996826172,1004.4693298339844,1052.3394012451172
nrm2+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,3915.2087249755859,3914.6232604980469,3916.6526184082031
asum+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,459.47724533081055,459.4158821105957,459.63695907592773
sum+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,747.89609527587891,747.82744979858398,748.06405639648438
compensated-sum+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
iamax+64+uniform,ok,direct,arithmetic,vendor-cblas,10,1,85.956883500000004,85.897514999999999,86.076136000000005
iamax+128+uniform,ok,direct,arithmetic,vendor-cblas,10,1,90.359567499999997,90.082598000000004,90.502409999999998
iamax+256+uniform,ok,direct,arithmetic,vendor-cblas,10,1,119.3599255,119.311063,119.42563699999999
iamax+512+uniform,ok,direct,arithmetic,vendor-cblas,10,1,141.07417900000002,140.593479,142.62626599999999
iamax+1024+uniform,ok,direct,arithmetic,vendor-cblas,10,1,206.51819038391113,206.39559555053711,206.94535446166992
iamax+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,590.12713241577148,589.42433547973633,590.46355819702148
iamax+65536+uniform,ok,direct,arithmetic,vendor-cblas,10,1,9453.3312377929688,9429.9952392578125,9483.0651245117188
swap+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2583.3658294677734,2579.6548461914062,2587.2129058837891
rot+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2751.5456314086914,2741.6809539794922,2754.4274139404297
rotm+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,4061.5979614257812,4056.3419799804688,4077.8293762207031
rotmg+1+uniform,ok,direct,arithmetic,vendor-cblas,10,1,36.782202499999997,36.757621999999998,36.799892
ssqd+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
dot4+4096+uniform,ok,composed,arithmetic,vendor-cblas,10,1,3059.5903015136719,3048.3004760742188,3062.3948059082031
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,10,1,3615.1240081787109,3613.4938659667969,3617.4531860351562
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,10,1,2256.7653198242188,2245.3394165039062,2263.8154296875
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,149.57198449999999,149.492155,149.74206799999999
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,608.32460594177246,608.04013824462891,608.75929260253906
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,3045.1974105834961,3028.3285980224609,3049.5220031738281
ger+129x31+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1113.5325622558594,1112.3880081176758,1115.3122100830078
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,5008.9923248291016,4997.129150390625,5022.022216796875
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,7188.1379699707031,7155.8741455078125,7192.9093017578125
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2241.8156127929688,2218.7858581542969,2249.2733459472656
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2914.3200454711914,2905.7239379882812,2921.1280670166016
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,6782.6322326660156,6781.6400146484375,6784.4895629882812
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,92379.691162109375,92350.5654296875,92419.91943359375
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,25118.516967773438,25098.43994140625,25124.526611328125
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,46086.554443359375,45936.590576171875,46105.38720703125
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,48842.183837890625,48751.8017578125,48873.0234375
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,40512.1376953125,40497.70068359375,40557.903564453125
syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,28127.925048828125,28065.541259765625,28139.086181640625
syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,48753.922119140625,48716.19873046875,48780.067626953125
trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,4871.0850524902344,4855.4495544433594,4876.7270812988281
trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,5091.8273010253906,5087.9844360351562,5103.2751770019531
trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,3897.2070770263672,3895.3670959472656,3899.4163818359375
trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,3908.6166534423828,3873.8895263671875,3926.9879455566406
gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,vendor-arithmetic,vendor-cblas,10,1,214.10328769683838,214.05627822875977,214.18330383300781
gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,vendor-arithmetic,vendor-cblas,10,1,193.13797569274902,193.1104907989502,193.21015167236328
packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,vendor-arithmetic,vendor-cblas,10,1,184.07730100000001,184.03932699999999,184.170039
packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,vendor-arithmetic,vendor-cblas,10,1,171.6654125,171.65015299999999,171.70950300000001
gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,vendor-arithmetic,vendor-cblas,10,1,327.97825145721436,327.91831588745117,328.03148078918457
gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,vendor-arithmetic,vendor-cblas,10,1,315.88710117340088,309.78449630737305,315.99348640441895
gemm-tile+8x4x32+uniform+packed=8x4,ok,partial,vendor-arithmetic,vendor-cblas,10,1,260.2738037109375,260.21256637573242,260.29388809204102
gemm-tile+7x2x31+uniform+packed=8x4,ok,partial,vendor-arithmetic,vendor-cblas,10,1,230.76021385192871,230.74291610717773,230.83271217346191
packed-trsm+8x4+triangular+packed=8x4+uplo=L+diag=N,ok,partial,vendor-arithmetic,vendor-cblas,10,1,206.96548843383789,206.76130104064941,207.16066741943359
packed-trsm+7x2+triangular+packed=8x4+uplo=U+diag=U,ok,partial,vendor-arithmetic,vendor-cblas,10,1,182.5917355,182.57512700000001,182.62261599999999
gemm-trsm+8x4x32+triangular+packed=8x4+uplo=L+diag=N,ok,composed,vendor-arithmetic,vendor-cblas,10,1,396.45705223083496,396.24365615844727,396.60564422607422
gemm-trsm+7x2x31+triangular+packed=8x4+uplo=U+diag=U,ok,composed,vendor-arithmetic,vendor-cblas,10,1,330.54894828796387,330.47476959228516,330.64472770690918
pack-left+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-left+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-right+32x4+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-right+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-symmetric-left+4x4+uniform+packed=4x4+uplo=L,unsupported,unsupported,layout,unavailable,0,0,,,
pack-symmetric-right+4x4+uniform+packed=4x4+uplo=U,unsupported,unsupported,layout,unavailable,0,0,,,
pack-triangular-left+4x4+triangular+packed=4x4+uplo=L+diag=N,unsupported,unsupported,layout,unavailable,0,0,,,
pack-triangular-right+4x4+triangular+packed=4x4+uplo=U+diag=U,unsupported,unsupported,layout,unavailable,0,0,,,
write-left+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-left+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-right+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-right+32x4+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-left-padding+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-left-padding+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-right-padding+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-right-padding+32x4+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-left+7x31+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-left+8x32+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-right+31x2+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-right+32x4+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-symmetric-left+8x8+uniform+packed=8x4+uplo=L,unsupported,unsupported,layout,unavailable,0,0,,,
pack-symmetric-right+4x4+uniform+packed=8x4+uplo=U,unsupported,unsupported,layout,unavailable,0,0,,,
pack-triangular-left+8x8+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,layout,unavailable,0,0,,,
pack-triangular-right+4x4+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,layout,unavailable,0,0,,,
write-left+7x31+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-left+8x32+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-right+31x2+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-right+32x4+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-left-padding+7x31+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-left-padding+8x32+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-right-padding+31x2+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-right-padding+32x4+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
spdot+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spdot-raw+64+sparse-uniform+density=0.125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spdot-raw+4096+sparse-uniform+density=0.0625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spdot-raw+65536+sparse-uniform+density=0.015625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spdot-raw+262144+sparse-uniform+density=0.03125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spdot-sparse+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spaxpy+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spaxpy-raw+64+sparse-uniform+density=0.125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spaxpy-raw+4096+sparse-uniform+density=0.0625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spaxpy-raw+65536+sparse-uniform+density=0.015625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spaxpy-raw+262144+sparse-uniform+density=0.03125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spnrm2+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spnrm2-indexed+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spnrm2-indexed+4096+sparse-uniform+density=0.5,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spnrm2-indexed+262144+sparse-uniform+density=0.03125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spasum+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spscatter+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spscatter-raw+64+sparse-uniform+density=0.125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spscatter-raw+4096+sparse-uniform+density=0.0625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spscatter-raw+65536+sparse-uniform+density=0.015625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spscatter-raw+262144+sparse-uniform+density=0.03125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spgather+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spgather-zero+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spgemv+257x129+sparse-uniform+density=0.01+mode=prepared,unsupported,unsupported,prepared,unavailable,0,0,,,
spgemv+257x129+sparse-uniform+density=0.01+mode=oneshot,unsupported,unsupported,oneshot,unavailable,0,0,,,
spmm+257x8x129+sparse-uniform+density=0.01+mode=prepared,unsupported,unsupported,prepared,unavailable,0,0,,,
spmm+257x8x129+sparse-uniform+density=0.01+mode=oneshot,unsupported,unsupported,oneshot,unavailable,0,0,,,
spgemm+129x97x65+sparse-uniform+density=0.01+mode=prepared,unsupported,unsupported,prepared,unavailable,0,0,,,
spgemm+129x97x65+sparse-uniform+density=0.01+mode=oneshot,unsupported,unsupported,oneshot,unavailable,0,0,,,
spsymv+129+sparse-triangular+density=0.02+mode=oneshot+uplo=L,unsupported,unsupported,oneshot,unavailable,0,0,,,
spsymm+129x8+sparse-triangular+density=0.02+mode=oneshot+side=L+uplo=L,unsupported,unsupported,oneshot,unavailable,0,0,,,
sptrsv+129+sparse-triangular+density=0.02+mode=oneshot+uplo=L+transA=N+diag=N,unsupported,unsupported,oneshot,unavailable,0,0,,,
sptrmv+129+sparse-triangular+density=0.02+mode=oneshot+uplo=U+transA=T+diag=U,unsupported,unsupported,oneshot,unavailable,0,0,,,
sptrsm+129x8+sparse-triangular+density=0.02+mode=oneshot+side=L+uplo=L+transA=N+diag=N,unsupported,unsupported,oneshot,unavailable,0,0,,,
sptrmm+129x8+sparse-triangular+density=0.02+mode=oneshot+side=L+uplo=U+transA=T+diag=U,unsupported,unsupported,oneshot,unavailable,0,0,,,
spsyrk-dense+129x65+sparse-uniform+density=0.02+uplo=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spsyrk-sparse+129x65+sparse-uniform+density=0.02+uplo=L,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spadd+129x65+sparse-uniform+density=0.02,unsupported,unsupported,arithmetic,unavailable,0,0,,,
sparse-slices-scatter+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
sparse-slices-scatter-checked+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
sparse-slices-gather+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
sparse-slices-gather-clear+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
sparse-slices-clear+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
sparse-slices-clear-local+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
sparse-slices-reduce-dot-checked+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
sparse-slices-reduce-dot-local+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
sparse-slices-reduce-dot-unchecked+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
sparse-slices-max+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
sparse-slices-filter+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
gemm+257x3x1+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,514.39581680297852,514.24697875976562,514.5684928894043
gemm+3x257x33+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,5236.0800476074219,5225.884521484375,5242.1622314453125
gemm+127x5x65+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,5478.3968048095703,5460.19677734375,5481.2730712890625
trsm+65x1+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1016.5143013000488,1015.3014297485352,1032.148063659668
trsm+65x33+triangular+side=L+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,10472.787994384766,10462.787231445312,10480.458862304688
gemm-block+15x7x31+uniform+packed=4x4+timing=prepacked-compute,ok,direct,prepacked-compute,vendor-cblas,10,1,577.16805458068848,577.03205108642578,577.44905090332031
gemm-block+15x7x31+uniform+packed=4x4+timing=pack-plus-compute,unsupported,unsupported,pack-plus-compute,unavailable,0,0,,,
gemm-block+32x16x65+uniform+packed=4x4+timing=prepacked-compute,ok,direct,prepacked-compute,vendor-cblas,10,1,3039.4552307128906,3037.4017028808594,3040.9562225341797
gemm-block+32x16x65+uniform+packed=4x4+timing=pack-plus-compute,unsupported,unsupported,pack-plus-compute,unavailable,0,0,,,
gemm-block+15x7x31+uniform+packed=8x4+timing=prepacked-compute,ok,direct,prepacked-compute,vendor-cblas,10,1,576.84528923034668,576.77017593383789,576.9665641784668
gemm-block+15x7x31+uniform+packed=8x4+timing=pack-plus-compute,unsupported,unsupported,pack-plus-compute,unavailable,0,0,,,
gemm-block+32x16x65+uniform+packed=8x4+timing=prepacked-compute,ok,direct,prepacked-compute,vendor-cblas,10,1,3039.8256072998047,3037.5624694824219,3040.8356170654297
gemm-block+32x16x65+uniform+packed=8x4+timing=pack-plus-compute,unsupported,unsupported,pack-plus-compute,unavailable,0,0,,,
