run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,native/c/c-sparse/packed-4x4,1,ns,437ae0208b7fffe9b36ca8ece042cce97c078909,false,kotlin-native-2.4.10,1,5,200000000,native-calibrated,50000000,1
case,1,1,dot+4096+uniform,ok,direct,arithmetic,policy,10,1,850.7567974349463,850.0923820122198,851.6494412395485
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1807.4171158422268,1806.7749405105278,1809.8496538794348
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1814.7234674978542,1813.8485431630302,1816.3836653566427
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1190.4985662550462,1189.682973165519,1191.1615174542865
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,policy,10,1,691.9054112830568,690.7139124101197,692.4474043032059
case,6,1,asum+4096+uniform,ok,direct,arithmetic,policy,10,1,556.6523830831529,555.9586278199146,557.4480930054168
case,7,1,sum+4096+uniform,ok,direct,arithmetic,policy,10,1,409.2769499731587,408.43274881255394,410.0655131379397
case,8,1,compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,10,1,9908.980948813984,9892.657428214732,10055.571385767791
case,9,1,iamax+64+uniform,ok,direct,arithmetic,policy,10,1,134.249395,132.037083,137.108379
case,10,1,iamax+128+uniform,ok,direct,arithmetic,policy,10,1,189.2347545,187.055915,192.501559
case,11,1,iamax+256+uniform,ok,direct,arithmetic,policy,10,1,209.72497873755833,208.43970097849336,210.80347293564847
case,12,1,iamax+512+uniform,ok,direct,arithmetic,policy,10,1,397.6016075652931,396.4181632867542,398.6523300476103
case,13,1,iamax+1024+uniform,ok,direct,arithmetic,policy,10,1,469.93706302657915,469.6424172601592,471.8357142857143
case,14,1,iamax+4096+uniform,ok,direct,arithmetic,policy,10,1,989.9587115298428,989.3531005136741,991.8040946184874
case,15,1,iamax+65536+uniform,ok,direct,arithmetic,policy,10,1,12642.819867549668,12630.436959949542,12801.480731630401
case,16,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,3188.204633603561,3186.90820219361,3190.502193609919
case,17,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,3723.2150225721,3709.868167742417,3738.3779054583442
case,18,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,3502.7751936628956,3501.3600643502896,3506.441236644692
case,19,1,rotmg+1+uniform,ok,direct,arithmetic,policy,10,1,65.22586150000001,65.095647,65.482511
case,20,1,ssqd+4096+uniform,ok,unsupported,arithmetic,policy,10,1,1085.7305642743688,1084.4094499287135,1088.0272840128587
case,21,1,dot4+4096+uniform,ok,composed,arithmetic,policy,10,1,2444.4822647155424,2443.7261005486016,2446.445340534491
case,22,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,1,3682.24570955578,3680.965547686931,3683.845231306907
case,23,1,dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,1,2465.3908894402,2455.3136744368844,2493.3141779862935
case,24,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1053.8860029928246,1043.0055837858704,1058.7505908977946
case,25,1,gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,3359.7829558304493,3348.5836445876025,3979.6261693451665
case,26,1,symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,13408.559773655183,13387.977723658763,13588.66026788912
case,27,1,ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,10,1,3283.2375526586393,3279.250207317478,3289.7949215510666
case,28,1,syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,10,1,13384.79501142934,13353.29501142934,13533.847855318005
case,29,1,syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,23738.334712208958,23679.60784777213,23900.216877437655
case,30,1,trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,11366.897674681117,11286.818602551079,11652.2377807879
case,31,1,trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,9223.635328622233,9200.566578910904,9304.177543762413
case,32,1,gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,10,1,18147.72773270125,18136.46649649011,18193.973653022153
case,33,1,gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,294246.7459499263,293769.98379970546,294528.6818851252
case,34,1,gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,10,1,98689.69720419371,98600.60059910135,98769.90264603095
